,Freq
도시락,98
LPG,85
재고번호미입력품목,68
식자재,40
생수,40
위장망체계 지지대세트류,34
바나나,32
액화석유가스,32
훈제닭다리,31
이온음료,27
라이트류,26
식혜,25
마카롱,24
완충기류,23
자주포 유지용 일반부품류,23
하우징류,21
콜라,20
과일푸딩,19
단무지,19
음료,18
축전식 전지(밀폐형),18
게맛살,17
팥빙수,17
마시는 발효유,17
에너지바,17
부탄-프로판 혼합가스,16
군용 트레일러,16
고압호스,16
초코바,16
보호의 화학약품용,16
터빈연료 항공용(제트유),16
하네스류,16
탄산음료,16
빵류,15
열영상 전차용 표적세트(윤곽형),15
등명구부품류,15
떠먹는발효유,15
휀다(기동),15
떡국떡,14
김자반,14
전지 재충전불가식(BA-3517),14
궤도부품류(클러치 조립체 등),14
VHF무전기용 마스트류,14
일반광학장비부품(화포용수포류),14
공기청정기 필터 구매,14
마요네즈,14
저유황경유(도서),14
핫바,14
상호통화기세트(VIC-7DK),14
에이드,14
피스톤링류,14
PRC-999K부품(구매),14
파노라마식 망원경,14
송수화기(H-920K) 및 부품,14
실린더조립체(전차),14
떠먹는 발효유,14
송풍기 원심식(K-200장갑차),14
예비군도시락,14
요구르트,14
이산화탄소 공업용,13
화포부품류,13
사이다,13
시동기(궤도장비용),13
차량 쿠션시트류,13
열상장비(TAS-815K) 수리부속(구매),13
지상감시레이더 부품(구매),13
밸브류(함정용),13
커피,13
식초,13
연료펌프류,13
표준차 유지부품,13
게이지류,13
발전기 및 발전기 부품류,13
구동제어장치류,13
식자재 다수품목,13
양념시래기,13
장갑차 부품,13
조각케이크,12
M장비 배터리(비충전식),12
낙하산 및 수리부속,12
궤도장비 전장품류,12
반합,12
호로대,12
조향기어,12
실내등유(도서),12
병기손질유(PL-SP MED),12
센서  화재용,12
비엔나 소시지,12
PP-2K부품(구매),12
계기 및 계기부품류,12
자주포 동력장치 부품류,12
작전용 고무보트,12
K1A1전차 튜브조립체 탄약선반용(21종) 정비,12
탄약적재 운송용 트레일러,12
바나나우유,12
필터류(장갑차),11
K계열 궤도장비 부품류,11
자주포 송풍기류,11
계란지단채,11
자주포 스프링류,11
황도통조림,11
엘보우류,11
여과기류,11
고구마샐러드,11
윈치조립체 및 새클류,11
혹한기경유(도서),11
전산운영용품 구매,11
당면(2지역),11
캡사이신소스,11
양송이스프,11
초자류,11
커피음료,11
휀다 및 판류,11
모듬콩조림,11
부식,11
당면(1지역),11
마시는발효유,11
명이절임,11
특수수술재료,11
VIC-7K/9K부품류,11
제어장치조립체 및 축 조립체류,11
새우튀김,11
당면(3지역),11
산소 공업용,10
