,입찰공고명,공고기관명
0,00부대 물절약 투자대행사업(WASCO  15-A048),국군재정관리단
1,155밀리 모의신관류,방위사업청
2,155밀리 모의신관류,방위사업청
3,155밀리 모의신관류,방위사업청
4,스펙트럼용 분석기 구매,국군재정관리단
28,해상사격표적(풍선 등 2종) 구매,해군작전사령부
29,넬라톤카테터 등 234품목 구매(물품),육군군수사령부
35,13-본-국대-01 00학교이전 PE전선관 등 2종 제조,국군재정관리단
36,충전기집적회로등17종구매,제2879부대
37,D형들고리등13종구매,제2879부대
38,락카스프레이황색등24종구매,제2879부대
39,16-1차 전산운영용품 구매,육군본부
40,보장구 80종 구매,국군재정관리단
45,컨테이너 2종 제조 설치,국군재정관리단
46,미세먼지 방지마스크 구매,국군재정관리단
47,스위치  칼날형 등 9품목,해군제1정비대대
48,K1채널씰등12종구매,제2879부대
49,K1베어링등11종구매,제2879부대
50,K1베어링등11종구매,제2879부대
51,자주발칸 케이블조립체등2종구매,제2879부대
52,자주발칸 케이블조립체등2종구매,제2879부대
53,K1링등29종구매,제2879부대
54,K1링등29종구매,제2879부대
57,1분기 식품검사 재료 구매,제7789부대
58,액화석유가스(LPG) 공급,공군작사근무지원단
59,조리병교육대 교육 재료,제5378부대
61,16-014 쉽게 생각하고 쉽게 배우는 수영 등 143종,공군사관학교
64,아산화질소 1항목 구매(물품),육군군수사령부
65,아산화질소 1항목 구매(물품),육군군수사령부
66,세척재료(세척제  용제) 구매,국군재정관리단
67,취사용 LPG 구매,제3170부대
68,더블에이 복사용지 등 243품목,해군제1정비대대
69,버니어 켈리퍼스  등 174품목,해군제1정비대대
70,00부대(6진) 정비반 물품 구매(1차),제7789부대
71,00부대(6진) 정기재보급 물품 구매(1차),제7789부대
72,손목시계 제조납품,제1363부대
73,접착제등55종구매,제2879부대
74,디지털 인쇄재료 38종 구매,국방출판지원단
76,인쇄용지 3종 구매,국방출판지원단
79,교육용 패킷 분석장비 라이선스 구매,4284부대
82,북한 및 해외 간행물 구매,제9965부대
83,북한 및 해외 간행물 구매,제9965부대
84,온도센서 등 32종 구매,제2879부대
85,16년 오리콘용 탄약장진기,방위사업청
86,육군 간부수첩 표지 제조,국군재정관리단
99,16년 LPG 구매(경기북부),제7789부대
100,16년 LPG 구매(경기남부),제7789부대
101,16년 LPG 구매(서울),제7789부대
102,16년 LPG 구매(인천),제7789부대
103,16년 LPG 구매(인천),제7789부대
104,16-F-013 윈치 등 11종 구매,국군재정관리단
107,핸드맥스 등 521품목 구매,제9196부대
108,멀티탭 등 235품목,제9196부대
109,내향성발톱교정재료 구매,국군재정관리단
112,표창장 표지 제조,국군재정관리단
113,LPG 연차,제20전투비행단
114,16-K-액화석유가스(LPG)(강화도서),제9181부대
115,마이크로폰  고성능식 3EA,해군군수사령부
124,황산등59종구매,제2879부대
125,16년 가스터빈엔진 정비,방위사업청
126,16년 가스터빈엔진 정비,방위사업청
127,바닥광택기,공군군수사령부
128,소총용 어댑터류,방위사업청
129,병기수지제품류,방위사업청
130,병기수지제품류,방위사업청
131,꼬질대류,방위사업청
132,수입솔류,방위사업청
134,정비피복(방진화) 구매,국군재정관리단
135,분석기(회로망용) 구매,국군재정관리단
136,16-K-액화석유가스(LPG)(소형저장탱크),제9181부대
137,16-K-액화석유가스(LPG)(인천/강화),제9181부대
138,16-K-액화석유가스(LPG)(김포),제9181부대
139,가지 등 306종 구매(추자도),해군제3함대사령부
141,가지 등 181종 구매(안마도),해군제3함대사령부
142,16년 천마 응축기 조립체 정비,방위사업청
143,1/4분기 교육/실습재료 구매,육군보병학교
144,마술용품 등 126종,해군본부
145,키보드 2단 스탠드 등 38종,해군본부
146,키보드 2단 스탠드 등 38종,해군본부
