,입찰공고명,공고기관명
34,13-본-국대-01 00학교이전 공기조화기 제조설치,국군재정관리단
272,간부숙소 알루미늄창호 제조설치,국군재정관리단
315,영내관사 보일러 및 분배기 구매/설치,공군제11전투비행단
319,계룡대 비상용발전기 제조설치 납품,국군재정관리단
343,16-D-021-철재 장의자 등 5종 제조 납품,국군재정관리단
384,디젤발전기 400KW 제조설치,국군재정관리단
559,군 숙소 보일러 설치납품(단가),제2군단
815,13-본-국대-01 00학교 이전 온수저장탱크 제조설치,국군재정관리단
816,13-본-국대-01 00학교 이전 온수저장탱크 제조설치,국군재정관리단
834,간성아파트 건립 발전기 제조납품,제5861부대
835,간성아파트 건립 자동식소화기 제조납품,제5861부대
836,간성아파트 건립 펌프 제조설치납품,제5861부대
837,간성아파트 건립 화재수신기 제조납품,제5861부대
838,간성아파트 건립 화재수신기 제조납품,제5861부대
839,간성아파트 건립 전관방송 제조납품,제5861부대
847,업소용 세탁기 제조설치납품,국군대전병원
848,업소용 세탁기 제조설치납품,국군대전병원
894,00단 병사식당 화물용승강기 제조설치,국군재정관리단
911,희석제  랙커 페인트 등 17종,공군군수사령부
967,13-본-국대-01 00학교 이전사업 송풍기 제조설치,국군재정관리단
1011,13-본-국대-01 00학교 이전사업 SMC 물탱크 제조설치,국군재정관리단
1037,도로용 페인트 등 131종,제7001부대
1060,철재류 스프링강선등87종구매,제2879부대
1085,보조보일러(중형/대형),방위사업청
1086,보조보일러(중형/대형),방위사업청
1088,연구소 회의실 AV시스템 제조설치 납품,국군화생방방호사령부
1132,31보급대대 물자창고 보수공사 컨테이너 제조설치납품,제5378부대
1133,31보급대대 물자창고 보수공사 컨테이너 제조설치납품,제5378부대
1164,간성아파트 건립 통합배선 제조납품,제5861부대
1182,00부대 이동식화장실 제조설치(16-59),제2307부대
1191,00지역 부대이전사업 스틸그레이팅 제조설치,제2136부대
1286,13-본-국대-01 00학교이전 화재수신기 제조설치,국군재정관리단
1287,00단 병사식당 수배전반 제조설치,국군재정관리단
1290,시멘트 등 3종 구매,국군재정관리단
1294,13-본-국대-01 00학교 이전 자동소화장치 제조설치,국군재정관리단
1313,고정형 고성능 확성기 제조설치,국군재정관리단
1328,목제가구류 46종 제조설치,국군재정관리단
1329,철제가구류 10종 제조설치,국군재정관리단
1360,아파트 세대폰 설치납품,국방부근무지원단
1392,00지역 아파트 공기순환기(환기유니트) 제조설치,국군재정관리단
1510,시멘트외 31종 구매,계룡대근무지원단
1536,활주로 진입등주 제조설치,국군재정관리단
1552,간부숙소 신발장 등 3종 제조,국군재정관리단
1615,유성방청색(적갈색)페인트,제9227부대
1619,사무비품 4종 제조설치,국군재정관리단
1626,희석제랙커페인트등 11종 구매,공군군수사령부
1659,대형 콘크리트절단기 구매,국군재정관리단
1665,00아파트 콘크리트파일 제조,국군재정관리단
1666,00아파트 엘리베이터 제조설치,국군재정관리단
1667,00아파트 타일 제조,국군재정관리단
1725,16년 무정전전원장치(UPS) 제조설치,국군재정관리단
1751,00부대 예비군훈련장 신축(냉난방기 제조설치 납품),공군제10전투비행단
1755,OO지역 간부숙소 비품 제조 / 구매 설치납품,제5602부대
1769,방송용 시스템 제조설치,국군재정관리단
1811,14-본-육-10 00지역 아파트 CCTV 제조설치,국군재정관리단
1812,14-본-육-10 00지역 아파트 CCTV 제조설치,국군재정관리단
1813,14-본-육-10 00지역 아파트 물탱크 제조설치,국군재정관리단
1976,서바이벌 훈련용 페인트 볼 구매,국군재정관리단
2016,페인트붓등33종구매,제2879부대
2062,127연대(향방무기 물자 보관용 컨테이너)제조설치납품,육군제53보병사단
2077,동원훈련장 안보교육관 연결의자 제조설치,제1607부대
2150,00부대 관급자재(발전기) 제조설치,국군재정관리단
2177,풋살경기장 인조잔디 제조설치 납품(3개소),수도방위사령부
2194,13-본-국대-01 00학교이전 송풍기 제조설치,국군재정관리단
2250,16-해-변전실 CCTV 제조설치,국군재정관리단
2251,16-해-변전실 비상발전기 제조설치,국군재정관리단
2261,생도숙소비품(책상 등 4종) 제조설치,국군재정관리단
2269,000사업 목재가구(의자 등 75종) 제조설치,국군재정관리단
2409,탄약정비용 페인트(12종) 제조,국군재정관리단
2489,보조보일러(비자성),방위사업청
2490,보조보일러(비자성),방위사업청
2517,업소용 세탁기 제조설치납품,국군대전병원
2519,교도소 침대생산자재 구매(목재류),국방부조사본부
2550,향방용 M16 총기보관함 제조설치,국군재정관리단
2569,00학교 보일러(5종) 제조설치,국군재정관리단
2647,상근단 오수처리장 보수 케익호퍼 제조설치납품,육군상무대근무지원단
2659,00아파트 온돌마루 제조설치,국군재정관리단
2662,14-본-육-10 00지역 아파트 목재창호 제조설치,국군재정관리단
2667,14-본-육-10 00지역 아파트 알루미늄창호 제조설치,국군재정관리단
2683,00부대 통합시설 통합배선 제조설치,국군재정관리단
2684,00부대 통합시설 통합배선 제조설치,국군재정관리단
2686,00부대 통합시설 분전반 제조설치,국군재정관리단
2716,16년 보급환경개선비품 제조설치,1보급단
2717,16년 저장 중 정비용 장비 제조설치,1보급단
2735,동원훈련장 총기보관함(2종) 제조설치,국군재정관리단
2740,화학저항페인트,방위사업청
2741,화학저항페인트,방위사업청
2766,00아파트 신축 분전반 제조설치(16-27),제2307부대
2767,00아파트 신축 CCTV 제조설치(16-28),제2307부대
2768,00부대 팬코일유닛 제조설치(16-38),제2307부대
2770,00부대 CCTV 제조설치(16-47),제2307부대
2801,컨테이너 창고제조설치,제28보병사단
2872,시설대대 보일러 등 159종(16-097),공군 제8전투비행단
2921,00부대 본관 수배전반 제조설치,국군재정관리단
2936,이동형 발전기 제조설치,국군재정관리단
2951,00부대 본관 통합배선 제조설치,국군재정관리단
3043,00아파트 조명기구 제조설치,국군재정관리단
3079,00장비 기능개선 제조설치 납품,수도방위사령부
3080,00장비 기능개선 제조설치 납품,수도방위사령부
3094,K계열전차 변속기 성능시험장비 제조설치,국군재정관리단
3098,16-본-해-1 콘크리트 파일 제조,국군재정관리단
3099,16-본-해-2 콘크리트 파일 제조,국군재정관리단
3101,16-평-군 관사 보일러,제9911부대
3102,16-평-군 관사 보일러,제9911부대
3114,철선  비 전기용 등 36품목,해군제1정비대대
3178,13-본-국대-01 00학교 자동제어 제조설치,국군재정관리단
3183,사격장 방송장비시스템 제조설치,국군재정관리단
3429,페인트 등 4종 구매 (16-62),공군제10전투비행단
3595,00학교 이전 무정전전원장치(UPS) 제조설치,국군재정관리단
3625,RAPCON 통신통제장비 제조설치,국군재정관리단
3627,16년 VoIP 교환기용 자동안내장치 제조설치,국군재정관리단
3628,16년 VoIP 교환기용 음성동보장치 제조설치,국군재정관리단
3629,16년 VoIP 교환기용 항온항습기 제조설치,국군재정관리단
3630,16년 VoIP 교환기용 UPS 제조설치,국군재정관리단
3650,비행협조소 무인화 UPS 제조설치,국군재정관리단
3652,00아파트 시설개선 씽크대 제조설치,국군재정관리단
3666,00부대 등 5개소 풋살경기장 인조잔디 제조설치,제1보병사단
3667,00부대 간부숙소 비품구매(매트리스),제7군단
3679,기타일반장비획득목재파쇄기,공군제19전투비행단
3680,기타일반장비획득목재파쇄기,공군제19전투비행단
3697,일반배관용탄소강관,제7001부대
3698,일반배관용탄소강관,제7001부대
3702,수성페인트,제7001부대
3703,도로용페인트,제7001부대
3704,도로용페인트,제7001부대
3706,아스팔트콘크리트표층용,제7001부대
3708,일반배관용탄소강관,제7001부대
3709,일반배관용탄소강관,제7001부대
3713,시멘트,제7001부대
3714,수성페인트,제7001부대
3715,도로용페인트,제7001부대
3716,도로용페인트,제7001부대
3725,00부대 간부숙소 개선,제5861부대
3738,교도소 침대생산자재(철재류) 제조납품(2차),국군재정관리단
3742,00포대  00연본 풋살경기장 인조잔디 제조설치납품,제5861부대
3743,00대대 풋살경기장 인조잔디 제조설치납품(1),제5861부대
3744,00대대 풋살경기장 인조잔디 제조설치납품(2),제5861부대
3758,00부대 간부숙소 개수 관급자재(싱크대 등) 제조,육군교육사령부
3759,00부대 간부숙소 개수 관급자재(창호 등) 제조,육군교육사령부
3862,병영식당 관통형 냉장·냉동고 제조설치,국군재정관리단
3879,00부대 인조잔디 제조설치 납품,제17보병사단
3893,15-본-육-06 관류식 진공온수보일러 제조설치,국군재정관리단
3894,15-본-육-06 관류식 진공온수보일러 제조설치,국군재정관리단
3937,15-본-육-육-06 스포츠조명(LED투광등기구) 제조설치,국군재정관리단
3957,영내케이블 교체공사(광전송 장비 제조설치),육군 제1군단
3972,00부대 등 6개소 풋살장 인조잔디 제조설치,제9보병사단사령부
4039,화포공장 호이스트크레인 제조설치,제2879부대
4061,00학교 노통연관식 보일러(2대) 제조설치,국군재정관리단
4120,저장랙 제조설치,국군재정관리단
4130,격오지 독서카페(120동) 제조설치,국군재정관리단
4164,미8군 병영시설 책상외 5종 제조설치,국군재정관리단
4183,무인감시장비 제조설치,육군본부
4209,00부대 독신숙소 조명기구 제조설치,국군재정관리단
4218,16-해-중계소 CCTV 제조설치,국군재정관리단
4219,16-해-기계실 CCTV 제조설치,국군재정관리단
4220,16-해-기계실(00부대) CCTV 제조설치,국군재정관리단
4261,소화설비기기(NAF S lll 등 3종) 제조설치,국군재정관리단
4289,LED 상황판 제조설치,특수전사령부
4292,5691-1부대 컨테이너 제조설치납품,제7162부대
4294,군숙소 보일러 40대 구매 설치,계룡대근무지원단
4299,13-본-국대-01 00학교이전 조명기구 제조설치,국군재정관리단
4306,00아파트 가구 교체공사 제조설치 납품,수도방위사령부
4309,00지원대 인조잔디 제조설치 납품,수도방위사령부
4365,00부대 독신숙소 가구(2종) 제조설치,국군재정관리단
4367,16-본-육-03 조명기구 제조설치,국군재정관리단
4419,16-공-디젤발전기 60KW 등 5종 제조설치,국군재정관리단
4431,00부대 관사 강화마루 제조설치,국군재정관리단
4479,00부대 합성수지제창 제조설치 납품,제3697부대
4501,16-본-육-4 UPS 제조설치,국군재정관리단
4502,00학교 노통연관식 보일러(2대) 제조설치,국군재정관리단
4503,00학교 노통연관식 보일러(2대) 제조설치,국군재정관리단
4506,13-본-국대-01 00학교이전 자전거 보관대 제조설치,국군재정관리단
4512,5포병 관사 신축공사 원격자동검침시스템 제조설치,제5군단사령부
4531,16-본-육-4 통합배선 제조설치,국군재정관리단
4537,영내/영외관사 보일러 구매 및 설치,공군제11전투비행단
4547,선수숙소 비품(침대 옷장)구매,국군체육부대
4561,16-본-육-9 호이스트크레인 제조설치,국군재정관리단
4589,창고형 컨테이너(159동) 제조설치,국군재정관리단
4594,간성아파트 건립 합성수지제창 제조납품,제5861부대
4597,이동식화장실 제조설치(3동),제1862부대
4628,16-본-육-03 씽크대 제조설치,국군재정관리단
4629,16-본-육-03 알루미늄 창호 제조설치,국군재정관리단
4666,00부대 병영생활관 신축 플라스틱 창호 제조납품,육군 제1군단
4682,주둔지 경계용 CCTV 제조설치,국군재정관리단
4786,보일러(25 000Kacl),제7001부대
4787,보일러(16 000Kacl),제7001부대
4788,보일러(13 000Kacl),제7001부대
4793,무정전전원장치(UPS) 제조설치(리스물건),국군재정관리단
4852,00지역 영상전송체계 노후장비 제조설치(2),국군재정관리단
4853,00지역 영상전송체계 노후장비 제조설치(3),국군재정관리단
