,입찰명,발주기관코드,발주기관,4종_Pick,4종_Remove,6종_Pick,6종_Remove
0,'17년 설날 경축특식(과자세트) 구매(제조),LMS,제7789부대,제조,,과자,
1,추석 경축특식(과자세트) 구매(제조),LMS,제7789부대,제조,,과자,
2,마트 유니폼 조끼 제조,UMM,국군재정관리단,제조,,마트,
3,'16년 마트용 물품봉투 제조,UMM,국군재정관리단,제조,,마트,
4,"마트 판매비품(냉장고,냉동고) 제조",UMM,국군재정관리단,제조,,마트,
5,17년 마트 현장직원 근무복 제조,UAB,국군복지단,제조,,마트,
6,17-마트 판매비품(워크인쿨러 냉장고) 제조 납품,UMM,국군재정관리단,제조,,마트,
7,17-마트 판매 비품(수직형냉동고) 제조 납품,UMM,국군재정관리단,제조,,마트,
8,"스마트폰 방수팩 1,600개",SCG,해군본부,방수,,마트,
9,추석 경축특식(과자세트) 제조 / 구매,LMS,제7789부대,제조,,과자,
10,추석 경축특식(과자세트) 제조 / 구매,LMS,제7789부대,제조,,과자,
11,스마트 보드 등 5종 제조설치,UMM,국군재정관리단,"제조, 제조설치",,마트,
12,17년 마트 판매비품 냉장고/냉동고 제조 납품,UMM,국군재정관리단,제조,,마트,
13,'17년 마트용 물품봉투 제조 납품,UMM,국군재정관리단,제조,,마트,
14,추석 경축특식(과자세트) 제조 / 구매,LMS,제7789부대,제조,,과자,
15,추석 경축특식(과자세트) 제조 / 구매,LMS,제7789부대,제조,,과자,
16,18-마트판매비품 워크인쿨러 등 2종 제조 납품,UMM,국군재정관리단,제조,,마트,
17,18-군 마트 물품봉투 제조,UMM,국군재정관리단,제조,,마트,
18,18-마트판매비품 대형냉장고 등 5종 제조 납품,UMM,국군재정관리단,제조,,마트,
19,군 마트 판매대 등 3종 제조,UAB,국군복지단,제조,,마트,
20,설날 경축특식(과자세트) 제조 / 구매,LMS,제7789부대,제조,,과자,
21,설날 경축특식(과자세트) 제조 / 구매,LMS,제7789부대,제조,,과자,
22,설날 경축특식(과자세트) 제조 / 구매,LMS,제7789부대,제조,,과자,
23,설날 경축특식(과자세트) 제조 / 구매,LMS,제7789부대,제조,,과자,
24,19-마트판매원 근무복 제조(201910062-C),UMM,국군재정관리단,제조,,마트,
25,직영휴양시설 물품(가전제품) 구매,UAB,국군복지단,시설,,가전제품,
26,쇼핑타운 마트진열대 등 8종 제조(구매),UAB,국군복지단,제조,,마트,
27,과자세트(제조/구매),LBB,육군제7789부대,제조,,과자,
28,19년 마트용 물품봉투 제조(201910015-E),UMM,국군재정관리단,제조,,마트,
29,20-이동마트 차량 제조,UMM,국군재정관리단,제조,,마트,
30,22-국-이동마트차량 제조,UMM,국군재정관리단,제조,,마트,
31,쌀과자제조기 구매,SCQ,제9911부대,제조,,과자,
32,23년도 마트 판매용 종이봉투 제조,UAB,국군복지단,제조,,마트,
33,23-D-이동마트차량 제조(2310260-F),UMM,국군재정관리단,제조,,마트,
34,23-D-마트 쇼핑용 종이봉투 제조(2310053-F),UMM,국군재정관리단,제조,,마트,
35,건설공사 스마트 핸드북 등 28종,SDL,재경근무지원대대,"건설, 공사",,마트,
36,24-D-마트용 종이봉투 제조,UMM,국군재정관리단,제조,,마트,
37,24-D-이동마트 차량(3.5톤) 제조,UMM,국군재정관리단,제조,,마트,
38,24-D-이동마트차량 제조,UMM,국군재정관리단,제조,,마트,
