,입찰명,발주기관,낙찰자(상호)
68,시설공사 관급자재(화물용엘리베이터)제조 설치납품,국방부근무지원단,주식회사광진엔지니어링
71,관급자재(전관방송 및 AV설비) 제조 설치납품,국방부근무지원단,주식회사 누리정보기술
227,다목적체육관 관급자재 무대장치 제조설치,제55보병사단,삼신개발(주)
254,차기다련장 3차 관급자재 크레인(16-방-12),제5군단사령부,주식회사 정수플로우텍
255,16-공-본-17 관급자재(전관방송 AV포함) 제조설치,국군재정관리단,국제시스템 주식회사
296,131사업(2차) 관급자재(출입통제시스템) 제조설치,4284부대,뉴코리아전자통신 주식회사
310,마이크로웨이브 신시사이저 구매,공군군수사령부,주식회사 아이에스오토
390,차기다련장 3차 시설사업 관급자재(크레인) 설치납품,육군종합군수학교,주식회사 다원산업
393,중형 굴삭기용 부품(크라샤),제25보병사단,우상기업사
647,통신센터 관급자재-태양광발전장치 제조 설치,공군제15특수임무비행단,엔에스시스템주식회사
839,00부대개편사업 관급자재(크레인) 설치납품,제5181부대,주식회사 성진기계
910,5마이크로필터 등 20품목,제9196부대,에스에이리테일
951,차기전자전장비 부품(구매),지휘정찰계약팀 (구:19.09.16),엠씨에스테크 주식회사
1007,과학화 경계시스템 노후부품 교체 설치,국군재정관리단,주식회사 원전사
1126,중형굴삭기 장착부품(크러셔) 구매,제8기동사단,OK종합컴퍼니
1218,굴삭기 부품(크라샤) 구매,제6군단사령부,정민이엔씨
1230,상륙돌격장갑차 유지부품,기동화력계약팀 (구:19.09.16),주식회사 디와이콤
1543,"모듈,정류기용 1종",해군군수사령부,강원상사
1584,"빔프로젝터 램프, 필터 구매 설치",제9911부대,다원지앤피
1815,K10신형제독장치 부품,일반장비계약팀 (구:19.09.16),비전산업
1864,K계열 궤도장비 유압장치 부품류(구매),기동화력계약팀 (구:19.09.16),비전산업
1934,차리다련장 2차 시설공사 관급자재(CCTV),제5군단사령부,(주)텔미전자
1976,모터그레이더 구매,공군제19전투비행단,주식회사 혜인
2092,752대대 차기다련장 2차 관급자재(크레인),제5군단사령부,프로엔지니어링
2117,00부대 차기다련장 2차 관급자재(크레인) 설치납품,육군 제1군단,주식회사지텍
2260,방송중계장비 배터리 교체,제7016부대,(주)씨메카
2287,일동병원 리모델링 관급자재 설치납품(송풍기),국군의무사령부,주식회사 윤성워터텍
2290,일동병원 리모델링 관급자재 설치납품(송풍기),국군의무사령부,주식회사 윤성워터텍
2385,스타렉스 스피링 조립체 등 90항목 구매(해파)(기동),육군군수사령부,부일상사
2421,지뢰방호차량 배터리 구매,5군수지원사령부,(주)한성엔지니어링
2526,사격통제장치부품류(다이얼류 등 5품목),기동화력계약팀 (구:19.09.16),창진ENG(주)
2549,군위성통신단말기(차량용)케이블조립체류,통신장비계약팀 (구:19.09.16),연합정밀(주)
2552,"부품키트,서보장치 조립체 등 15항목 구매(궤도)",육군군수사령부,주식회사 비케이
2761,"모듈, 정류기용 10EA",해군군수사령부,영화상사
2800,증류수 제조장치 필터 및 시약구매,제7001부대,경남상사
2891,"모듈,정류기용 1종",해군군수사령부,국제전기
2909,의무장비(7차) 드릴셋 신경외과용 구매,국군수도병원,아람메디칼
2910,보급창고 CCTV(관급자재) 제조설치 납품,공군제10전투비행단,주식회사 씨아이시스템
3013,항공장비 오실로스코프 구매(물품),육군군수사령부,주식회사 에이치앤아이씨
3132,정류기 보조조립체 등 7종,해군군수사령부,서광전자
3201,K1전차 베어링등4종구매,육군종합정비창,하이펙 주식회사
3306,전압조절기 하부조립체 1종,해군군수사령부,미래상사
3603,K계열 자주포 유지용 부품류,기동화력계약팀 (구:19.09.16),티에이치이주식회사
3726,포탑안정화장치부품류(구매),기동화력계약팀 (구:19.09.16),주식회사 세운하이테크
3764,군위성통신단말기(차량용)부품(구매),통신장비계약팀 (구:19.09.16),(주) 렘텍
3815,전압조절기 하부조립체 1종,해군군수사령부,주식회사보승글로벌
3827,자주포 포탑부품류,기동화력계약팀 (구:19.09.16),주식회사 승일
3884,함정용안테나부품(구매),통신장비계약팀 (구:19.09.16),하이웨이브(주)
3938,자주포 기어류,기동화력계약팀 (구:19.09.16),주식회사 비케이
3951,군위성통신체계(고정용/휴대용)부품(구매),통신장비계약팀 (구:19.09.16),진성
3952,'16년 특수무기 케이블조립체류,유도무기계약팀 (구:19.09.16),연합정밀(주)
3967,"변환기조립체, 수중음파탐지기용",지휘정찰계약팀 (구:19.09.16),(주)에프에스
3989,"(16-185)항공장비(탐속기, 금속 결함 탐지용 세트)",공군제17전투비행단,영원종합상사
4009,VRC-946K장치대부품(구매),통신장비계약팀 (구:19.09.16),에프투텔레콤(주)
4039,자주포 유압장치 부품류,기동화력계약팀 (구:19.09.16),건웅테크 주식회사
4183,"플러그,배출용(76미리함포 부품)",함정계약팀 (구:19.09.16),조은테크
4336,광학장비부품류,기동화력계약팀 (구:19.09.16),(주)이오시스템
4337,자주포 전기전자장치부품류,기동화력계약팀 (구:19.09.16),덕인산업
4396,K1전차 변속기부품류(구매),기동화력계약팀 (구:19.09.16),하이큐엔텍
4406,'16년 특수무기 케이블조립체류(일반),유도무기계약팀 (구:19.09.16),주식회사 노티스
4446,5kw 발전기 유지부품,일반장비계약팀 (구:19.09.16),현대파워시스템 주식회사
4531,케이블조립체(통신장비용),통신장비계약팀 (구:19.09.16),연합정밀(주)
4602,K계열전차 변속기 성능시험장비 제조설치,국군재정관리단,코리아테스팅 주식회사
4626,"실린더 조립체, 공기식, 잠수장비용 등 2종",해군군수사령부,이현
4631,발전기유지부품(10kw 통신용),일반장비계약팀 (구:19.09.16),보국전기공업(주)
4682,16년 발칸 사격제어부부품(전자장치부품류),유도무기계약팀 (구:19.09.16),(주)지엔텔
4684,다련장유압장치부품,기동화력계약팀 (구:19.09.16),삼호정밀
4690,"부품키트, 서보장치조립체, 선회용(구매)",기동화력계약팀 (구:19.09.16),소올산업
4697,관절식유압크레인부품,일반장비계약팀 (구:19.09.16),아폴론주식회사
4698,필터류(장갑차),기동화력계약팀 (구:19.09.16),주식회사 서한산업
4714,탄피 방출통 조립체(40미리함포 부품),함정계약팀 (구:19.09.16),창진ENG(주)
4747,"모듈,정류기용 1종",해군군수사령부,국제전기
4771,"K9 포신, 포미 장치부품류(구매)",기동화력계약팀 (구:19.09.16),건일테크
4772,'16년 오리콘 사격통제장치 부품류 (제조),유도무기계약팀 (구:19.09.16),주식회사 다원시스
4776,일반광학장비부품,기동화력계약팀 (구:19.09.16),(주)경도
4777,나사류(K-1전차용),기동화력계약팀 (구:19.09.16),태창정밀
4788,음향장비 노후 부속품 교체,제7016부대,주식회사유엔콘트롤
4814,궤도장비부품류,기동화력계약팀 (구:19.09.16),주식회사 우리에이치큐
4817,피스톤 컴플레트 외 13종(압축기 부품),함정계약팀 (구:19.09.16),주식회사 씨알테크
4839,TV모듈레이터 2EA,해군교육사령부,피앤에스
4854,K계열 궤도장비 부품류,기동화력계약팀 (구:19.09.16),덕인산업
4858,열상 장비(TAS-970K) 회로카드조립체 제조(물품),육군군수사령부,株式會社 이노텍
4864,"밸브 조립체,차단용(76미리함포 부품)",함정계약팀 (구:19.09.16),창진ENG(주)
4877,전차/장갑차 부품,기동화력계약팀 (구:19.09.16),덕인산업
4994,항공부속 핸들 조립체 등 5항목 제조,육군군수사령부,청원메가텍 주식회사
4995,항공부속 덮개 조립체 등 7항목 제조(물품),육군군수사령부,대동공업사
5010,자주포 유지용 일반부품류,기동화력계약팀 (구:19.09.16),(주)경도
5037,장갑차 전기장치 부품류,기동화력계약팀 (구:19.09.16),대호정기(주)
5088,박격포 다리부품류,기동화력계약팀 (구:19.09.16),디씨에이치(주)
5097,박격포 고저방향장치부품류,기동화력계약팀 (구:19.09.16),디씨에이치(주)
5136,K1전차 나사등87종구매,육군종합정비창,주식회사 세운하이테크
5168,"기어조립체, 감속기용 1종",해군군수사령부,미래상사
5228,휴대용 금속탐지기 등 2품목(헌병단),제9691부대,주식회사 피엔에이코리아
5261,격발장치부품류,기동화력계약팀 (구:19.09.16),(주)경도
5264,케이블 조립체류(K1전차),기동화력계약팀 (구:19.09.16),연합정밀(주)
5265,구동장치부품류,기동화력계약팀 (구:19.09.16),평화정밀
5270,항공부속 소자 오일필터용 등 4항목 구매(물품),육군군수사령부,태륭산업기계
5294,휴대용 금속탐지기 등 3종 구매,육군본부,주식회사 제이제이물산
5318,전기장치부품류,기동화력계약팀 (구:19.09.16),덕인산업
5353,감시장비  방향조정 조립체 등 21항목 구매(물품),육군군수사령부,주식회사 세운하이테크
5357,K1전차 베어링등16종구매,육군종합정비창,덕산베아링
5400,자주포 일반부품류,기동화력계약팀 (구:19.09.16),덕인산업
5402,제어장치조립체 및 축 조립체류,기동화력계약팀 (구:19.09.16),한미케이블
5419,K1 전차 나사류,기동화력계약팀 (구:19.09.16),주식회사  D.P.M
5466,K1 전차 볼트류,기동화력계약팀 (구:19.09.16),주식회사 유성엔지니어링
5476,배터리 전동 지게차용,공군제5공중기동비행단,피티에스(P.T.S)
5612,700w발전기유지부품,일반장비계약팀 (구:19.09.16),현대파워시스템 주식회사
5663,구형전차 부품류,기동화력계약팀 (구:19.09.16),주식회사 비케이
5668,00부대 관급자재(발전기) 제조설치,국군재정관리단,(주)썬테크
5745,링크조립체(전차),기동화력계약팀 (구:19.09.16),덕인산업
5751,"'16년 특수무기 볼트,너트류",유도무기계약팀 (구:19.09.16),태창정밀
5803,항공기 케이블 조립체 등 2항목 제조,육군군수사령부,시온테크
5805,케이블조립체(전술통신체계용),통신장비계약팀 (구:19.09.16),연합정밀(주)
5860,나사류(궤도장비용 등),기동화력계약팀 (구:19.09.16),태창정밀
5884,장갑차 부품류,기동화력계약팀 (구:19.09.16),대성정밀주식회사
6010,K계열 기동궤도부품류,기동화력계약팀 (구:19.09.16),디씨에이치(주)
6011,광학장비부품류,기동화력계약팀 (구:19.09.16),아폴론주식회사
6084,구내통신장비 케이블조립체 등 6항목 제조(물품),육군군수사령부,연합정밀(주)
6092,16년 사무자동화장비(데스크톱PC) 도입사업(리스물건),국군재정관리단,(주)레드스톤시스템
6227,항공기 린스시설 관급자재 수배전반,공군제16전투비행단,주식회사 대원전기산업
6264,"필트패드, 공기냉각기용",함정계약팀 (구:19.09.16),주식회사 서한산업
6369,위성장비 케이블조립체 등 4항목 제조(물품),육군군수사령부,주식회사 에스디텍
6452,'16년 오리콘포 완충기조립체 및 노리쇠조립체,유도무기계약팀 (구:19.09.16),(주)에프에스
6568,"볼트,너트류(차량,전차)",일반장비계약팀 (구:19.09.16),주식회사 승일
6659,"제동장치 부품류(전차, 장갑차용)",기동화력계약팀 (구:19.09.16),(주)우진정밀
6712,전차축소사격 소총거치대 등 3종 제조,국군재정관리단,알티하이텍
7009,"연결기 조립체,전기용 등 46항목 제조(기장)",육군군수사령부,주식회사 씨알테크
7116,마이크시스템(수입부품 포함) 구입 및 설치,해군 기동함대사령부,주식회사 명진에스앤씨
7184,교육장비용 배터리(6종) 구매,국군재정관리단,새한테크
7192,기관총 주야조준경부품류(구매),유도무기계약팀 (구:19.09.16),주식회사 보성기업
8435,K55A1자주포 호스조립체등8종구매,육군종합정비창,현대정밀가스켓
8612,"제어장치 조립체, 사용자용 등 3종",해군군수사령부,대양전기공업(주)
8828,M48전차 베어링등11종구매,육군종합정비창,강선로프
8864,현대 굴삭기 후방 차축 조립체 1EA,제7001부대,(주)원진
8867,금속제 정류기 구매,국군재정관리단,비테크코리아 주식회사
9204,00지역 주거시설 관급자재 CCTV 제조설치,국군재정관리단,(사)장애인인권센터ICT사업단
9206,00지역 주거시설 관급자재(발전기) 제조설치,국군재정관리단,(주)디에코에너지
9372,전력설비 개선 관급자재(전력제어시스템) 제조설치,국군재정관리단,(주)차임이엔지
9449,D004 남양이전사업 시설공사 관급자재-방송AV,공군 작사예하 방포사예하 제3여단,주식회사 이스젠
