개찰결과구분명,개찰시각,개찰일자,계약체결방법명,계약체결형태명,공고기관명,공고기관코드,기초금액,낙찰자결정방법명,낙찰하한율,수요기관명,수요기관코드,업무구분명,예정가격,입찰공고명,입찰공고번호,입찰공고차수,적격심사여부,최종낙찰금액,최종낙찰업체담당자명,최종낙찰업체대표자명,최종낙찰업체명,최종낙찰업체사업자등록번호,최종낙찰업체주소,최종낙찰율,최종낙찰일자,추정가격,분류
개찰완료,14:00,2016-01-11,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,30000000.00,상륙기동헬기 조종시뮬레이터 선행연구,MHD0102,4,N,28000000.00,,박재복,재단법인 한국군사문제연구원,126-82-20298,"경기도 성남시 수정구 위례대로83(창곡동, 국방문화센터)",93.333,2016-02-11,0.0,국방부직할
개찰완료,14:00,2016-01-05,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,74092000.00,특수작전용 유탄발사기사업 선행연구,MHD0130,2,N,71000000.00,,전건욱,사단법인 안보경영연구원,120-82-07415,"서울특별시 강남구 언주로527, 10층 (역삼동)",95.826,2016-01-06,0.0,국방부직할
개찰완료,11:00,2016-01-29,협상에의한계약(전자),총액계약,국군재정관리단,ZD00303,,협상,,국군재정관리단,ZD00303,용역,667000000.00,00부대 물절약 투자대행사업(WASCO  15-A047),UMM0003,2,N,535467000.00,유근영,박승우,주식회사 도화엔지니어링,211-81-08009,서울특별시 강남구 삼성로 438(대치동),80.279,2016-01-29,0.0,기타
유찰,11:00,2016-02-03,협상에의한계약(전자),총액계약,국군재정관리단,ZD00303,,협상,,국군재정관리단,ZD00303,물품,,00부대 물절약 투자대행사업(WASCO  15-A048),UMM0004,2,N,,,,,,,,,0.0,기타
개찰완료,11:00,2016-01-05,일반경쟁,총액계약,국군재정관리단,ZD00303,464429250.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,456378904.00,'16년 음향 영상장비 유지보수 용역,UMM0860,2,Y,396923000.00,전대석,송관섭,주식회사 케이원,107-81-54150,"서울특별시 금천구 가산디지털2로14,  14층 1405, 1406호(가산동)",86.972,2016-01-05,0.0,기타
유찰,11:00,2016-01-05,일반경쟁,총액계약,국군재정관리단,ZD00303,312830000.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,,16년 M&S센터 용역 사업,UMM0922,2,Y,,,,,,,,,0.0,기타
개찰완료,14:00,2016-02-01,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,81180000.00,국방연구시설·장비 종합관리 방안 연구,MHD0136,1,N,70626600.00,,백훈,(재)한국산업개발연구원,214-82-00279,서울특별시 서초구 남부순환로319길 13(서초동),87.000,2016-02-26,0.0,국방부직할
개찰완료,11:00,2016-01-06,일반경쟁,총액계약,국군재정관리단,ZD00303,534811880.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,529210266.00,16년 국방통합데이터센터 시설관리용역,UMM0831,4,Y,459068540.00,이유진,손병종,주식회사 장풍에치알,106-81-66158,서울특별시 서초구 강남대로202 (양재동) 모산빌딩 4F,86.745,2016-01-06,0.0,기타
개찰완료,11:00,2016-01-06,일반경쟁,총액계약,국군재정관리단,ZD00303,486960000.00,적격심사제,86.745,국군재정관리단,ZD00303,용역,481530581.00,16년 국방통합데이터센터 시설관리용역(2),UMM0001,4,Y,417746630.00,이유진,손병종,주식회사 장풍에치알,106-81-66158,서울특별시 서초구 강남대로202 (양재동) 모산빌딩 4F,86.753,2016-01-06,0.0,기타
유찰,14:00,2016-01-05,일반경쟁,총액계약,방위사업청,1690000,700119000.00,적격심사제,,방위사업청,1690000,물품,,155밀리 모의신관류,EGG0109,2,Y,,,,,,,,,0.0,국방부직할
유찰,14:00,2016-01-12,일반경쟁,총액계약,방위사업청,1690000,700119000.00,적격심사제,,방위사업청,1690000,물품,,155밀리 모의신관류,EGG0109,3,Y,,,,,,,,,0.0,국방부직할
순위확정,14:00,2016-01-26,일반경쟁,총액계약,방위사업청,1690000,700119000.00,적격심사제,,방위사업청,1690000,물품,,155밀리 모의신관류,EGG0109,4,Y,,,,,,,,,0.0,국방부직할
개찰완료,10:30,2016-01-26,일반경쟁,총액계약,제3283부대,ZD00157,87378640.00,적격심사제,87.745,제3283부대,ZD00157,용역,86480377.00,16-교-입영신체검사(흉부검사) 위탁용역,SFL0014,1,Y,76670388.00,유찬국,김인원,(사) 한국건강관리협회경상북도지부,504-82-00814,대구광역시 북구 팔달로25-0 (노원동3가),88.656,2016-01-26,0.0,육군
개찰완료,11:00,2016-01-29,제한경쟁,총액계약,국군재정관리단,ZD00303,82029000.00,적격심사제,87.995,국군재정관리단,ZD00303,물품,80917831.00,스펙트럼용 분석기 구매,UMM0014,1,Y,71225000.00,김정윤,김정윤,미래상사,301-29-35140,충청북도 청주시 상당구 월평로250번길6-0 (용암동),88.021,2016-01-29,0.0,기타
개찰완료,14:00,2016-03-03,협상에의한계약(서류),총액계약,방위사업청(운영지원과),1690000,,협상,,방위사업청(운영지원과),1690000,용역,130000000.00,2016년 군용항공기 감항인증 국제회의 행사진행,MHD0003,1,N,123300000.00,,백승우,주식회사 빅앤츠,114-87-08087,"서울특별시 서초구 서초대로57, 3층 (방배동)",94.846,2016-03-08,0.0,국방부직할
