,입찰명,발주기관
32,설 경축특식 빵세트,제1군수지원사령부
37,모듬두텁떡 등 6종 제조,제3170부대
42,햄버그스테이크 등 31종 구매,해군군수사령부
90,떡류 등 21종,제9181부대
95,모듬콩조림 등 17종 구매,해군군수사령부
96,모듬콩조림 등 17종 구매,해군군수사령부
97,모듬콩조림 등 17종 구매,해군군수사령부
98,모듬콩조림 등 17종 구매,해군군수사령부
99,모듬콩조림 등 17종 구매,해군군수사령부
100,모듬콩조림 등 17종 구매,해군군수사령부
101,모듬콩조림 등 17종 구매,해군군수사령부
102,모듬콩조림 등 17종 구매,해군군수사령부
103,모듬콩조림 등 17종 구매,해군군수사령부
104,모듬콩조림 등 17종 구매,해군군수사령부
105,모듬콩조림 등 17종 구매,해군군수사령부
106,모듬콩조림 등 17종 구매,해군군수사령부
107,모듬콩조림 등 17종 구매,해군군수사령부
108,모듬콩조림 등 17종 구매,해군군수사령부
109,모듬콩조림 등 17종 구매,해군군수사령부
110,모듬콩조림 등 17종 구매,해군군수사령부
192,햄버그스테이크 등 31종 구매,해군군수사령부
193,햄버그스테이크 등 31종 구매,해군군수사령부
194,햄버그스테이크 등 31종 구매,해군군수사령부
195,햄버그스테이크 등 31종 구매,해군군수사령부
196,햄버그스테이크 등 31종 구매,해군군수사령부
197,햄버그스테이크 등 31종 구매,해군군수사령부
198,햄버그스테이크 등 31종 구매,해군군수사령부
199,햄버그스테이크 등 31종 구매,해군군수사령부
200,햄버그스테이크 등 31종 구매,해군군수사령부
201,햄버그스테이크 등 31종 구매,해군군수사령부
202,햄버그스테이크 등 31종 구매,해군군수사령부
203,햄버그스테이크 등 31종 구매,해군군수사령부
204,햄버그스테이크 등 31종 구매,해군군수사령부
205,햄버그스테이크 등 31종 구매,해군군수사령부
206,햄버그스테이크 등 31종 구매,해군군수사령부
207,햄버그스테이크 등 31종 구매,해군군수사령부
208,햄버그스테이크 등 31종 구매,해군군수사령부
209,햄버그스테이크 등 31종 구매,해군군수사령부
210,햄버그스테이크 등 31종 구매,해군군수사령부
211,햄버그스테이크 등 31종 구매,해군군수사령부
212,햄버그스테이크 등 31종 구매,해군군수사령부
213,햄버그스테이크 등 31종 구매,해군군수사령부
214,햄버그스테이크 등 31종 구매,해군군수사령부
215,햄버그스테이크 등 31종 구매,해군군수사령부
216,햄버그스테이크 등 31종 구매,해군군수사령부
350,스모크햄 900EA 구매,제9911부대
1422,크리미빵 등 6종,제9181부대
2164,감자으깨기 등 62종 구매,제7001부대
2378,콩나물,제1군수지원사령부
2382,콩나물,제1군수지원사령부
2397,사각어묵 등 10종 구매,제9911부대
2422,콩나물 구매(경북권),5군수지원사령부
2423,콩나물 구매(충청권),5군수지원사령부
2424,콩나물 구매(경남권),5군수지원사령부
2425,콩나물 구매(전라권),5군수지원사령부
2585,콩나물 구매(제조 또는 구매),제2167부대
2693,콩나물(제조 또는 구매),제7789부대
3195,추석특식 빵세트 구매,5군수지원사령부
3248,국군의 날 경축특식 빵세트,제1군수지원사령부
3411,경축특식 떡세트,제2167부대
3480,국군의날 경축특식(빵세트) 제조(구매),제7789부대
4068,떡볶이떡,급식유류계약팀
4069,떡국떡,급식유류계약팀
5396,증식용 떡 및 케이크 제조납품,제2236부대
5412,즉석쌀국수,급식유류계약팀
5611,16년 증식용 떡 및 케이크 구매,제1862부대
5786,16년 생일자 떡 케이크 제조납품,제2군단
5787,16년 영내자 증식용 떡 제조납품,제2군단
6215,생선묵(떡볶이),급식유류계약팀
6216,생선묵(떡볶이),급식유류계약팀
6217,생선묵(떡볶이),급식유류계약팀
6218,생선묵(떡볶이),급식유류계약팀
6219,생선묵(튀김),급식유류계약팀
6220,생선묵(튀김),급식유류계약팀
6221,생선묵(튀김),급식유류계약팀
6222,생선묵(튀김),급식유류계약팀
6273,햄버거빵(2형),급식유류계약팀
6275,시리얼(쌀맛후레이크),급식유류계약팀
6337,핫도그빵,급식유류계약팀
6338,핫도그빵,급식유류계약팀
6339,핫도그빵,급식유류계약팀
6340,핫도그빵,급식유류계약팀
6341,햄버거빵(2형),급식유류계약팀
6342,햄버거빵(2형),급식유류계약팀
6343,햄버거빵(2형),급식유류계약팀
6579,햄머드릴 등 12종 구매,제3170부대
6655,햄슬라이스,급식유류계약팀
6656,햄슬라이스,급식유류계약팀
6657,햄슬라이스,급식유류계약팀
6658,햄슬라이스,급식유류계약팀
6694,즉석쌀국수,급식유류계약팀
6695,즉석쌀국수,급식유류계약팀
6696,즉석쌀국수,급식유류계약팀
7026,증식류 어묵바 구매,5군수지원사령부
7046,햄,급식유류계약팀
7047,햄,급식유류계약팀
7048,햄,급식유류계약팀
7049,햄,급식유류계약팀
7061,볶은참깨,급식유류계약팀
7205,16년 증식용 떡 및 케이크 구매,제15보병사단
7208,건빵,급식유류계약팀
7209,건빵,급식유류계약팀
7210,건빵,급식유류계약팀
7211,건빵,급식유류계약팀
7416,물엿,급식유류계약팀
7715,혼합프레스햄 등 9종 구매,제9911부대
7759,콩조림 등 7종 구매,제9911부대
7808,비강지혈거즈1항묵 구매(물품),육군군수사령부
7926,증식류 용기어묵 구매,5군수지원사령부
7959,스모크햄 등 2종,해군 기동함대사령부
7996,쌀떡볶이 구매(구매 또는 제조),제2167부대
8115,모듬콩조림 등 14종 구매,해군군수사령부
8116,모듬콩조림 등 14종 구매,해군군수사령부
8117,모듬콩조림 등 14종 구매,해군군수사령부
8118,모듬콩조림 등 14종 구매,해군군수사령부
8119,모듬콩조림 등 14종 구매,해군군수사령부
8120,모듬콩조림 등 14종 구매,해군군수사령부
8121,모듬콩조림 등 14종 구매,해군군수사령부
8122,모듬콩조림 등 14종 구매,해군군수사령부
8123,모듬콩조림 등 14종 구매,해군군수사령부
8124,모듬콩조림 등 14종 구매,해군군수사령부
8125,모듬콩조림 등 14종 구매,해군군수사령부
8126,모듬콩조림 등 14종 구매,해군군수사령부
8127,모듬콩조림 등 14종 구매,해군군수사령부
8128,모듬콩조림 등 14종 구매,해군군수사령부
8167,순살조각닭 등 6종 구매,해군군수사령부
8168,냉장염지조각닭 등 7종 구매,해군군수사령부
8303,증식류 크림빵 구매,5군수지원사령부
8312,증식류 소시지빵 구매,5군수지원사령부
8313,증식류 피자빵 구매,5군수지원사령부
8314,증식류 피자빵 구매,5군수지원사령부
8315,증식류 크림빵 구매,5군수지원사령부
8339,어묵탕(용기) 구매(구매 또는 제조),제2167부대
8341,증식류 용기떡볶이 구매,5군수지원사령부
8345,증식류 소시지빵 구매,5군수지원사령부
8346,증식류 피자빵 구매,5군수지원사령부
8534,16- 백령도 빵류 납품,제9196부대
8632,짜장컵밥 구매,제2167부대
8634,16년 영내자증식용 떡 구매,육군학생군사학교
8658,16년 증식용 떡 및 케이크 구매,제1288부대
8660,증식용 떡 및 생일자 케익크 제조납품,제3697부대
8661,증식용 떡 및 생일자 케익크 제조납품,제3697부대
8737,어묵(용기),제1군수지원사령부
8809,콩나물 등 3종(연평도),연평부대
8811,쌀 햄버거빵 등 40종(연평도),연평부대
8839,피자빵,제1군수지원사령부
8875,피자빵 등 1종 구매(연평도),연평부대
8895,후식류 쌀음료 구매,5군수지원사령부
8913,콩두유,제1군수지원사령부
8919,슈크림빵 등 9종 구매,제3170부대
8932,소보루빵 구매(제조),제7789부대
8933,피자빵 구매(제조),제7789부대
8934,단팥빵 구매(제조),제7789부대
8952,소보루빵,제1군수지원사령부
8965,경축특식 빵세트 구매,5군수지원사령부
8992,설날 경축특식 냉동떡 세트,제1군수지원사령부
8996,참깨라면(용기면류) 등 8종 구매,제9691부대
8997,16년 설 경축특식 떡세트(제조 또는 구매),제2167부대
9003,떡류 등 18종 제조/납품,제9181부대
9008,냉장염지조각닭 등 13종,해군군수사령부
9155,모듬콩조림 등 20종,해군군수사령부
9156,모듬콩조림 등 20종,해군군수사령부
9157,모듬콩조림 등 20종,해군군수사령부
9158,모듬콩조림 등 20종,해군군수사령부
9159,모듬콩조림 등 20종,해군군수사령부
9160,모듬콩조림 등 20종,해군군수사령부
9161,모듬콩조림 등 20종,해군군수사령부
9162,모듬콩조림 등 20종,해군군수사령부
9163,모듬콩조림 등 20종,해군군수사령부
9164,모듬콩조림 등 20종,해군군수사령부
9165,모듬콩조림 등 20종,해군군수사령부
9166,모듬콩조림 등 20종,해군군수사령부
9167,모듬콩조림 등 20종,해군군수사령부
9168,모듬콩조림 등 20종,해군군수사령부
9169,모듬콩조림 등 20종,해군군수사령부
9170,모듬콩조림 등 20종,해군군수사령부
9171,모듬콩조림 등 20종,해군군수사령부
9725,쌀과자 구매,제9181부대
10141,떡류 등 2품목,제9181부대
10144,컵비빔밥/고추장나물비빔밥 등 15종 구매,제9911부대
10623,스모크햄 등 9종 구매,제9911부대
11638,쌀과자(인절미맛) 구매,제3170부대
11718,국군의날 경축특식 빵세트,제1군수지원사령부
11881,빵류 등 7품목,제9181부대
11924,프레스햄 통조림 등 20종,해군 기동함대사령부
11927,프레스햄 통조림 등 20종,해군 기동함대사령부
12180,콩나물,급식유류계약팀
12330,충전 햄머드릴 등 6항목 구매(물자),육군군수사령부
12631,콩나물,급식유류계약팀
13904,혼합프레스햄 547캔 구매,제9911부대
14340,햄,급식유류계약팀
14342,햄슬라이스,급식유류계약팀
14457,시리얼(쌀맛후레이크),급식유류계약팀
14573,생선묵(떡볶이용),급식유류계약팀
14574,생선묵(떡볶이용),급식유류계약팀
14575,생선묵(떡볶이용),급식유류계약팀
14576,생선묵(떡볶이용),급식유류계약팀
14577,생선묵(튀김용),급식유류계약팀
14578,생선묵(튀김용),급식유류계약팀
14579,생선묵(튀김용),급식유류계약팀
14580,생선묵(튀김용),급식유류계약팀
14582,볶은참깨,급식유류계약팀
14638,햄슬라이스,급식유류계약팀
14639,햄슬라이스,급식유류계약팀
14640,햄,급식유류계약팀
14641,햄,급식유류계약팀
14642,햄,급식유류계약팀
14654,핫도그빵,급식유류계약팀
14655,핫도그빵,급식유류계약팀
14656,핫도그빵,급식유류계약팀
14657,핫도그빵,급식유류계약팀
14658,햄버거빵(2형),급식유류계약팀
14659,햄버거빵(2형),급식유류계약팀
14660,햄버거빵(2형),급식유류계약팀
14661,햄버거빵(2형),급식유류계약팀
14692,들깨가루,급식유류계약팀
14822,닭고기 등 18종,제7001부대
