,입찰명,발주기관,낙찰자(상호)
4948,가루비누(슈퍼타이 1kg) 구매,국방부계룡대근무지원단,오상종합상사
7059,표고버섯 가루,급식유류계약팀,삼오종합식품 주식회사
7236,튀김가루,급식유류계약팀,씨제이제일제당주식회사
7265,후춧가루,급식유류계약팀,오뚜기제유 주식회사
11979,가루비누 등 32종 구매,제8385부대,가나안상사
14320,튀김가루,급식유류계약팀,씨제이제일제당주식회사
14497,가루수도꼭지 등 18종 구매,국방부계룡대근무지원단,대경상사
14581,후춧가루,급식유류계약팀,주식회사 두원식품
14692,들깨가루,급식유류계약팀,(주)원우
15111,표고버섯 가루,급식유류계약팀,홍도식품
15666,가루비누(세제) 구매,제20전투비행단,조인
23804,튀김가루,급식유류계약팀,대한제분(주)
23811,표고버섯 가루,급식유류계약팀,삼오종합식품 주식회사
32917,튀김가루,급식유류계약팀,씨제이제일제당주식회사
35237,이발소용 가루세제 등 68종 구매,국방부계룡대근무지원단,씨에이치상사
39493,튀김가루,급식유류계약팀,대한제분(주)
51386,멸치 분말가루 구매,해군군수사령부,핸드메이드 초대점
51412,쇠고기 분말가루 구매,해군군수사령부,주식회사 류홀마트
51436,카레가루 구매,해군군수사령부,삼진유통
58922,쇠고기 분말가루 구매,해군군수사령부,행복유통
59255,카레가루 구매,해군군수사령부,삼진유통
65766,카레가루 구매,해군군수사령부,삼진유통
65769,쇠고기 분말가루 구매,해군군수사령부,에코
