,입찰명,발주기관,낙찰자(상호)
14,"17년 상반기 토성회관 식자재(채소류,공산물) 구매",제3훈련비행단,한양상사
9049,"18년 상반기 토성회관 식자재(채소류,공산품) 계약",제3훈련비행단,한양상사
9279,"18년 웅비, 성무 식자재(가공품 및 채소류 등) 구매",공군사관학교,아이원
13023,"'17년 하반기 토성회관 식자재 채소류,공산품 계약",제3훈련비행단,한양상사
18351,18년 한마음회관 식자재 계약(채소류),공군군수사령부,대명유통
21916,"18년도 후반기 토성회관 식자재 채소류, 공산품 계약",제3훈련비행단,한양상사
29943,'19년도 토성회관 식자재 (채소류 및 공산품),제3훈련비행단,한양상사
35419,19년도 장교회관 식자재 공산품 채소류 계약,제3훈련비행단,서안유통
35421,19년 상반기 토성회관(공산품 및 채소류)계약,제3훈련비행단,한양상사
35462,"'21년 공산품 및 채소류(장교,토성회관)계약",제3훈련비행단,(주) 현대그린푸드  영남센터
35513,'21년 한마음회관 식자재 구매(채소류),공군군수사령부,대명유통
35514,'21년 한마음회관 식자재 구매(채소류),공군군수사령부,대명유통
43624,20년도 채소류 및 공산품 계약,제3훈련비행단,씨티원 경남지점
43758,'20년 한마음회관 식자재 구매(채소류),공군군수사령부,새마음식육점
59678,"'22년 공산품 및 채소류(장교,토성회관)계약",제3훈련비행단,주식회사 유노미아
74329,24년도 공산품 및 채소류 및 육류 계약(장교회관),제3훈련비행단,미가온
