,입찰명,발주기관,낙찰자(상호)
340,17년 국외잡지 구매,국방대학교,지오
585,17년 영업배상보험 및 캐디근재보험,국군복지단,엠지손해보험 주식회사
609,NVR(16CH) 등 6품목(16-364호),제9691부대,주영
632,재투자 정보통신운영용품 구매(16종),제2632부대,웅진
712,EPSON 카트리지 등 38종,해군본부,현대상사
733,샤워기호스 등 837종,제5738부대,오피스브릿지
746,리무버 등 219종,해군 기동함대사령부,주식회사우정상사
750,차광막 등 99종 구매,제9911부대,클릭바이 엠알오
757,"위임150,169차 자재납품",제2632부대,SG산업
758,탄약고 화재 기호판 구매,육군 제37보병사단,다성
761,방탄복 구매,제3283부대,승재유통
764,비디오 코덱 등 34종 구매,제2002부대,한신기계
765,점보롤화장지 등 15종,해군작전사령부,주식회사 부영상사
766,사각 테이블 10개,해군작전사령부,호경북아트
772,16-해-격납고 주파수변환기 구매,해군제3함대사령부,태일자동제어(주)
773,DOWN CONVERTER 등 5종 구매,해군제3함대사령부,(유)목포신도digitalOA
774,대변기스퍼트 등 77종 구매,제9911부대,금호전기조명(주)
779,지지목 등 40종 구매,제9911부대,금호전기조명(주)
786,디지털 매니폴드 게이지 등 62종 구매,공군군수사령부,(주)디에스인프라
796,Y자형 꽂이 등 355품목,제9196부대,서진
800,취사장 주방용 소화기 구매,제6955부대,(TS)산업
811,펀치 등 41종,제7001부대,경남상사
813,전자순찰시계 등 3종 구매,해군제3함대사령부,오피스디포 목포점
815,항-16-075 황사마스크 KF80,공군사관학교,미래상사
817,톤마대 구매,제3170부대,금강아이티
827,펀치 등 115종 구매,제9911부대,제이유테크
830,물류관리라벨 등 512종,해군작전사령부,블루존시스템
859,플루드 라이트 세트 구매,공군제11전투비행단,에스지에스
863,8759부대 등 2개소 자재구매,제21보병사단,정민이엔씨
868,배구부 운동용품(배구공 등 7품목),국군체육부대,유원 씨앤씨
869,종목별 운동용품 구매(핸드볼 등 3개부서),국군체육부대,유원 씨앤씨
870,정압게이지 등 7종 설치납품,국방부근무지원단,(주)퓨처테크놀러지
872,CLT-K508L(검정) 등 62항목 구매(물자),육군군수사령부,미소커뮤니케이션
874,철수세미 등 41종 구매,제9911부대,엔돌핀
876,섹션 펜꽃이 등 309종,해군작전사령부,영화상사
877,컬러정부화일 등 278종 구매,제9911부대,프라임테크
878,전기온풍기 등 3종 구매,제2002부대,삼성전자형제대리점
