입찰명,발주기관코드,발주기관,카테고리
코인 등 3품목,SFH,제9196부대,미분류
17년 전산장비 유지보수 용역,MDI,제7016부대,미분류
코인 등 3품목,SFH,제9196부대,미분류
17년 전산장비 유지보수 용역,MDI,제7016부대,미분류
베트남전투사발간,SFC,제9691부대,미분류
음식물쓰레기 처리용역(17년도),HDP,공군제19전투비행단,미분류
Truepress-jet520 전용잉크등 2종 구매,UAC,국방출판지원단,미분류
00지역 철책 보강자재 구매,LPG,제5보병사단,미분류
00부대 유휴시설 폐기물처리 용역,LNT,제28보병사단,미분류
16년 후반기 신병용품 구매,LHN,제7보병사단,미분류
독서카페 설치 자재구매,LHN,제7보병사단,미분류
GOP 제설용 송풍기 구매,LHN,제7보병사단,미분류
"수저, 수저통 구매",LHN,제7보병사단,미분류
방풍용 비닐 등 6종,SCF,해군군수사령부,미분류
체력단련장 전동카트 구매,LCH,특수전사령부,미분류
방송장비 구매 / 설치,LKP,5군수지원사령부,미분류
물류취급 물자(롤테이너 등 5종) 구매,LCF,육군군수사령부,미분류
`16년 정보자원 도입사업 리스,MCJ,국방통합데이터센터,미분류
자이로스코프 비율식 구매,HCF,공군군수사령부,미분류
군 월동준비자재 구매(51종 712개),LPM,제9보병사단사령부,미분류
음향제작장비 등 4품목 제작설치,SFC,제9691부대,미분류
충전키트 가압용 등 2종,SCF,해군군수사령부,미분류
방위사업청 X-Ray검색기 구매.설치 사업,MHD,방위사업청(운영지원과),미분류
물류취급물자(롤테이너 등 5개 품목) 구매,LGP,제1군수지원사령부,미분류
창조 12차 장비도입 사업 통합리스,UMM,국군재정관리단,미분류
모바일기기 통제체계(MDM) 구축,UMM,국군재정관리단,미분류
핸드토키 구매,LMD,제7821부대,미분류
00부대 방송장비 보강 사업,LMD,제7821부대,미분류
"급식유통센터 운용물자(플라스틱상자, 파레트) 구매",LKP,5군수지원사령부,미분류
박판금속제 등 7종,SDQ,해군제2수리창,미분류
오버 헤드 크레인,SFG,제9181부대,미분류
