참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
2,HDL0015,1,50495,***,'18년도 무한잉크프린터 임차용역,용역,HDL,공군제16전투비행단,201712291400,H83BD,늑대와여우(현주컴퓨터),Wolf&Fox computer,김성립,054-654-0207,경상북도 예천군 예천읍 군청앞길9-0,96.7369,24750000
3,MDN0016,2,49576,***,'18 IP교환기 유지보수 용역,용역,MDN,국군화생방방호사령부,201712291400,BAE92,주식회사 노하우전기통신,,양창화,027016290,"서울특별시 영등포구 양산로53, 408호(양평동3가, 월드메르디앙비즈센터)",88.4568,18666538
5,UMM0759,1,49329,***,18~20년 학군교 전세버스 수송용역(충청),용역,UMM,국군재정관리단,201712291100,D4B55,주식회사 은성고속관광,silverstar,송숙희,042-271-8881,대전광역시 동구 상소동산내로474번길63,88.9222,176100000
14,HCQ0048,1,50471,***,'18년 프린터 임차 용역,용역,HCQ,공군제5공중기동비행단,201712291100,G0CB5,전산&오피스 솔루션,Junsan&Office Solution,신주희,051-633-0996,"부산광역시 남구 고동골로40-2, 2층(문현동)",88.0686,27850000
5,SEE0056,2,47400,***,18-J-프린터 임차 용역,용역,SEE,제9해병여단,201712291100,H36B4,한올네트웍스,HANALLNETWORKS,김선학,064-711-1191,제주특별자치도 제주시 우정로16길21 (외도일동),91.3998,18500000
4,SEE0057,2,49381,***,18-J-전기안전관리대행 용역,용역,SEE,제9해병여단,201712291100,D1CAD,(주) 아성기술단,"A-SUNG TECHNIQUE Co., Ltd",현봉식,0647630072,"제주특별자치도 서귀포시 동홍로162번길3, 5층(동홍동)",88.3114,27929000
35,UMM0762,1,49365,***,18-오·폐수 처리시설 관리 용역,용역,UMM,국군재정관리단,201712291100,DB2A7,주식회사 이앤비,EnB CO. LTD,오철환,0332522222,강원특별자치도 춘천시 옛경춘로487 (칠전동),88.5739,276780000
3,LKS0047,1,49376,***,계룡 체력단련장 액화석유가스(LPG)구매,물품,LKS,육군인사사령부,201712291030,D19B6,(유)대웅,daewoung gas,윤일수,01026389885,충청남도 금산군 남이면 휴양림로401-0,91.7272,21542400
3,HFG0002,1,00226,***,'18년 취약점 진단 분석체계 유지보수,용역,HFG,공군제7항공통신전대,201712291030,HB6C0,주식회사한국픽셀,HANKOOKPIXEL CO.LTD,홍상의,0226523348,경기도 광명시 광명역로26-0 (일직동)1동1212호 (광명역파크자이),89.2684,21930000
1,LFC0044,1,45857,001,장거리 이동 신병 도시락 제조납품,물품,LFC,육군훈련소,201712291000,GA6E7,주식회사 엘엔에프 농업회사법인,LNF,이용환,0437318109,충청북도 옥천군 옥천읍 삼청리877-1,99.3333,5960
