bidID,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,발주기관코드,발주기관,개찰일시,낙찰업체코드,낙찰업체상호,대표자,업체주소,낙찰률,낙찰금액,카테고리,pick_keywords,군 분류,계약방법
1,81,SFL0160,1,47669,***,임시명찰 등 2품목 구매,SFL,제3283부대,2016-12-30 12:30:00,H84F8,주식회사 전우밀리터리,이정구,"경기도 고양시 덕양구 통일로140, 1층 에이143호, 2층 에이261호,지하1층 비110호(동산동, 삼송테크노밸리)",88.0062,23689950.0,2종,명찰,육군,일반경쟁
3,22,LGT0034,1,48136,***,0부대 중대시설 분전반 제조설치(16-312),LGT,제2307부대,2016-12-29 11:00:00,F91A4,설악테크,김화성,강원특별자치도 인제군 북면 원통로74번길10-5(원통농공단지),88.0408,29098720.0,4종,제조설치,육군,제한경쟁
4,22,UMM0839,1,48049,***,13-본-국대-01 00학교 가구 및 비품 제조설치,UMM,국군재정관리단,2016-12-29 11:00:00,B30CC,주식회사 디에스나이키,김준홍,"서울특별시 구로구 구로중앙로134, 4층(구로동, 리치몰)",88.2297,2165042000.0,2종,가구,기타,제한경쟁
5,9,LGT0035,1,48138,***,00부대 중대시설 조명기구 제조납품(16-314),LGT,제2307부대,2016-12-29 11:00:00,C959B,주식회사 한서,이명옥,강원특별자치도 원주시 태장공단길47-0 (태장동),88.3713,32424410.0,4종,조명기구,육군,제한경쟁
6,4,HCL0100,1,48057,***,2017년 난방연료,HCL,공군사관학교,2016-12-29 10:30:00,GAA78,주식회사거성에너지,박정봉,충청북도 충주시 서흥1길22-0 (목행동),90.4952,149700000.0,3종,연료,공군,제한경쟁
9,3,HCL0097,2,46235,***,군수처 취사연료,HCL,공군사관학교,2016-12-28 10:30:00,GE2D7,SK가스충청충전소,홍금성,충청북도 청주시 흥덕구 가로수로1086번길20-0 (비하동),88.0299,73519966.0,3종,연료,공군,제한경쟁
10,2,SFC0229,1,47835,***,우갈비 등 15품목 (덕산스포텔),SFC,제9691부대,2016-12-28 10:30:00,G75EF,충성축산,석관희,경기도 화성시 정남면 만년로440-0,92.1355,57227200.0,1종,갈비,해병,제한경쟁
11,2,SFC0228,1,47822,***,감자전분 등 211품목(덕산스포텔),SFC,제9691부대,2016-12-28 10:30:00,D4976,한샘유통 주식회사,유임묵,경기도 평택시 포승읍 여술2길25,84.4127,89830000.0,1종,감자,해병,제한경쟁
12,2,SFC0227,1,47817,***,다목적작업차,SFC,제9691부대,2016-12-28 10:30:00,C6325,국제통상,이중승,경기도 성남시 분당구 벌말로40번길 4-1(),92.6953,49500000.0,7종,작업차,해병,제한경쟁
13,5,LPG0062,1,48186,***,토양정화사업 액화석유가스(LPG) 구매,LPG,제5보병사단,2016-12-28 10:30:00,GE29B,여주LPG충전소,최일삼,경기도 여주시 가남읍 경충대로900,70.0417,203537200.0,3종,가스,육군,제한경쟁
14,3,EGD0048,2,6003,***,상륙기동헬기 초도양산 지원장비,EGD,항공기계약팀 (구:19.09.16),2016-12-27 15:00:00,F6841,우주산업플랜트 주식회사,최창식,경상남도 창원시 의창구 봉강가술로537번길42-0 (대산면),89.5066,6856000000.0,7종,기동,국방부직할,일반경쟁
15,2,HCS0043,1,45437,***,"17년 상반기 토성회관 식자재(채소류,공산물) 구매",HCS,제3훈련비행단,2016-12-27 13:30:00,FAABC,한양상사,박건점,경상남도 진주시 촉석로207번길10-1 (수정동),89.3278,98364000.0,1종,식자재,공군,제한경쟁
16,94,MDR0084,1,47084,***,어린이집 교구교재 51종 구매,MDR,제9965부대,2016-12-27 11:30:00,H62BE,더에이치컴퍼니,조현정,"경기도 성남시 분당구 판교로393, 204동 702호(삼평동, 봇들마을)",87.996,29842600.0,2종,교구,육군,제한경쟁
17,2,SFH0113,1,46951,***,코인 등 3품목,SFH,제9196부대,2016-12-27 11:00:00,DBE6B,대한상역,나혜만,인천광역시 강화군 양도면 강화남로374번길26-21,87.1585,22385000.0,2종,코인,해병,제한경쟁
18,25,MDI0025,1,45104,***,17년 전산장비 유지보수 용역,MDI,제7016부대,2016-12-27 11:00:00,C4B7D,주식회사 페타바이트,정세영,"서울특별시 서초구 방배로60, 광찬빌딩 3층 302호(방배동)",87.8498,22720170.0,10종,용역,국방부직할,제한경쟁
