bidID,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,발주기관코드,발주기관,개찰일시,낙찰업체코드,낙찰업체상호,대표자,업체주소,낙찰률,낙찰금액,카테고리,pick_keywords,군 분류
1,81,SFL0160,1,47669,***,임시명찰 등 2품목 구매,SFL,제3283부대,2016-12-30 12:30:00,H84F8,주식회사 전우밀리터리,이정구,"경기도 고양시 덕양구 통일로140, 1층 에이143호, 2층 에이261호,지하1층 비110호(동산동, 삼송테크노밸리)",88.0062,23689950.0,2종,명찰,육군
2,1,LFC0043,1,45002,1,장거리 이동 신병 도시락 제조납품,LFC,육군훈련소,2016-12-30 10:00:00,GA6E7,주식회사 엘엔에프 농업회사법인,이용환,충청북도 옥천군 옥천읍 삼청리877-1,96.8333,5810.0,1종,도시락,육군
3,22,LGT0034,1,48136,***,0부대 중대시설 분전반 제조설치(16-312),LGT,제2307부대,2016-12-29 11:00:00,F91A4,설악테크,김화성,강원특별자치도 인제군 북면 원통로74번길10-5(원통농공단지),88.0408,29098720.0,4종,제조설치,육군
4,22,UMM0839,1,48049,***,13-본-국대-01 00학교 가구 및 비품 제조설치,UMM,국군재정관리단,2016-12-29 11:00:00,B30CC,주식회사 디에스나이키,김준홍,"서울특별시 구로구 구로중앙로134, 4층(구로동, 리치몰)",88.2297,2165042000.0,2종,가구,기타
5,9,LGT0035,1,48138,***,00부대 중대시설 조명기구 제조납품(16-314),LGT,제2307부대,2016-12-29 11:00:00,C959B,주식회사 한서,이명옥,강원특별자치도 원주시 태장공단길47-0 (태장동),88.3713,32424410.0,4종,조명기구,육군
6,4,HCL0100,1,48057,***,2017년 난방연료,HCL,공군사관학교,2016-12-29 10:30:00,GAA78,주식회사거성에너지,박정봉,충청북도 충주시 서흥1길22-0 (목행동),90.4952,149700000.0,3종,연료,공군
7,8,LNF0041,1,49073,***,00부대 체육시설 비품구매(고소작업대 등 9종),LNF,제1보병사단,2016-12-29 10:30:00,H0239,주연ICT,이주연,경기도 파주시 중앙로279-0 (아동동),88.1355,22380178.0,"2종, 7종","고소작업대, 체육",육군
8,2,HCM0002,1,19,1,17년 액화석유가스(LPG) 구매,HCM,공군교육사령부,2016-12-28 11:00:00,ECA82,주식회사 가스마켓코리아,박영숙,경상남도 창원시 의창구 동읍 동읍로1033-0,88.1977,1889.0,3종,가스,공군
9,3,HCL0097,2,46235,***,군수처 취사연료,HCL,공군사관학교,2016-12-28 10:30:00,GE2D7,SK가스충청충전소,홍금성,충청북도 청주시 흥덕구 가로수로1086번길20-0 (비하동),88.0299,73519966.0,3종,연료,공군
10,2,SFC0229,1,47835,***,우갈비 등 15품목 (덕산스포텔),SFC,제9691부대,2016-12-28 10:30:00,G75EF,충성축산,석관희,경기도 화성시 정남면 만년로440-0,92.1355,57227200.0,1종,갈비,해병
11,2,SFC0228,1,47822,***,감자전분 등 211품목(덕산스포텔),SFC,제9691부대,2016-12-28 10:30:00,D4976,한샘유통 주식회사,유임묵,경기도 평택시 포승읍 여술2길25,84.4127,89830000.0,1종,감자,해병
12,2,SFC0227,1,47817,***,다목적작업차,SFC,제9691부대,2016-12-28 10:30:00,C6325,국제통상,이중승,경기도 성남시 분당구 벌말로40번길 4-1(),92.6953,49500000.0,7종,작업차,해병
13,5,LPG0062,1,48186,***,토양정화사업 액화석유가스(LPG) 구매,LPG,제5보병사단,2016-12-28 10:30:00,GE29B,여주LPG충전소,최일삼,경기도 여주시 가남읍 경충대로900,70.0417,203537200.0,3종,가스,육군
14,3,EGD0048,2,6003,***,상륙기동헬기 초도양산 지원장비,EGD,항공기계약팀 (구:19.09.16),2016-12-27 15:00:00,F6841,우주산업플랜트 주식회사,최창식,경상남도 창원시 의창구 봉강가술로537번길42-0 (대산면),89.5066,6856000000.0,7종,기동,국방부직할
15,2,HCS0043,1,45437,***,"17년 상반기 토성회관 식자재(채소류,공산물) 구매",HCS,제3훈련비행단,2016-12-27 13:30:00,FAABC,한양상사,박건점,경상남도 진주시 촉석로207번길10-1 (수정동),89.3278,98364000.0,1종,식자재,공군
16,94,MDR0084,1,47084,***,어린이집 교구교재 51종 구매,MDR,제9965부대,2016-12-27 11:30:00,H62BE,더에이치컴퍼니,조현정,"경기도 성남시 분당구 판교로393, 204동 702호(삼평동, 봇들마을)",87.996,29842600.0,2종,교구,육군
17,2,SFH0113,1,46951,***,코인 등 3품목,SFH,제9196부대,2016-12-27 11:00:00,DBE6B,대한상역,나혜만,인천광역시 강화군 양도면 강화남로374번길26-21,87.1585,22385000.0,2종,코인,해병
18,25,MDI0025,1,45104,***,17년 전산장비 유지보수 용역,MDI,제7016부대,2016-12-27 11:00:00,C4B7D,주식회사 페타바이트,정세영,"서울특별시 서초구 방배로60, 광찬빌딩 3층 302호(방배동)",87.8498,22720170.0,10종,용역,국방부직할
19,7,MDG0154,1,46660,1,2017년 LPG 구매 (강원),MDG,국군의무사령부,2016-12-27 11:00:00,BFA96,동방도시가스산업(주),안홍재,강원특별자치도 강릉시 연곡면 동해대로 4076(),88.4603,866.0,3종,LPG,기타
20,3,MDG0153,1,46659,1,2017년 LPG 구매 (경기),MDG,국군의무사령부,2016-12-27 11:00:00,F8A35,원진에너지주식회사,강수만,경기도 안산시 단원구 장골1길38-0 (대부남동),88.4175,752.0,3종,LPG,기타
21,9,MDG0152,1,46658,1,2017년 LPG 구매 (전라),MDG,국군의무사령부,2016-12-27 11:00:00,EB616,원진특수가스주식회사,김경희,전북특별자치도 정읍시 덕천면 황토현로646,89.1054,816.0,3종,LPG,기타
22,2,SFH0113,2,46951,***,코인 등 3품목,SFH,제9196부대,2016-12-27 11:00:00,DBE6B,대한상역,나혜만,인천광역시 강화군 양도면 강화남로374번길26-21,87.1585,22385000.0,2종,코인,해병
23,25,MDI0025,2,45104,***,17년 전산장비 유지보수 용역,MDI,제7016부대,2016-12-27 11:00:00,C4B7D,주식회사 페타바이트,정세영,"서울특별시 서초구 방배로60, 광찬빌딩 3층 302호(방배동)",87.8498,22720170.0,10종,용역,국방부직할
24,7,MDG0154,2,46660,1,2017년 LPG 구매 (강원),MDG,국군의무사령부,2016-12-27 11:00:00,BFA96,동방도시가스산업(주),안홍재,강원특별자치도 강릉시 연곡면 동해대로 4076(),88.4603,866.0,3종,LPG,기타
25,3,MDG0153,2,46659,1,2017년 LPG 구매 (경기),MDG,국군의무사령부,2016-12-27 11:00:00,F8A35,원진에너지주식회사,강수만,경기도 안산시 단원구 장골1길38-0 (대부남동),88.4175,752.0,3종,LPG,기타
26,9,MDG0152,2,46658,1,2017년 LPG 구매 (전라),MDG,국군의무사령부,2016-12-27 11:00:00,EB616,원진특수가스주식회사,김경희,전북특별자치도 정읍시 덕천면 황토현로646,89.1054,816.0,3종,LPG,기타
27,2,MCN0113,1,47177,***,긴급 영선보수자재 구매(UPS배터리),MCN,국방부근무지원단,2016-12-27 11:00:00,F98B0,주식회사 비엔피시스템,주희,"경기도 안산시 상록구 서당길27, 1동 (주)비엔피시스템(양상동)",71.498,26961000.0,"4종, 9종","배터리, 보수",국방부직할
28,17,MCN0112,1,45582,***,00지역 시설공사 관급자재(알루미늄패널) 제조 납품,MCN,국방부근무지원단,2016-12-27 11:00:00,A9CB5,주식회사 극동,이은숙,경상북도 영천시 도남공단3길28-28 (도남동),88.1959,121270000.0,"4종, 9종","공사, 관급자재",국방부직할
29,141,MCN0111,1,45577,***,00지역 시설공사 관급자재(GHP) 설치납품,MCN,국방부근무지원단,2016-12-27 11:00:00,B99CE,지엔원에너지 주식회사,장재우,"경기도 안양시 동안구 학의로 268, 안양메가밸리 809(관양동)",83.2623,276511000.0,"4종, 9종","공사, 관급자재",국방부직할
30,49,LNR0015,1,47500,***,4개 개편부대 조명등 제조납품(정정공고),LNR,수도기계화보병사단,2016-12-27 11:00:00,D03E7,주식회사 효선전기,박현주,경기도 파주시 조리읍 등원로353번길15-38,88.0176,96697190.0,4종,조명,육군
31,5,LHK0026,4,43261,***,공병여단 장간조립교 자재 제조납품,LHK,제2군단,2016-12-27 11:00:00,1900F,전일목재산업 주식회사,김병진,전북특별자치도 김제시 백구면 금백로1138-0,88.2225,91549000.0,미분류,,육군
32,94,LHD0031,1,46286,***,7162부대 GOP 철책 시설물보강 자재구매,LHD,제21보병사단,2016-12-27 11:00:00,H229E,케이엔피 트레이드,구정희,"강원특별자치도 고성군 거진읍 거탄진로142-0, 3층 1호",88.0466,50410176.0,4종,철책,육군
33,2,LGP0122,1,46983,1,설 경축특식 빵세트,LGP,제1군수지원사령부,2016-12-27 11:00:00,2442F,(주)빙그레,김광수,경기도 남양주시 다산순환로45 (다산동),97.8718,1456.0,1종,빵,육군
34,154,LCH0037,1,46198,***,00부대 복지회관 신축 냉난방기 구매설치,LCH,특수전사령부,2016-12-27 11:00:00,B706E,주식회사 파이런텍,이병길,"서울특별시 송파구 송파대로201-0, B동 13층 1301호 (문정동, 송파테라타워2)",88.0117,103530820.0,2종,냉난방,육군
35,3,LCF0991,2,43703,***,신호처리기 조립체 등 16항목 구매(기장),LCF,육군군수사령부,2016-12-27 11:00:00,BEB46,(주) 렘텍,홍인숙,"경기도 고양시 일산동구 일산로142-0 (백석동, 유니테크빌)619호",90.0703,665000000.0,"10종, 7종, 9종","조립체, 처리, 처리기",육군
36,2,LHN0095,1,48112,***,사단 동계 대비 노후보일러 교체,LHN,제7보병사단,2016-12-27 10:30:00,C82A7,사내종합설비,이청준,강원도 화천군 사내면 사창리365-4,91.5293,12804800.0,4종,보일러,육군
37,30,SFM0126,1,47257,***,초코파이 등 27종 구매,SFM,제3170부대,2016-12-27 10:30:00,B8DB8,씨제이프레시웨이 주식회사,이건일,경기도 용인시 기흥구 기곡로32-0 (하갈동),83.0381,491870000.0,1종,초코,육군
