참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
81,SFL0160,1,47669,***,임시명찰 등 2품목 구매,물품,SFL,제3283부대,201612301230,H84F8,주식회사 전우밀리터리,Jung woo military,이정구,0222730487,"경기도 고양시 덕양구 통일로140, 1층 에이143호, 2층 에이261호,지하1층 비110호(동산동, 삼송테크노밸리)",88.0062,23689950
1,UMM0792,2,41871,***,"17년 직접입영장병 신체검사 용역(경기 연천,파주)",용역,UMM,국군재정관리단,201612301100,D2701,(사)대한결핵협회,knta,신민석,0226339461,서울특별시 서초구 바우뫼로6길57 (우면동),69.8055,45300000
3,MDN0001,1,00023,***,'17년 IP교환기 유지보수,용역,MDN,국군화생방방호사령부,201612301100,C980F,씨지에스아이티(주),CGSIT,최규식,0226328730,"서울특별시 금천구 가산디지털1로1-0 (가산동, 더루벤스밸리) 1208호",88.8825,21115480
2,UMM0829,1,45191,***,17년 직접입영장병 신체검사 용역(인천 부평등 3개소),용역,UMM,국군재정관리단,201612301100,D2701,(사)대한결핵협회,knta,신민석,0226339461,서울특별시 서초구 바우뫼로6길57 (우면동),74.1187,59572000
6,HDC0035,2,47685,***,17년 무한 임대프린터 계약,용역,HDC,공군제1전투비행단,201612301030,D9307,주식회사 광명프라자,,하윤수,0622613353,광주광역시 북구 서하로 356-1(),90.0891,21980000
3,SDG0073,1,49008,***,17-인-오폐수처리시설 위탁관리용역,용역,SDG,제2002부대,201612301030,BCE72,디에스그린 주식회사,dsgreen,황성욱,0324721711,인천광역시 남동구 남동서로316번길48-0 (남촌동),88.4447,37633320
3,SFD0187,2,47704,***,17-P-청룡회관 세탁물 처리 용역,용역,SFD,제9227부대,201612301030,GE783,스피드세탁,speedlaundry,김은철,054-444-3005,경상북도 구미시 형곡동322-8,88.6348,41780000
2,HCS0045,2,47670,***,'17년 음식물폐기물 처리용역,용역,HCS,제3훈련비행단,201612301030,GAA8A,부곡농장,bugokfarm,최오석,055-834-0076,경상남도 사천시 용현면 부곡3길65-9,91.9487,18000000
4,UAZ0060,1,48477,***,17-국방어학원 승강기 관리용역,용역,UAZ,합동군사대학교,201612301030,G7D62,주식회사 바로엘리베이터,baroelv,정광진,0318976785,"경기도 용인시 기흥구 죽현로8-22, 304호 (보정동, 휴먼타워)",89.1069,12106600
1,LFC0043,1,45002,001,장거리 이동 신병 도시락 제조납품,물품,LFC,육군훈련소,201612301000,GA6E7,주식회사 엘엔에프 농업회사법인,LNF,이용환,0437318109,충청북도 옥천군 옥천읍 삼청리877-1,96.8333,5810
