,입찰명,발주기관코드,발주기관,2종_Pick,2종_Remove,4종_Pick,4종_Remove
0,다목적체육관 관급자재 무대장치 제조설치,LNS,제55보병사단,체육,,제조설치,
1,시설유지보수 자재 구매,HDK,공군제11전투비행단,유지보수,,보수,
2,시설유지보수 자재 구매,HDK,공군제11전투비행단,유지보수,,보수,
3,ATCIS 상용HW 유지보수 물품 구매,LNG,육군 제1군단,"물품, 유지보수",,보수,
4,시설 유지보수 자재 구매,HDK,공군제11전투비행단,유지보수,,보수,
5,시설유지보수 자재 구매,HDK,공군제11전투비행단,유지보수,,보수,
6,시설유지보수 자재 구매,HDK,공군제11전투비행단,유지보수,,보수,
7,신축교육센터 정보통신환경 구축사업(리스물건),UMM,국군재정관리단,교육,,신축,
8,격별보수비 23차 물품구매,LDH,육군종합정비창,물품,,보수,
9,에어컨 팽창밸브 등 3종,SCF,해군군수사령부,에어컨,,밸브,
10,차단기 상자 등 70항목 구매(궤도),LCF,육군군수사령부,상자,,차단기,
11,PC 제조 설치 사업,UMM,국군재정관리단,PC,,제조 설치,
12,업소용 세탁기 제조설치납품,MDJ,국군대전병원,세탁기,,제조설치,
13,마이크로 스위치상자 47EA,SCF,해군군수사령부,상자,,스위치,
14,야전선,EHB,통신장비계약팀 (구:19.09.16),야전선,,전선,
15,보온용 볼밸브외 72종 구매,MCS,국방부계룡대근무지원단,보온,,"밸브, 볼밸브",
16,"스위치,회전식 등 2항목 구매(물품)",LCF,육군군수사령부,물품,,스위치,
17,에어컨 동관 등 104종,SFG,제9181부대,에어컨,,동관,
18,스위치 멀티탭,SCF,해군군수사령부,멀티탭,,스위치,
19,프린터(85대) 임대(유지보수 포함),SCP,제8385부대,"유지보수, 프린터",,보수,
20,유지보수용 자재(윤형철조망 등 17종) 구매,LHQ,제2작전사령부,유지보수,,"보수, 철조망",
21,상무아파트 4분기 경상자재 구매,LGH,육군상무대근무지원단,상자,,아파트,
22,북진포 급수시설 개선공사 이중보온벽관 구매,LHN,제7보병사단,보온,,공사,
23,정신교육장비(스피커 등 7종) 제조설치,UMM,국군재정관리단,교육,,제조설치,
24,공사물자(에어컨 냉매 등 00종) 구매,LMS,제7789부대,에어컨,,공사,
25,개별스위치 멀티탭 등 81품목,SFL,제3283부대,멀티탭,,스위치,
26,17-336 시설유지보수용 자재 45품목 구매,HCM,공군교육사령부,유지보수,,보수,
27,개별스위치 멀티텝 등 112종,SCG,해군본부,멀티텝,,스위치,
28,체육관 신축 관급자재(무대장치) 제조 설치(2),UMM,국군재정관리단,체육,,"신축, 제조 설치",
29,실내체육관 신축 관급자재(태양광발전장치) 제조설치,UMM,국군재정관리단,체육,,"신축, 제조설치",
30,실내체육관 방송장비 제조설치,UMM,국군재정관리단,체육,,제조설치,
31,병원홍보배너 및 역사게시판 제조설치납품,MDJ,국군대전병원,배너,,제조설치,
32,"앵글 체크밸브,10K65A,청동 등 5종",SCF,해군군수사령부,앵글,,"밸브, 체크밸브",
33,17년 학교교실 PC 등 3종 제조설치,UMM,국군재정관리단,PC,,제조설치,
34,'17년 학교교실 사무용품 제조설치,UMM,국군재정관리단,사무용품,,제조설치,
