공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,요구년도,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
정상공고,PIP0001,1,9100A,***,중요시설경계시스템,2019,EGH,지휘정찰계약팀 (구:19.09.16),협상에의한계약(서류),총액제,최저가격제,201812311200,20181231,낙찰
정상공고,LHR0067,1,50535,***,19년 예비군 도시락 제조 및 납품(1권역),2018,LHR,육군 제37보병사단,협상에의한계약(서류),총액제,최저가격제,201812311030,20181231,낙찰
긴급공고,MDK0018,1,50439,***,’19년 국방수송정보체계 내 상용소프트웨어 유지보수,2018,MDK,국군수송사령부,일반경쟁,총액제,적격심사제,201812311100,20181231,낙찰
정정공고,MHD0081,2,41292,***,우주 무기체계 사업을 위한 계약적 보완 방안 연구,2018,MHD,방위사업청(운영지원과),협상에의한계약(전자),총액제,최저가격제,201812311600,20181231,낙찰
정상공고,SCN0241,1,48597,***,가스오부시 등 99종,2018,SCN,제7001부대,제한경쟁,총액제,최저가격제,201812311030,20181231,낙찰
정상공고,SCN0240,1,48599,***,닭고기 등 12종,2018,SCN,제7001부대,제한경쟁,총액제,최저가격제,201812311030,20181231,낙찰
정상공고,SCN0239,1,48600,***,가오리날개(냉동) 등 36종,2018,SCN,제7001부대,제한경쟁,총액제,최저가격제,201812311030,20181231,낙찰
정상공고,SCN0242,1,50536,***,가지 등 90종,2018,SCN,제7001부대,제한경쟁,총액제,최저가격제,201812311030,20181231,낙찰
연기공고,UMM0825,2,48861,***,19년 공군기록관련 전산체계 통합유지보수용역,2018,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,201812311100,20181231,낙찰
긴급공고,UMM0833,1,50764,***,18-공군연습용 워게임장비 교체사업 리스,2018,UMM,국군재정관리단,일반경쟁,총액제,최저가격제,201812311100,20181231,낙찰
긴급공고,HDP0059,1,51005,***,19년 활주로 포장유지 관리체계 sw 유지보수 용역,2018,HDP,공군제19전투비행단,제한경쟁,총액제,적격심사제,201812281100,20181228,유찰
긴급공고,HDP0061,1,51007,***,오.폐수처리장 관리용역,2018,HDP,공군제19전투비행단,제한경쟁,총액제,적격심사제,201812281100,20181228,낙찰
긴급공고,LFC0063,1,46238,001,장거리 이동 신병 도시락 제조납품,2018,LFC,육군훈련소,2단계경쟁(동시),단가제,최저가격제,201812281000,20181228,유찰
긴급공고,LGT0027,1,50609,***,간부숙소(현리) EHP 설치납품(18-384),2018,LGT,제2307부대,제한경쟁,총액제,적격심사제,201812281030,20181228,낙찰
긴급공고,LGT0028,1,50614,***,직접입영 신체검사 부분위탁 용역(K-88),2018,LGT,제2307부대,일반경쟁,총액제,적격심사제,201812281030,20181228,낙찰
긴급공고,LKS0065,1,48824,***,계룡 및 창공대 체력단련장 하이신유 구매,2018,LKS,육군인사사령부,제한경쟁,총액제,최저가격제,201812281030,20181228,낙찰
긴급공고,LMK0011,1,50116,***,00부대 간부숙소 가스보일러 설치납품,2018,LMK,제6보병사단,제한경쟁,총액제,최저가격제,201812281100,20181228,낙찰
정상공고,MCN0083,1,48121,***,19년 영선보수자재 구매(연간 단가계약),2018,MCN,국방부근무지원단,제한경쟁,총액제,최저가격제,201812281100,20181228,낙찰
긴급공고,MCR0040,1,46226,***,2019년 종합정보시스템 유지보수 용역,2018,MCR,국방대학교,협상에의한계약(전자),총액제,최저가격제,201812281100,20181228,유찰
재공고,MDD0132,2,48452,***,국군외상센터 신축 관급자재 방사선차폐 설치,2018,MDD,국군수도병원,일반경쟁,총액제,적격심사제,201812281200,20181228,유찰
긴급공고,SCH0218,1,50506,***,19-부 00지역 음식물류 폐기물 처리용역,2018,SCH,해군작전사령부,제한경쟁,총액제,적격심사제,201812281030,20181228,유찰
정상공고,UMM0831,1,46586,***,19년 임대프린터 공급 및 유지보수 용역,2018,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,201812281100,20181228,낙찰
정상공고,UMM0830,1,50111,***,18년 공군 00체계 연동서버 노후교체사업 리스,2018,UMM,국군재정관리단,일반경쟁,총액제,최저가격제,201812281100,20181228,낙찰
재공고,EGF0238,2,2927A,***,K계열전차 소부대 전술모의훈련장비 정비,2018,EGF,기동화력계약팀 (구:19.09.16),수의계약,총액제,적격심사제,201812271030,20181227,유찰
재공고,HCL0065,2,47743,***,'19년 생활계폐기물 처리 용역,2018,HCL,공군사관학교,제한경쟁,총액제,적격심사제,201812271100,20181227,낙찰
재공고,HCL0067,2,48374,***,19년 음식물쓰레기 위탁처리 용역,2018,HCL,공군사관학교,제한경쟁,총액제,적격심사제,201812271100,20181227,유찰
긴급공고,LCH0060,1,50078,001,2019년 00부대 음식물류 폐기물 처리 용역,2018,LCH,특수전사령부,일반경쟁,단가제,적격심사제,201812271030,20181227,낙찰
재공고,LCM0043,2,48252,***,'18년 학교교실 디지털화(스마트러닝 확대구축) 리스,2018,LCM,육군교육사령부,일반경쟁,총액제,최저가격제,201812271030,20181227,낙찰
정상공고,LCP0037,1,49371,***,헬기위치 추적체계 소프트웨어 유지보수 용역,2018,LCP,육군항공사령부,일반경쟁,총액제,적격심사제,201812271100,20181227,낙찰
정상공고,LKP0010,1,49752,001,19년 부식류 민간위탁배송 계약(전라권),2018,LKP,5군수지원사령부,일반경쟁,단가제,적격심사제,201812271100,20181227,낙찰
정정공고,LKP0011,2,49753,001,19년 부식류 민간위탁배송 계약(충청권),2018,LKP,5군수지원사령부,일반경쟁,단가제,적격심사제,201812271100,20181227,낙찰
정정공고,LKP0009,2,49781,001,19년 부식류 민간위탁배송 계약(경상권),2018,LKP,5군수지원사령부,일반경쟁,단가제,적격심사제,201812271100,20181227,낙찰
긴급공고,LMH0012,1,50387,***,7공병 도하장비 보관용 방수포 제조,2018,LMH,제7군단,제한경쟁,총액제,적격심사제,201812271030,20181227,낙찰
긴급공고,LNF0020,1,50360,***,차기다련장 6차 호이스트크레인 제조설치,2018,LNF,제1보병사단,일반경쟁,총액제,적격심사제,201812271100,20181227,낙찰
긴급공고,LNQ0025,1,50286,***,'19년 예비군동대 렌탈 프린터 임차,2018,LNQ,제17보병사단,제한경쟁,총액제,적격심사제,201812271100,20181227,낙찰
정상공고,SCG0123,1,48451,***,'19년 전쟁연습센터 정보통신체계 유지보수 용역,2018,SCG,해군본부,제한경쟁,총액제,적격심사제,201812271030,20181227,낙찰
정상공고,SCN0237,1,49932,001,'19-음식물쓰레기 처리용역,2018,SCN,제7001부대,일반경쟁,단가제,적격심사제,201812271030,20181227,유찰
긴급공고,SFD0168,1,49999,***,19-P-생활폐기물 위탁처리 용역,2018,SFD,제9227부대,제한경쟁,총액제,적격심사제,201812271100,20181227,낙찰
재공고,SFN0094,2,46845,***,19-Y-오폐수처리시설 관리 용역,2018,SFN,연평부대,제한경쟁,총액제,적격심사제,201812271030,20181227,유찰
정상공고,UMM0826,1,47398,***,'19년 00지역(청주) 프린터 임차용역,2018,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,201812271100,20181227,낙찰
긴급공고,HCF0006,1,48439,***,신형 저장랙 제조 및 설치,2018,HCF,공군군수사령부,제한경쟁,총액제,적격심사제,201812261030,20181226,낙찰
긴급공고,HCG0069,1,49793,***,`19년 기록보존장비 유지보수용역,2018,HCG,공군본부,제한경쟁,총액제,적격심사제,201812261030,20181226,낙찰
긴급공고,HCM0082,1,49981,***,'19년도 장교/간부 식당 김치류 제조/구매,2018,HCM,공군교육사령부,제한경쟁,총액제,적격심사제,201812261330,20181226,낙찰
긴급공고,HCM0084,1,50169,***,"'19년 00지역(진주, 사천) 임대프린터 임차용역",2018,HCM,공군교육사령부,제한경쟁,총액제,적격심사제,201812261130,20181226,낙찰
긴급공고,HCM0085,1,50299,***,공군교육사령부 '19년 액화석유가스(LPG) 공급,2018,HCM,공군교육사령부,제한경쟁,총액제,최저가격제,201812261330,20181226,낙찰
긴급공고,HDF0048,1,49836,***,18-00전비(원주) 포장콘크리트 제조,2018,HDF,공군 제8전투비행단,일반경쟁,총액제,적격심사제,201812261100,20181226,유찰
정상공고,HDM0054,1,48753,***,'19년 레스큐가든 식자재(감자수제비외 238품목),2018,HDM,공군제17전투비행단,제한경쟁,총액제,적격심사제,201812261030,20181226,낙찰
긴급공고,HDP0057,1,50471,***,'19년도 취사연료(LPG) 구매,2018,HDP,공군제19전투비행단,제한경쟁,총액제,적격심사제,201812261400,20181226,낙찰
긴급공고,HDP0058,1,50507,***,'19년도 음식물처리 용역,2018,HDP,공군제19전투비행단,일반경쟁,총액제,적격심사제,201812261400,20181226,낙찰
