공고구분,공고번호,공고차수,판단번호,항목번호,입찰명,발주기관코드,발주기관,계약방법,입찰방법,낙찰자결정방법,개찰일시,개찰일자,입찰결과
긴급공고,EAD0007,1,25F07,***,FMS 항공운송(전 군),2025,EAD,북미지역협력담당관,수의계약,단가제,적격심사제,202509171500,20250917
정상공고,UMM0795,1,36812,***,25-M-공업용 헬륨가스 구매,2025,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202509171100,20250917
재공고,UMM0760,2,35296,***,(25F164-B) 국방대체력단련장 코스관리 위탁 용역,2025,UMM,국군재정관리단,일반경쟁,총액제,적격심사제,202509171100,20250917
재공고,SCF0700,2,32438,***,'25년 Lynx 항공기 레이더용 변조기 정비,2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,SCF0761,1,32140,***,'25년 Lynx 항공기 레이더용 수신기 정비,2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,SCF0769,1,37843,***,'25~'26년 잠수함 축전지 충방전 용역,2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,SCF0768,1,38031,***,"케이블, 전력용 등 4종 구매",2025,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,SCF0767,1,31311,***,시일 등 22종  구매,2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,SCF0772,1,33057,***,(긴급)정비화 1종,2025,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,SCF0766,1,33219,***,"잠수함(SS-II, III) 선체 및 실내 청락 도장 용역",2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,SCF0765,1,37876,***,25년 대잠 RIB 엔진 정비,2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509171030,20250917
재공고,SCF0567,2,29420,***,ASR 심해구조잠수정 양강장치(A-FRAME) 외주정비,2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,LDH0759,1,37460,***,(정비) 알루미늄 테그 구매,2025,LDH,육군종합정비창,제한경쟁,총액제,적격심사제,202509171300,20250917
긴급공고,LCG0103,1,37687,***,25-육-217 소책자 표지 제조,2025,LCG,육군본부,제한경쟁,총액제,적격심사제,202509171030,20250917
긴급공고,LCG0102,1,37354,***,25-육-246 사진 인화기 구매,2025,LCG,육군본부,제한경쟁,총액제,적격심사제,202509171030,20250917
정상공고,EBB0315,1,5024,***,25년 155밀리 훈련탄,2025,EBB,지상공통전력운영계약팀,제한경쟁,총액제,적격심사제,202509171430,20250917
재공고,EBB0304,2,1441,***,소형전술차 유지부품,2025,EBB,지상공통전력운영계약팀,일반경쟁,총액제,적격심사제,202509161400,20250916
정상공고,UMM0796,1,34038,***,(257203-E) 수도병원 공조기 필터 제조설치,2025,UMM,국군재정관리단,제한경쟁,총액제,적격심사제,202509161100,20250916
긴급공고,SFC0167,1,37786,***,디지털 금박인쇄 전용지 등 27품목 구매,2025,SFC,제9691부대,제한경쟁,총액제,적격심사제,202509161030,20250916
정정공고,SFC0169,2,37860,***,안전조끼 등 36품목 구매,2025,SFC,제9691부대,제한경쟁,총액제,적격심사제,202509161030,20250916
긴급공고,SCH0141,1,32894,***,원격통합통신체계 구매,2025,SCH,해군작전사령부,일반경쟁,총액제,적격심사제,202509161030,20250916
재공고,SCF0705,2,35132,***,"커플링, 축용, 가요성 1종 구매",2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509161030,20250916
긴급공고,SCF0755,1,30045,***,작업바퀴의자 등 249종 구매,2025,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202509161030,20250916
긴급공고,SCF0760,1,37174,***,"(긴급)잉곳, 주석-청동용 등 9종",2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509161030,20250916
긴급공고,SCF0756,1,37053,***,"(긴급) 가이드, 인젝터용 등 26종",2025,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202509161030,20250916
긴급공고,SCF0762,1,34600,***,안0함 공기조화장치 해수냉각기 조립체 정비,2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509161030,20250916
긴급공고,SCF0759,1,37166,***,"(긴급) 분사기 조립체, 연료용 1종",2025,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202509161030,20250916
긴급공고,SCF0757,1,37056,***,(긴급) 호스 라인 등 4종,2025,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202509161030,20250916
재공고,SCF0688,2,33585,***,"센서, 공기충전 온도용 방사제어용 등 16종 구매",2025,SCF,해군군수사령부,일반경쟁,총액제,적격심사제,202509161030,20250916
재공고,SCF0729,2,35362,***,25-00창 근골격계부담작업 유해요인조사용역,2025,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202509161030,20250916
긴급공고,SCF0764,1,34896,***,"절연 펠트, 방열용 12종 구매",2025,SCF,해군군수사령부,제한경쟁,총액제,적격심사제,202509161030,20250916
