,0
0,빙수
1,바나나
2,우유
3,콜라
4,과일
5,탄산
6,음료
7,발효
8,젤리
9,견과
10,케이크
11,브레드
12,짜장
13,밥
14,허니
15,감자
16,스낵
17,식용
18,핫바
19,소시지
20,어묵
21,핫도그
22,두부
23,고기
24,쌈무
25,메추리
26,순대
27,단무지
28,우동
29,단호박
30,샐러드
31,고구마
32,국수
33,치즈
34,라이스
35,스파게티
36,사과
37,푸딩
38,망고
39,요거트
40,콘푸
41,마카로니
42,돈까스
43,소스
44,간장
45,초코
46,마가렛
47,베리
48,에너지
49,몽쉘
50,사이다
51,매실
52,포도
53,식혜
54,옥수수
55,두유
56,요구르트
57,복숭아
58,아이스티
59,코코넛
60,농축액
61,피자
62,머핀
63,견과류
64,부식
65,분식
66,채류
67,김치
68,쿠키
69,미니
70,약과
71,음식
72,쇠고기
73,콩나물
74,아이스크림
75,도시락
76,과자
77,샌드
78,양갱
79,생수
80,후식
81,만쥬
82,슈크림
83,파인애플
84,과채
85,비타민
86,커피
87,삼겹
88,건포도
89,삼계탕
90,조림
91,깻잎
92,말랭이
93,땅콩
94,춧잎
95,장아찌
96,절임
97,양념
98,시래기
99,김자
100,미역
101,튀김
102,명란
103,젓갈
104,창란
105,꼴뚜기
106,낙지
107,깍두기
108,키위
109,메론
110,돼지
111,등뼈
112,갈비
113,해물
114,숯불
115,닭
116,생선
117,까스
118,너비아니
119,만두
120,동그랑땡
121,꼬치
122,스테이크
123,치킨
124,너겟
125,새우
126,말이
127,탕수육
128,날치
129,케익크
130,고기만
131,바베큐
132,폭립
133,청국장
134,맛살
135,오리
136,훈제
137,족발
138,칵테일
139,통조림
140,육수
141,버터
142,설탕
143,가루
144,탕
145,액젓
146,짬뽕
147,육류
148,동태
149,커틀렛
150,토란
151,오징어
152,드레싱
153,식초
154,찜
155,딸기
156,식량
157,식단
158,주스
159,토마토
160,케첩
161,시리얼
162,쌀
163,감자전
164,버섯
165,오이
166,피클
167,가자미
168,계란
169,농산
170,수산
171,축산
172,고추
173,야채
174,햄
175,후추
176,한식
177,쌈장
178,깨
179,조미
180,기름
181,샌드위치
182,볶음
183,팝콘
184,묵
185,육개장
186,빵
187,미트
188,유제품
189,황도
190,파스타
191,주류
192,채소
193,맛술
194,연어
195,버팔로
196,치킨윙
197,해쉬
198,포테이토
199,스팸
200,맥주
201,라멘
202,구이
203,도너츠
204,영양식
205,푸실리
206,생강
207,홍합
208,꽃게
209,바지락
210,정육
211,원유
212,비빔밥
213,나물
214,카라멜
215,죽
216,레토르트
217,발사믹
218,춘장
219,다시다
220,고로케
221,곤약
222,베이컨
223,체다
224,어패류
225,깐풍기
226,가쓰오부시
227,교자
228,까르보나라
229,찌개
230,찹쌀
231,육전
232,할라피뇨
233,소세지
234,아몬드
235,차돌
236,과즙
237,고등어
238,곡류
239,돈육
240,오이지
241,크로크무슈
242,간편식
243,애플
244,코코아
245,스무디
246,라떼
247,타코야끼
248,생크림
249,우엉
250,배맛
251,샘표
252,대패
253,버팔로윙
254,부챗살
255,옹심이
256,갈릭
257,크로와상
258,샘물
259,새우깡
260,비요뜨
261,마들렌
262,스프
263,급식
264,환자식
265,특식
266,식품
267,식자재
268,증식
269,카페
270,가다랑어포
271,된장
272,천일염
273,마요네즈
274,엿
275,시럽
276,감귤
277,리치
278,중식
279,전복
280,간식
281,유자
282,패스츄리
283,영양
284,비스킷
285,떡국
286,해장국
287,재첩국
288,쫄면
289,자장면
290,생면
291,냉면
292,양곡
293,잡곡
294,백미
295,현미
296,보리
297,농산물
298,축산물
299,수산물
300,수육
301,돈육
302,우육
303,계육
304,해조류
305,김
306,김치류
307,장류
308,고추장
309,된장
310,두채류
311,배추
312,무
313,소금
314,소맥분
315,밀가루
316,튀김가루
317,분식류
318,라면
319,면류
320,라면
321,즉석밥
322,레토르트식품
323,반찬
324,가공유
325,음료수
326,탄산음료
327,커피믹스
328,빵
329,과자
330,스낵
331,떡
332,전투식량
333,특전식량
334,구명식량
335,식용유
336,카놀라유
337,해바라기유
338,참기름
339,들기름
340,소스류
341,가공식품
342,냉동식품
343,냉장식품
344,냉동만두
345,콩
346,돼지고기
347,삼겹살
348,소고기
349,소갈비
350,닭고기
351,오리고기
352,소채류
353,마늘
354,달걀
355,작전식량
356,차류
357,다과
358,카스타드
359,초코파이
