입찰공고번호,입찰공고차수,입찰공고명,계약체결형태명,계약체결방법명,낙찰자결정방법명,적격심사여부,공고기관명,공고기관코드,수요기관명,수요기관코드,낙찰하한율,예정가격,기초금액,추정가격,개찰일자,개찰시각,개찰결과구분명,최종낙찰금액,최종낙찰율,최종낙찰일자,최종낙찰업체명,최종낙찰업체대표자명,최종낙찰업체담당자명,최종낙찰업체사업자등록번호,최종낙찰업체주소
UMM0004,2,00부대 물절약 투자대행사업(WASCO  15-A048),총액계약,협상에의한계약(전자),협상,N,국군재정관리단,ZD00303,국군재정관리단,ZD00303,,,,0.0,2016-02-03,11:00:00,유찰,,,,,,,,
EGG0109,2,155밀리 모의신관류,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000.0,0.0,2016-01-05,14:00:00,유찰,,,,,,,,
EGG0109,3,155밀리 모의신관류,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000.0,0.0,2016-01-12,14:00:00,유찰,,,,,,,,
EGG0109,4,155밀리 모의신관류,총액계약,일반경쟁,적격심사제,Y,방위사업청,1690000,방위사업청,1690000,,,700119000.0,0.0,2016-01-26,14:00:00,순위확정,,,,,,,,
UMM0014,1,스펙트럼용 분석기 구매,총액계약,제한경쟁,적격심사제,Y,국군재정관리단,ZD00303,국군재정관리단,ZD00303,87.995,80917831.0,82029000.0,0.0,2016-01-29,11:00:00,개찰완료,71225000.0,88.021,2016-01-29,미래상사,김정윤,김정윤,301-29-35140,충청북도 청주시 상당구 월평로250번길6-0 (용암동)
MDJ0008,1,16년 대전병원 장비운영유지비(외과장비3) 구매,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0.0,45733531.0,46450000.0,0.0,2016-02-04,10:30:00,개찰완료,35000000.0,76.53,2016-02-04,주식회사 아폴론상사,김대한,신승만,105-87-91807,"경기도 남양주시 가운로1길7, 307호 (가운동, 드림프라자)"
MDJ0007,1,16년 대전병원 장비운영유지비(외과장비1) 구매,총액계약,제한경쟁,최저가격제,N,국군대전병원,ZD00241,국군대전병원,ZD00241,0.0,26066573.0,25992400.0,0.0,2016-02-04,10:30:00,개찰완료,25900000.0,99.36,2016-02-04,(주)이삭메디칼,김지회,김지회,212-81-56557,충청북도 충주시 노은면 안락안골1길65
LPH0005,1,팥빙수 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,1213.0,1213.0,0.0,2016-02-04,11:00:00,개찰완료,1007.0,83.002,2016-02-04,용마로지스주식회사,이종철,강동성,211-86-40630,"경기도 김포시 고촌읍 아라육로78, 2동"
LPH0006,1,바나나우유 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,832.0,825.0,0.0,2016-02-04,11:00:00,개찰완료,697.0,83.742,2016-02-04,(주)청우식품,박윤구,김두현,132-81-02380,경기도 포천시 영중면 먼재길129
LPH0007,1,콜라 구매,단가계약,일반경쟁,적격심사제,Y,제2167부대,ZD00053,제2167부대,ZD00053,82.995,529.0,533.0,0.0,2016-02-04,11:00:00,개찰완료,439.0,83.002,2016-02-04,태림농산,김심선,백미영,622-12-61815,경상남도 김해시 장재로520번안길8-14 (생림면)
