,입찰명,발주기관,낙찰자(상호)
1,장거리 이동 신병 도시락 제조납품,육군훈련소,주식회사 엘엔에프 농업회사법인
9,우갈비 등 15품목 (덕산스포텔),제9691부대,충성축산
10,감자전분 등 211품목(덕산스포텔),제9691부대,한샘유통 주식회사
14,"17년 상반기 토성회관 식자재(채소류,공산물) 구매",제3훈련비행단,한양상사
32,설 경축특식 빵세트,제1군수지원사령부,(주)빙그레
36,초코파이 등 27종 구매,제3170부대,씨제이프레시웨이 주식회사
37,모듬두텁떡 등 6종 제조,제3170부대,주식회사 장원식품
38,삼계탕 등 47종 구매,제3170부대,주식회사 에스피씨삼립
39,초코우유 등 29종 구매,제3170부대,(주)빙그레
42,햄버그스테이크 등 31종 구매,해군군수사령부,주식회사 류홀마트
43,2017년 환자급식용 식재료 구매,국군대전병원,다해푸드
44,17년 생도증식 148종 구매,육군3사관학교,삼성웰스토리 (주)
46,식자재 구매(일반미 등 174품목),제9196부대,동원푸드
47,'17년 환자급식(증후식류) 식품 구매,국군수도병원,주식회사 삼우인더스트리
48,'17년 환자급식(부식류) 식품 구매,국군수도병원,주식회사 에스피씨삼립
50,음식물쓰레기 처리용역(17년도),공군제19전투비행단,중원산업
55,'17년 설날 경축특식(과자세트) 구매(제조),제7789부대,성도교역
61,독서카페 설치 자재구매,제7보병사단,전우사
78,'17년 환자치료식 부·후식 및 증식 계약,국군의무사령부,주식회사 에스피씨삼립
79,'17년 환자치료식 부·후식 및 증식 계약,국군의무사령부,주식회사 에스피씨삼립
81,'17년 환자치료식 부·후식 및 증식 계약,국군의무사령부,주식회사 에스피씨삼립
90,떡류 등 21종,제9181부대,주식회사해피21세기
95,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 류홀마트
96,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 나누미
97,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 류홀마트
98,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 류홀마트
99,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 나누미
100,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 류홀마트
101,모듬콩조림 등 17종 구매,해군군수사령부,연우상사
102,모듬콩조림 등 17종 구매,해군군수사령부,연우상사
103,모듬콩조림 등 17종 구매,해군군수사령부,고려냉장식품 주식회사
104,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 류홀마트
105,모듬콩조림 등 17종 구매,해군군수사령부,고려냉장식품 주식회사
106,모듬콩조림 등 17종 구매,해군군수사령부,연우상사
107,모듬콩조림 등 17종 구매,해군군수사령부,고려냉장식품 주식회사
108,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 류홀마트
109,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 류홀마트
110,모듬콩조림 등 17종 구매,해군군수사령부,주식회사 류홀마트
111,해물모듬완자 등 30종 구매,해군군수사령부,연우상사
112,해물모듬완자 등 30종 구매,해군군수사령부,주식회사 류홀마트
113,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
114,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
115,해물모듬완자 등 30종 구매,해군군수사령부,연우상사
116,해물모듬완자 등 30종 구매,해군군수사령부,연우상사
117,해물모듬완자 등 30종 구매,해군군수사령부,주식회사 류홀마트
118,해물모듬완자 등 30종 구매,해군군수사령부,주식회사 류홀마트
119,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
120,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
121,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
122,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
123,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
124,해물모듬완자 등 30종 구매,해군군수사령부,연우상사
125,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
126,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
127,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
128,해물모듬완자 등 30종 구매,해군군수사령부,연우상사
129,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
130,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
131,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
132,해물모듬완자 등 30종 구매,해군군수사령부,주식회사 류홀마트
133,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
134,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
135,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
136,해물모듬완자 등 30종 구매,해군군수사령부,삼진유통
137,핫바 등 31종 구매,해군군수사령부,주식회사 나누미
138,핫바 등 31종 구매,해군군수사령부,다솔기업
139,핫바 등 31종 구매,해군군수사령부,다솔기업
140,핫바 등 31종 구매,해군군수사령부,다솔기업
141,핫바 등 31종 구매,해군군수사령부,주식회사 류홀마트
142,핫바 등 31종 구매,해군군수사령부,주식회사 류홀마트
143,핫바 등 31종 구매,해군군수사령부,다솔기업
144,핫바 등 31종 구매,해군군수사령부,다솔기업
145,핫바 등 31종 구매,해군군수사령부,주식회사 류홀마트
146,핫바 등 31종 구매,해군군수사령부,주식회사 류홀마트
147,핫바 등 31종 구매,해군군수사령부,다솔기업
148,핫바 등 31종 구매,해군군수사령부,다솔기업
149,핫바 등 31종 구매,해군군수사령부,주식회사 류홀마트
150,핫바 등 31종 구매,해군군수사령부,주식회사 류홀마트
151,핫바 등 31종 구매,해군군수사령부,다솔기업
152,핫바 등 31종 구매,해군군수사령부,삼진유통
153,핫바 등 31종 구매,해군군수사령부,삼진유통
154,핫바 등 31종 구매,해군군수사령부,삼진유통
155,핫바 등 31종 구매,해군군수사령부,다솔기업
156,핫바 등 31종 구매,해군군수사령부,연우상사
157,핫바 등 31종 구매,해군군수사령부,지(g)-마트
158,핫바 등 31종 구매,해군군수사령부,다솔기업
159,핫바 등 31종 구매,해군군수사령부,주식회사 나누미
160,핫바 등 31종 구매,해군군수사령부,삼진유통
161,핫바 등 31종 구매,해군군수사령부,삼진유통
162,핫바 등 31종 구매,해군군수사령부,다솔기업
163,핫바 등 31종 구매,해군군수사령부,주식회사 나누미
164,핫바 등 31종 구매,해군군수사령부,삼진유통
165,핫바 등 31종 구매,해군군수사령부,다솔기업
166,핫바 등 31종 구매,해군군수사령부,삼진유통
167,16-59-1 관급자재[글라스울샌드위치 판넬 구매(설치)],공군제17전투비행단,드림산업
168,계룡스파텔 식자재 000종 구매,육군인사사령부,한화호텔앤드리조트 주식회사
169,계룡스파텔 식자재 000종 구매,육군인사사령부,한화호텔앤드리조트 주식회사
178,'17년도 선수급식(공산품 475종) 구매,국군체육부대,한샘유통 주식회사
179,'17년도 선수급식(농수산물 321종) 구매,국군체육부대,한샘유통 주식회사
180,'17년도 선수급식(유제품 12종) 구매,국군체육부대,매일종합유통(문경대리점)
183,"급식유통센터 운용물자(플라스틱상자, 파레트) 구매",5군수지원사령부,티피씨 주식회사
192,햄버그스테이크 등 31종 구매,해군군수사령부,주식회사 나누미
