,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 
30,5,LHK0026,4,43261,***,공병여단 장간조립교 자재 제조납품,물품,LHK,제2군단,2016-12-27 11:00,1900F,전일목재산업 주식회사,JEONIL TIMBER,김병진,635453131,063-545-3131,전북특별자치도 김제시 백구면 금백로1138-0,88.2225,"91,549,000"
61,2,LHN0093,1,46739,***,독서카페 설치 자재구매,물품,LHN,제7보병사단,2016-12-23 10:30,G5531,전우사,jeon-wo-sa,방만석,334421366,033-442-1366,강원특별자치도 화천군 화천읍 상승로42-10,88.6045,"8,200,000"
73,5,LCH0035,1,46213,***,00부대 복지회관 신축 변압기 제조설치,물품,LCH,특수전사령부,2016-12-22 11:00,BAC68,한원전기공업주식회사,"HANONE ELECTRIC IND.CO.,LTD.",박선민,313552514,031-355-2514,경기도 화성시 마도면 마도로620번길 31한원전기공업(주),88.0177,"34,793,000"
74,9,LCH0036,1,46262,***,체력단련장 전동카트 구매,물품,LCH,특수전사령부,2016-12-22 10:30,BD837,(주)한일종합상사,hanil il sang sa,이희석,7044539559,070-4453-9559,대전광역시 대덕구 대전로1397번안길70-0 (읍내동),88.1968,"68,530,000"
82,38,MDF0034,1,45939,***,00지역 아파트 리모델링 시설공사(가구),물품,MDF,국군지휘통신사령부,2016-12-21 11:00,DC50E,에스알주식회사,SR,이상민,432353638,043-235-3638,충청북도 청주시 서원구 남이면 척산화당로 105-4에스알(주),88.0203,"102,803,800"
86,6,LNF0038,1,46699,***,보조지주 제조 구매,물품,LNF,제1보병사단,2016-12-21 10:30,H77B0,주식회사 합동메탈,hapdongmetal.co.ltd,남유민,031-354-4526,031-354-4526,경기도 화성시 향남읍 서봉로651-14,88.7688,"39,182,536"
231,331,LHN0090,1,45969,***,복지회관 신축 인조대리석 구매,물품,LHN,제7보병사단,2016-12-19 15:30,FC660,나래종합상사,NaRae a general trading company,홍대기,336539838,033-653-9838,강원특별자치도 강릉시 경강로2496  (송정동),88.116,"28,501,500"
274,16,LHR0040,1,44643,***,도로안전시설 설치/납품,물품,LHR,육군 제37보병사단,2016-12-16 10:30,C1F6B,주식회사씨엔이,CNE,허관영,438344105,043-834-4105,충청북도 괴산군 괴산읍 문무로 85 중원대학교 산학연구동 405호(),88.3176,"23,040,000"
293,5,LHP0034,1,44333,***,보조지주 및 Y피켓 제조 납품,물품,LHP,제22보병사단,2016-12-15 11:00,A9CB5,주식회사 극동,"KukDong Co.,Ltd.",이은숙,543349192,054-334-9192,경상북도 영천시 도남공단3길28-28 (도남동),88.238,"150,757,000"
303,4,UMM0638,1,41984,***,16-해-방탄판(LEVEL Ⅳ) 192EA 제조,물품,UMM,국군재정관리단,2016-12-14 11:00,H58AB,주식회사 엔미디어솔루션,N-media solution,이근식,1042405887,010-4240-5887,"인천광역시 계양구 계산새로71, 비동 310호(계산동, 하이베라스)",88.0586,"112,307,235"
