군 분류,발주기관
육군,제3283부대
육군,육군훈련소
육군,제2307부대
기타,국군재정관리단
공군,공군사관학교
육군,제1보병사단
공군,공군교육사령부
해병,제9691부대
육군,제5보병사단
국방부직할,항공기계약팀 (구:19.09.16)
공군,제3훈련비행단
육군,제9965부대
해병,제9196부대
국방부직할,제7016부대
기타,국군의무사령부
국방부직할,국방부근무지원단
육군,수도기계화보병사단
육군,제2군단
육군,제21보병사단
육군,제1군수지원사령부
육군,특수전사령부
육군,육군군수사령부
육군,제7보병사단
육군,제3170부대
해군,해군제3함대사령부
해군,해군군수사령부
기타,국군대전병원
육군,육군3사관학교
공군,공군제15특수임무비행단
기타,국군수도병원
해병,제9181부대
공군,공군제19전투비행단
국방부직할,국방출판지원단
육군,제7789부대
육군,육군과학화전투훈련단
육군,제28보병사단
기타,합동군사대학교
공군,공군방공관제사령부
육군,육군 제1군단
육군,5군수지원사령부
국방부직할,국군지휘통신사령부
국방부직할,국방통합데이터센터
공군,공군군수사령부
육군,제9보병사단사령부
해군,해군 기동함대사령부
공군,공군제17전투비행단
육군,육군인사사령부
국방부직할,방위사업청(운영지원과)
육군,제1방공유도탄여단
공군,공군 작사예하 방포사예하 제2여단
기타,국군간호사관학교
기타,국군체육부대
육군,제7821부대
국방부직할,4284부대
해군,해군제2수리창
국방부직할,국방부계룡대근무지원단
육군,제55보병사단
육군,제3697부대
공군,공군제11전투비행단
육군,제2632부대
육군,제1862부대
해병,제9227부대
육군,육군 제37보병사단
육군,제5군단사령부
국방부직할,지휘정찰계약팀 (구:19.09.16)
기타,국군복지단
육군,제6보병사단
해군,해군작전사령부
육군,재경근무지원대대
국방부직할,유도무기계약팀 (구:19.09.16)
육군,제3707부대
육군,제22보병사단
육군,육군본부
육군,제7군단
육군,제25보병사단
육군,제5897부대
국방부직할,국방부조사본부
육군,제2167부대
육군,육군항공사령부
육군,제2작전사령부
국방부직할,국방대학교
육군,육군기계화학교
육군,수도군단
해병,제9911부대
육군,육군종합군수학교
국방부직할,합동상호운용성기술센터
육군,제6955부대
육군,육군 제8군단
육군,제36보병사단
공군,공군제5공중기동비행단
육군,제7001부대
해군,해군본부
육군,육군부사관학교
육군,국군수송사령부
해군,제8385부대
육군,제11기동사단
공군,공군미사일방어사령부
육군,국군의무학교
해군,해군사관학교
육군,제15보병사단
육군,육군전투지휘훈련단
해군,제9121부대
육군,육군제53보병사단
육군,제7297부대
해군,제2002부대
육군,육군 52보병사단
육군,제5181부대
육군,제17보병사단
공군,공군제18전투비행단
육군,제2067부대
육군,제6군단사령부
공군,공군작사근무지원단
육군,육군종합정비창
해군,제5738부대
육군,제8기동사단
육군,제6276부대
육군,제1607부대
육군,제1987부대
육군,제6755부대
육군,제3공병여단
육군,육군항공학교
해군,해군교육사령부
육군,제6128부대
공군,공군제1전투비행단
육군,제1729부대
육군,제7851부대
육군,제1891부대
해병,연평부대
육군,제1989부대
공군,공군제38전투비행전대
공군,제20전투비행단
육군,제3보병사단
해군,해군제1수리창
육군,육군교육사령부
국방부직할,국방지형정보단
육군,제9251부대
해병,제9해병여단
육군,제60보병사단
육군,육군상무대근무지원단
국방부직할,국방전산정보원
육군,제32보병사단
공군,공군 제8전투비행단
육군,육군종합행정학교
국방부직할,제1363부대
육군,제1288부대
육군,육군보병학교
국방부직할,합동참모본부
육군,육군 탄약지원사령부
육군,제51보병사단
육군,국군화생방방호사령부
국방부직할,기동화력계약팀 (구:19.09.16)
육군,수도방위사령부
육군,육군사관학교
국방부직할,일반장비계약팀 (구:19.09.16)
공군,공군본부
공군,공군제10전투비행단
육군,육군학생군사학교
국방부직할,물자계약팀
공군,공군제16전투비행단
육군,제3공수특전여단
국방부직할,국방정보본부
공군,공군항공안전단
육군,육군정보통신학교
국방부직할,급식유류계약팀
육군,육군포병학교
국방부직할,통신장비계약팀 (구:19.09.16)
국방부직할,함정계약팀 (구:19.09.16)
국방부직할,국방정신전력원
해병,제9912부대
육군,제7856부대
육군,제5757부대
공군,공군제7항공통신전대
육군,제7201부대
육군,육군공병학교
국방부직할,국방시설본부
육군,특수전학교
육군,1보급단
육군,제2236부대
국방부직할,국방부검찰단
공군,공군 작사예하 방포사예하 제3여단
육군,제5808부대
육군,육군 제30기갑여단
육군,육군방공학교
국방부직할,국방부유해발굴감식단
육군,제6293부대
육군,제5602부대
육군,육군화학학교
육군,제7862부대
국방부직할,자운대근무지원연대
육군,제75보병사단
기타,국립서울현충원
육군,제8278부대
기타,한미연합군사령부
육군,동원전력사령부
국방부직할,국방부(운영지원과)
육군,제2군수지원여단
육군,제5925부대
국방부직할,국군제1068부대
육군,제5767부대
육군,제3군수지원여단
육군,육군정보학교
공군,공중기동정찰사령부
육군,지상작전사령부
국방부직할,지상공통전력운영계약팀
육군,제 2167부대
국방부직할,기동총괄계약팀
국방부직할,함정총괄계약팀
국방부직할,미래전력사업전력운영계약팀
국방부직할,화력총괄계약팀
국방부직할,한국형잠수함총괄계약팀
육군,제6953부대
육군,육군제7789부대
육군,화력여단
공군,공군83정보통신정비창
국방부직할,헬기총괄계약팀
공군,공군작전사령부
국방부직할,국방부고등군사법원
국방부직할,유도무기총괄계약팀
국방부직할,우주지휘통신총괄계약팀
국방부직할,방사청(테스트기관)
국방부직할,첨단기술총괄계약팀
국방부직할,특수함계약팀
육군,제3739부대
육군,제3190부대
육군,육군 제1포병여단
육군,제20기갑여단
육군,육군제6501부대
육군,제2신속대응사단
육군,육군대학
국방부직할,감시전자총괄계약팀
국방부직할,항공기총괄계약팀
공군,39정찰비행단
해군,해군대학
육군,종합보급창
육군,육군제7163부대
국방부직할,국제평화지원단
육군,제2112부대
육군,제7군수지원단
국방부직할,국방과학연구소
육군,드론작전사령부
육군,제2238부대
국방부직할,국방기술품질원
육군,육군 1군 102기갑여단
국방부직할,전략사령부
국방부직할,해상공중전력운영계약팀
