Unnamed: 0,참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),ss,낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 ,카테고리
0,81,SFL0160,1,47669,***,임시명찰 등 2품목 구매,물품,SFL,제3283부대,2016-12-30 12:30,H84F8,주식회사 전우밀리터리,Jung woo military,이정구,222730487,222730487,02-2273-0487,"경기도 고양시 덕양구 통일로140, 1층 에이143호, 2층 에이261호,지하1층 비110호(동산동, 삼송테크노밸리)",88.0062,23689950 ,2종
1,1,LFC0043,1,45002,1,장거리 이동 신병 도시락 제조납품,물품,LFC,육군훈련소,2016-12-30 10:00,GA6E7,주식회사 엘엔에프 농업회사법인,LNF,이용환,437318109,437318109,043-731-8109,충청북도 옥천군 옥천읍 삼청리877-1,96.8333,5810 ,1종
2,22,LGT0034,1,48136,***,0부대 중대시설 분전반 제조설치(16-312),물품,LGT,제2307부대,2016-12-29 11:00,F91A4,설악테크,seorak tech,김화성,334610399,334610399,033-461-0399,강원특별자치도 인제군 북면 원통로74번길10-5(원통농공단지),88.0408,29098720 ,4종
3,22,UMM0839,1,48049,***,13-본-국대-01 00학교 가구 및 비품 제조설치,물품,UMM,국군재정관리단,2016-12-29 11:00,B30CC,주식회사 디에스나이키,"DS NAIKI CO.,LTD",김준홍,27342125,27342125,02-734-2125,"서울특별시 구로구 구로중앙로134, 4층(구로동, 리치몰)",88.2297,2165042000 ,2종
4,9,LGT0035,1,48138,***,00부대 중대시설 조명기구 제조납품(16-314),물품,LGT,제2307부대,2016-12-29 11:00,C959B,주식회사 한서,"HANSEO Co.,LTD",이명옥,337462110,337462110,033-746-2110,강원특별자치도 원주시 태장공단길47-0 (태장동),88.3713,32424410 ,2종
5,4,HCL0100,1,48057,***,2017년 난방연료,물품,HCL,공군사관학교,2016-12-29 10:30,GAA78,주식회사거성에너지,kesung,박정봉,1055548097,1055548097,010-5554-8097,충청북도 충주시 서흥1길22-0 (목행동),90.4952,149700000 ,3종
6,8,LNF0041,1,49073,***,00부대 체육시설 비품구매(고소작업대 등 9종),물품,LNF,제1보병사단,2016-12-29 10:30,H0239,주연ICT,JUYEONICT,이주연,070-4789-0055,070-4789-0055,070-4789-0055,경기도 파주시 중앙로279-0 (아동동),88.1355,22380178 ,2종
7,2,HCM0002,1,19,1,17년 액화석유가스(LPG) 구매,물품,HCM,공군교육사령부,2016-12-28 11:00,ECA82,주식회사 가스마켓코리아,"GASMARKET KOREA CO., LTD.",박영숙,552982266,552982266,055-298-2266,경상남도 창원시 의창구 동읍 동읍로1033-0,88.1977,1889 ,3종
8,3,HCL0097,2,46235,***,군수처 취사연료,물품,HCL,공군사관학교,2016-12-28 10:30,GE2D7,SK가스충청충전소,SK Gas Choongchung Filling Station,홍금성,043-232-0520,043-232-0520,043-232-0520,충청북도 청주시 흥덕구 가로수로1086번길20-0 (비하동),88.0299,73519966 ,3종
9,2,SFC0229,1,47835,***,우갈비 등 15품목 (덕산스포텔),물품,SFC,제9691부대,2016-12-28 10:30,G75EF,충성축산,chungsung meat,석관희,031-8059-6205,031-8059-6205,031-8059-6205,경기도 화성시 정남면 만년로440-0,92.1355,57227200 ,1종
10,2,SFC0228,1,47822,***,감자전분 등 211품목(덕산스포텔),물품,SFC,제9691부대,2016-12-28 10:30,D4976,한샘유통 주식회사,hansame,유임묵,316470715,316470715,031-647-0715,경기도 평택시 포승읍 여술2길25,84.4127,89830000 ,1종
11,2,SFC0227,1,47817,***,다목적작업차,물품,SFC,제9691부대,2016-12-28 10:30,C6325,국제통상,KUKJETRADE,이중승,031-746-3317,031-746-3317,031-746-3317,경기도 성남시 분당구 벌말로40번길 4-1(),92.6953,49500000 ,7종
12,5,LPG0062,1,48186,***,토양정화사업 액화석유가스(LPG) 구매,물품,LPG,제5보병사단,2016-12-28 10:30,GE29B,여주LPG충전소,YEOJU LPG FILLING STSTION,최일삼,031-884-7113,031-884-7113,031-884-7113,경기도 여주시 가남읍 경충대로900,70.0417,203537200 ,3종
13,3,EGD0048,2,6003,***,상륙기동헬기 초도양산 지원장비,물품,EGD,항공기계약팀 (구:19.09.16),2016-12-27 15:00,F6841,우주산업플랜트 주식회사,wooju,최창식,552865098,552865098,055-286-5098,경상남도 창원시 의창구 봉강가술로537번길42-0 (대산면),89.5066,6856000000 ,7종
14,2,HCS0043,1,45437,***,"17년 상반기 토성회관 식자재(채소류,공산물) 구매",물품,HCS,제3훈련비행단,2016-12-27 13:30,FAABC,한양상사,HanYang,박건점,055-753-5215,055-753-5215,055-753-5215,경상남도 진주시 촉석로207번길10-1 (수정동),89.3278,98364000 ,1종
15,94,MDR0084,1,47084,***,어린이집 교구교재 51종 구매,물품,MDR,제9965부대,2016-12-27 11:30,H62BE,더에이치컴퍼니,THE H COMPANY,조현정,1097052089,1097052089,010-9705-2089,"경기도 성남시 분당구 판교로393, 204동 702호(삼평동, 봇들마을)",87.996,29842600 ,2종
16,2,SFH0113,1,46951,***,코인 등 3품목,물품,SFH,제9196부대,2016-12-27 11:00,DBE6B,대한상역,"DH,,Lte",나혜만,010-4398-2588,010-4398-2588,010-4398-2588,인천광역시 강화군 양도면 강화남로374번길26-21,87.1585,22385000 ,2종
17,25,MDI0025,1,45104,***,17년 전산장비 유지보수 용역,물품,MDI,제7016부대,2016-12-27 11:00,C4B7D,주식회사 페타바이트,PETABYTE,정세영,24160941,24160941,02-416-0941,"서울특별시 서초구 방배로60, 광찬빌딩 3층 302호(방배동)",87.8498,22720170 ,10종
18,7,MDG0154,1,46660,1,2017년 LPG 구매 (강원),물품,MDG,국군의무사령부,2016-12-27 11:00,BFA96,동방도시가스산업(주),Dong Bang Gas .In,안홍재,033-644-9361,033-644-9361,033-644-9361,강원특별자치도 강릉시 연곡면 동해대로 4076(),88.4603,866 ,3종
