참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
651,HCQ0078,1,59750,***,작전통제소 및 생활관 관급자재 통합배선,물품,HCQ,공군제5공중기동비행단,202112311600,GE97F,우림,Woorim,최현숙,0632863466,전북특별자치도 전주시 완산구 마당재3길20-22 (중노송동),88.003,49307580
2,SFD0144,1,59571,***,22년 경주지역 음식물폐기물 위탁처리 용역,용역,SFD,제9227부대,202112311100,K5029,주식회사 블루경상,,선혜진,054-615-0900,"경상북도 포항시 북구 중흥로208-0, 116호(죽도동)",89.406,13240581
6,LBB0071,1,57502,001,경축특식 (22년 삼일절) 핫바세트+탄산음료 구매,물품,LBB,육군제7789부대,202112311030,HE335,농업회사법인 행복 주식회사,happycluster,윤영우,0419318090,충청남도 보령시 청소면 청소큰길254-0,88.983,2619
3,SCH0168,1,59628,***,22-진 00지역 승강기 유지보수 용역,용역,SCH,해군작전사령부,202112311030,J843F,주식회사 한림엘리베이터,,서정훈,0552762776,"경상남도 창원시 의창구 소계로12-0, 테크동 301-3호(팔용동, 창원테크노밸리)",88.574,11840400
5,SCN0213,1,59858,***,22-진-03 00회관 세탁물 세탁용역,용역,SCN,제7001부대,202112311030,L0089,정우세탁산업,,조성우,010-8824-0990,경상남도 창원시 의창구 동읍 자여로50-24,88.253,17420634
3,SDF0183,1,59680,***,22-6-폐수처리시설 위탁관리 용역,용역,SDF,제5738부대,202112311030,D4B04,(주)오빌 이앤씨,"OPHIR EnC CO.,LTD",이소현,0548541134,경상북도 안동시 강남7길23-10 (정하동),88.19,12712900
1,UMM0678,1,51709,***,'22년 ~ '23년 공군 연습용 워게임모델 유지관리용역,용역,UMM,국군재정관리단,202112301300,I4F99,주식회사 엔지엠테크,NGMTech.INC,장철호,0425279539,대전광역시 중구 수침로55번길19 (태평동) 장가빌딩 2층,97.856,951168000
2,HCR0044,1,54138,***,22년도 하늘회관 식자재 납품,물품,HCR,공군제15특수임무비행단,202112301100,B8DB8,씨제이프레시웨이 주식회사,CJFRESHWAY,이건일,0221496154,경기도 용인시 기흥구 기곡로32-0 (하갈동),92.717,429727313
3,LKG0055,1,56251,***,'22년 부산지역 음식폐기물 처리용역,용역,LKG,육군제53보병사단,202112301100,H29B4,(주)지원환경,jiwon.Inc.,이연희,0519148880,부산광역시 기장군 정관읍 산단7로92-34,88.491,78355200
5,UAB0047,1,58724,***,2022처인체단장 세탁용역,용역,UAB,국군복지단,202112301100,D9A8C,하이크린,,우정민,0319198585,경기도 파주시 교하로891-15 (문발동) 1층,88.006,18267055
5,UAB0046,1,58721,***,2022처인체단장 사업장폐기물 처리용역,용역,UAB,국군복지단,202112301100,F6FEA,주식회사 주원,JU WON,김기홍,07043900403,경기도 평택시 송탄고가길5-43 (진위면),88.037,10993872
3,UAB0044,1,58695,***,2022밀리토피아연습장 폐기물처리용역,용역,UAB,국군복지단,202112301100,F6FEA,주식회사 주원,JU WON,김기홍,07043900403,경기도 평택시 송탄고가길5-43 (진위면),88.033,20108379
2,UMM0628,2,49736,***,(21F104-G)'21년 육군 복지포탈 개발사업 용역,용역,UMM,국군재정관리단,202112301100,KA115,(주)코리아허브,,양진녕,02-3775-2624,서울특별시 영등포구 국회대로62길5-0 (여의도동) 신태진빌딩 9층,,125000000
7,LGP0211,1,58805,001,22년 경축특식 설날 커피,물품,LGP,제1군수지원사령부,202112301100,KE585,주식회사 에프엔서플라이,,박재성,0269538087,"경기도 고양시 덕양구 꽃내음1길94 (향동동), 상가1층",97.725,974.1
3,LGP0210,1,58804,001,'22년 경축특식 설날 '마카롱',물품,LGP,제1군수지원사령부,202112301100,I5125,장가네제과,JANGSCAKE,장억재,053-353-0250,대구광역시 북구 팔달로45(노원동3가),83.832,1680.64
326,LFN0027,1,58901,***,3사교 근지단 취사식당 GHP 구매 설치,물품,LFN,육군3사관학교,202112301100,D84B3,주식회사 대건시스템즈,Daekeonsystems.co.ltd,최성주,0448637945,"세종특별자치시  장군면 장척로406 , 2층, 201호",88.002,86525554
2,LFN0026,1,57719,***,'22년 상반기 생도 증식 (돼지등뼈 등 80개 품목),물품,LFN,육군3사관학교,202112301100,G04ED,농업회사법인(주)푸른샘,puleunsaem,이익수,0548236162,경상북도 안동시 거드실길6-0 (임하면),95.406,232000000
