입찰명
임시명찰 등 2품목 구매
장거리 이동 신병 도시락 제조납품
0부대 중대시설 분전반 제조설치(16-312)
13-본-국대-01 00학교 가구 및 비품 제조설치
00부대 중대시설 조명기구 제조납품(16-314)
2017년 난방연료
00부대 체육시설 비품구매(고소작업대 등 9종)
17년 액화석유가스(LPG) 구매
군수처 취사연료
우갈비 등 15품목 (덕산스포텔)
감자전분 등 211품목(덕산스포텔)
다목적작업차
토양정화사업 액화석유가스(LPG) 구매
상륙기동헬기 초도양산 지원장비
"17년 상반기 토성회관 식자재(채소류,공산물) 구매"
어린이집 교구교재 51종 구매
코인 등 3품목
17년 전산장비 유지보수 용역
2017년 LPG 구매 (강원)
2017년 LPG 구매 (경기)
2017년 LPG 구매 (전라)
코인 등 3품목
17년 전산장비 유지보수 용역
2017년 LPG 구매 (강원)
2017년 LPG 구매 (경기)
2017년 LPG 구매 (전라)
긴급 영선보수자재 구매(UPS배터리)
00지역 시설공사 관급자재(알루미늄패널) 제조 납품
00지역 시설공사 관급자재(GHP) 설치납품
4개 개편부대 조명등 제조납품(정정공고)
공병여단 장간조립교 자재 제조납품
7162부대 GOP 철책 시설물보강 자재구매
설 경축특식 빵세트
00부대 복지회관 신축 냉난방기 구매설치
신호처리기 조립체 등 16항목 구매(기장)
사단 동계 대비 노후보일러 교체
초코파이 등 27종 구매
모듬두텁떡 등 6종 제조
삼계탕 등 47종 구매
초코우유 등 29종 구매
베트남전투사발간
16-해-항공정비실습장 주파수변환기 구매
햄버그스테이크 등 31종 구매
2017년 환자급식용 식재료 구매
17년 생도증식 148종 구매
관급자재-글라스울징크 판넬 제조.구매(설치포함)
식자재 구매(일반미 등 174품목)
'17년 환자급식(증후식류) 식품 구매
'17년 환자급식(부식류) 식품 구매
페인트건 등 7종
음식물쓰레기 처리용역(17년도)
Truepress-jet520 전용잉크등 2종 구매
인쇄용지8종 제조/구매
00지역 철책 보강자재 구매
가전제품 7종 구매
'17년 설날 경축특식(과자세트) 구매(제조)
00부대 생활관 증축공사 진공온수보일러 제조 / 설치
17년 영선보수자재 구매
00부대 유휴시설 폐기물처리 용역
병영도서 구매
16년 후반기 신병용품 구매
독서카페 설치 자재구매
GOP 제설용 송풍기 구매
"수저, 수저통 구매"
17-국방어학원 국내.외 간행물 17종 구매
16-293 관사보일러 납품 및 설치
방풍용 비닐 등 6종
방관사 저고도레이더 운용시설(별립)_수배전반
시설공사 관급자재(화물용엘리베이터)제조 설치납품
시설공사 관급자재(조명기구)제조 납품
시설공사 관급자재(분전반)제조 납품
관급자재(전관방송 및 AV설비) 제조 설치납품
종교센타 리모델링 관급자재(조명기구) 제조납품
00부대 복지회관 신축 변압기 제조설치
체력단련장 전동카트 구매
차기다련장 3차 811정비대대 시설공사_크레인
방송장비 구매 / 설치
물류취급 물자(롤테이너 등 5종) 구매
'17년 환자치료식 부·후식 및 증식 계약
'17년 환자치료식 부·후식 및 증식 계약
00사 군관사 개선공사 엘리베이터 제조 설치
'17년 환자치료식 부·후식 및 증식 계약
00지역 아파트 리모델링 시설공사(가구)
`16년 정보자원 도입사업 리스
자이로스코프 비율식 구매
군 월동준비자재 구매(51종 712개)
보조지주 제조 구매
조명기구(차량정비고)
CCTV(지상전술전자장비)
분전반(지상전술전자장비)
떡류 등 21종
음향제작장비 등 4품목 제작설치
17년 액화석유가스 구매
17년 액화석유가스 구매
충전키트 가압용 등 2종
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
모듬콩조림 등 17종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
해물모듬완자 등 30종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
핫바 등 31종 구매
16-59-1 관급자재[글라스울샌드위치 판넬 구매(설치)]
계룡스파텔 식자재 000종 구매
계룡스파텔 식자재 000종 구매
방위사업청 X-Ray검색기 구매.설치 사업
물류취급물자(롤테이너 등 5개 품목) 구매
취사기구(신발소독판 등 18품목) 구매
창조 12차 장비도입 사업 통합리스
모바일기기 통제체계(MDM) 구축
00사 군관사 개선공사 씽크대 제조 설치
16-조-86 발전실 크레인 제조
00학교 생도피복(맞춤피복) 제조
'17년도 선수급식(공산품 475종) 구매
'17년도 선수급식(농수산물 321종) 구매
'17년도 선수급식(유제품 12종) 구매
핸드토키 구매
00부대 방송장비 보강 사업
"급식유통센터 운용물자(플라스틱상자, 파레트) 구매"
계룡대 체력단련장 보일러용 유류(하이신유) 구매
방관사 저고도레이더 운용시설(별립)_전력제어
국방정보보호 교육환경 개선용 마이크 구매
박판금속제 등 7종
오버 헤드 크레인
LED작업등 1종
실린더라이너 등 19종
박판금속제 등 7종
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
햄버그스테이크 등 31종 구매
배추김치(포기) 등 20종 제조
배추김치(포기) 등 20종 제조
배추김치(포기) 등 20종 제조
배추김치(포기) 등 20종 제조
배추김치(포기) 등 20종 제조
배추김치(포기) 등 20종 제조
배추김치(포기) 등 20종 제조
배추김치(포기) 등 20종 제조
배추김치(포기) 등 20종 제조
LED램프 외 7종 구매
다목적체육관 관급자재 무대장치 제조설치
다목적체육관 관급자재(AV설비) 제조설치
안보교육관 의자 구매납품(5~6인용)
"관급자재 수배전반, 분전반 제조 구매"
복지회관 신축 인조대리석 구매
후방카메라 설치 납품
3개소 취사장 대형냉장고 제조설치
112공병 병영생활관 개수 조명기구 제조납품
GOP 철책 경계작전 시설물 보강 자재 구매
수리부속(타공기바늘)구매
"16-해군제2기관장비실습장 수배전반, 분전반 제조)"
수리부속(타공기바늘)구매
인쇄용지 3종 제조/구매
전산소모품 구매
4개 개편부대 자동제어반 제조설치납품
4개 개편부대 크레인 제조설치 납품
가구류(책상 등 14종) 제조
사단 병영생활관 보수 자재구매 등 2건
접톱 등 14종
LED형광등 구매(507개)
간부숙소 비품구매(SS침대 등 5종)
방송장비 설치/납품
화재진압장비 제조구매(3차)
동계작전 대비 보온대 구매
16년 교육시설(유격장) 자재구매
16년 화면전시체계 보강사업
16-7차 전산용품 구매
차기다련장 3차 관급자재 크레인(16-방-12)
16-공-본-17 관급자재(전관방송 AV포함) 제조설치
교도소 침대생산자재(철재류) 제조납품
테이프 크리너 등 37종
LED 전광판 등 12종 구매
육상용 TACAN
00부대 창설사업 테라조 구매(16-215)
시설유지보수 자재 구매
관급자재 조명기구 제조 납품
000사업 병영생활관 합성수지제창호 제조
무인 수납 영수증 발급기 구매
17년 체력단련장 식자재 납품업체 선정
LED 원형센서등 등 113품목
고양병원 PACS 서버 저장공간 확충용 HDD 구매
00어린이집 교재교구 구매(K-109)
00부대 창설사업 통합배선반 제조설치(16-223)
00부대 창설사업 CCTV 제조설치(16-222)
00부대 창설사업 AV 제조설치(16-221)
금학산 케이블카 엔진교체
T-01 박닥재 3세트
도로안전시설 설치/납품
컷터칼 등 38종
"여자축구 운동용품(축구공,유니폼,의료/재활용품)"
정수약품 구매
16-도서관 국외간행물 40종 구매
심폐소생술 마네킹 및 응급처치킷 구매
기가폰 구매
지휘소텐트용 공조기 1세트
복사용지 등 56종 구매
심정모터펌프 등 펌프류 구매(16-291)
"부품키트, 걸쇠용 등 2항목 제조(물자)"
유한락스 등 45품목
비호 인터페이스 제어장치 정비
수분측정기 등 3종 구매
고성능 액체크로마토그래피 구매
000사업 병영생활관 통합배선반 제조설치
과학화 출입시스템 제조 설치(2)
000사업 핸드형 네트워크 분석기 구매
물류취급물자(자바라 컨베이어) 구매
보조지주 및 Y피켓 제조 납품
윤형철조망 등 2종 구매
16-본-공-5 도서관 리모델링 관급자재(조명기구)
131사업(2차) 관급자재(출입통제시스템) 제조설치
깻잎무침 등 12품목
깻잎무침 등 12품목
16-해-항공정비실습장 크레인 제조 설치
"16-충-공-12 수배전반, 분전반(305대대 통합건물 신축"
00급양대 조명기구 제조
출입통제체계 구축사업 통합리스
16-해-방탄판(LEVEL Ⅳ) 192EA 제조
00부대 잠수장비 구매
물류취급물자(핸드카트) 구매
물류취급물자(롤테이너) 구매
물류취급물자(안전계단형 사다리) 구매
물류취급물자(경량랙) 구매
16-충-공-12 방송설비(305대대 통합건물 신축)
마이크로웨이브 신시사이저 구매
16-공-본-17 관급자재(통합배선) 제조설치
크롬 1종
씰교환키트
"박판,금속제 등 11종"
볼펜 등 90종
런닝머신 등 214종 구매
계룡 및 구룡체력단련장 액화석유가스 (LPG) 구매
상용차량 타이어 구매 설치납품
주머니난로(보온대) 제조납품
물자취급 장비(롤테이너 등 5개 품목)
102대대 LED 등기구 납품
'16년 모바일 홍보 제작장비 구매/납품
00부대 영내도로 안전시설 설치납품
무선 아이피스 등 2종 구매설치납품
동계작전대비 보온대 구매
00부대 UAV중대시설 수배전반 제조설치
철골 H빔 구매
00부대 합성수지제창 / 합성수지도어 제조설치
해상 계류부이 제조 납품
HP Indigo7800잉크등 17종 구매
국군교도소 침대생산자재 구매(4차_포장자재)
'16년 물자취급 장비 구매(롤테이너 등 5종)
물류취급물자(롤테이너 등 5종) 구매
물류취급물자(파레트 등 2종) 구매
112공병 병영생활관 개수 PW창호 제조납품
112공병 생활관 개수 진공온수보일러 제조설치납품
00부대 간부숙소 신축 가스보일러 제조설치납품
군관사 및 독신숙소 LED등기구 구매
냉장냉동 창고 제조설치
17년 국외잡지 구매
일반의약품 103종 구매
4/4분기 전산운영예산(토너 등 27종)
둥근 향나무 등 8종
통신시설 자재 구매(케이블 등)
대형LED전광판 제조 설치
17-K-액화석유가스(LPG) 인천/강화
17-K-액화석유가스(LPG) 소형저장탱크
17-K-액화석유가스(LPG) 김포
16-해-물류창고 조명기구 구매(1)
스모크햄 900EA 구매
갓김치 등 8종 제조 납품
두부 등 20종 구매
멸균초코우유 등 4종 구매
LA갈비 등 4종 구매
LA갈비 등 4종 구매
LA갈비 등 4종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
사이다 등 31종 구매
의약품(엘리델크림 등 11종) 구매
스킨코튼 플러스 등 125종 구매
통신시설 자재 구매(케이블 등)
윤형철조망 설치자재 5종 구매
군 상용차량 후방카메라 구매
차기다련장 3차 시설사업 관급자재(크레인) 설치납품
차기다련장 3차 시설사업 관급자재(보일러) 설치납품
전산운용 소모품 납품
중형 굴삭기용 부품(크라샤)
탄약고 CCTV 설치 납품
34차 부대구매(상병건강검진시약)
00부대 응급처치물자 구매
2016년 재생토너 4차 구매
의약품(246차) 구매
"기가폰, 이동용 앰프 구매"
중형굴삭기 습지트랙 구매
화면전시체계 보강 자재구매
물자취급 장비 5종 구매
동계대비 보온팩 구매
00부대 도서구매
16-4차 전산운영용품 구매
자운대/B1지역 교환기 교체사업 통합리스
미확인지뢰지대 안내 경고 간판제작
조달(수리)요구서(16-910)[51전대]UPS 배터리 등 2종
모니터 보호필름 등 8종
"수목(쥐똥나무/9,260주) 구매"
소토사등 3품목
복사용지 등 7종
야외용 벤치테이블
롤테이너 등 5종 물품 구매
16-정보통신과 전산운용용품 24종 구매
포스트잇 팝업 등 14종
"교보재 제작비(무릎,팔꿈치 보호대 세트, 태권도매트)"
16-충-공-12 무대장치(305대대 통합건물 신축)
16-충-공-12 통합배선(305대대 통합건물 신축)
전자신호봉 등 3종
라미네이터 등 8종
16년 4/4분기 전산운용용품 구매
탁구대 등 3종 구매
전투지휘훈련장 사무비품 33종 구매
발전기 등 2종
물류창고 관리 물품구매(롤테이너 등 5개)
부대 의약품 및 의료기재 등 구매
후반기 전산용품 구매
원판정리대 등 3종
조경용 퇴비 등 30품목
교도소 침대생산자재(목재류) 제조납품
백단화 등 3종
00함 선체(하우스) 청락/도장 용역
조달-방-16-78 레이더 냉각체계 수리부속
파이프 등 211종 구매
ATCIS 상용HW 유지보수 물품 구매
연천지역 차량 후방카메라 설치납품
00부대 장간조립교 자재 제조납품
00부대 풋살경기장 인조잔디 설치납품
00부대 취사 피복 구매(취사화 등 7종)
자동화 사격장비 제조설치
선박 보조연료탱크 제조 설치
후가공 2종 제작/구매
국방컨벤션 웨딩 꽃장식/부케 설치납품
임실 굴삭기 수리부속 구매
교육재료(복사용지 등 56종) 구매
노트패드 등 64종
복사용지 750box 구매
시멘트 등 94종 구매
상용 샌드박스 서버(HW) 구매
국방정보보호 교육지원물품 구매
국방정보보호 부교재(도서) 구매
"입시홍보물품(3색 볼펜) 7,000개 구매"
고속절단기 등 5종
배관용탄소강광등105품목구매(16-400호)
컴포트 그립장갑 등 93종
"지뢰보호의, 보호헬멧 제조구매"
미확인 지뢰지대 통제간판 제조구매
화면전시체계 보강사업 설치납품
"복사용지 1,670박스"
안전모 등 33종
토너 등 56종
전투지휘훈련 브리핑장비 설치 납품(긴급공고)
16-본-공-5 관급자재(화강석) 제조
LED작업등 등 4종
밸브 등 4종
'16-평-군 관사 보일러 구매설치
친환경 합성목재(데크제)외 1종 구매납품
"조경석 현무암부정형판석(6,708개)구매납품"
스텐 옥외보안등 외 11종 구매
LED투광등 340조 구매
00부대 간부숙소 신축 관급자재 콘크리트파일 제조
인쇄재료 16종 구매
00부대 간부숙소 신축 관급자재 콘크리트파일 제조
원격교육 체계구축 사업 통합리스
고속고무보트 제조 납품
인쇄재료 16종 구매
예복 허리휘장 등 27종 구매
강릉 및 원주지역 부대 T-11 표준 파렛트 구매
춘천 및 인제지역 부대 T-11 표준파렛트 구매
원형톱 1개
전시관 내부 안내판 제작 및 설치
16-해-격납고 크레인 제조 설치
산업용 장갑 등 30종 구매
디지털 포렌식 대용량 스토리지 서버 구매
00함 No.1 공기조화기 압축기 모터 정비
강습대대 발진기지 토목자재구입
5공병 중형굴삭기 크레샤 수리부속 구매
00부대 관사 신축사업 승강기 제조설치
전산운영용품구매(6)
고무보트 2종 제조납품
00부대 후반기 전산운영용품 구매(2)
상용 HET차량용 타이어 구매
00지역 ATCIS SSD 장비 구매
장간조립교 목재 수리부속 제조납품
PP 제본표지 등 61종
니퍼 등 56종
노트패드 등 35종
메모보드판 등 104종
복사용지 등 3종 구매
야채참치통조림 등 3종 구매
오늘의해병대 코너 제작/설치
야채참치통조림 등 3종 구매
빔프로젝터 구매
생도견장(남/1학년) 등 26종 제조(구매)
"센서,촉각반응용 등 5종"
어린이집 교구교재(놀이방 매트 등 172종) 구매
"어린이집 교재교구 구매(공용,3,4세용/195종)"
16년도 4분기 도서(국내서) 구매
아파트 홈오토 설치
패킹재료 등 2항목 제조(궤도)
의약품(243차) 구매
의약품(239차) 구매
00부대 심정모터펌프 교체 자재구매
아파트 태양광 발전장치 제조설치
어린이집 도서(241종) 구매
통신센터 관급자재-전열교환기 제조.구매 (설치포함)
7162부대 동 케이블 자재구매
00부대 간부숙소 합성수지제창 제조설치
수도병원 의무비품(3차) 6종 구매
FRP 소화기함 제조(2)
차기다련장 2차사업 조명기구 제조
16년 원격정비지원체계 구축사업 등 4건 리스
00부대 관사 신축사업 통합배선반 제조설치
00부대 관사 신축사업 합성수지제창호 제조
인쇄재료 23종 구매
17년 차량정비용 수리부속(타이어/밧데리) 구매
17년 차량정비용 수리부속(버스/트럭) 구매
17년 차량정비용 수리부속(승용차)(현대)구매
`16년 정보자원 증설사업(구매)
00지역 성재산 모노레일 보수 설치납품
00지역(연천) 송풍기 구매
창고 중량물 저장대 제조 설치납품
지뢰방호차량 소모품 구매
16-10차 전산운영용품 구매
방사선 측정기 등 0종 구매
00대대 노후감시장비 교체 설치납품
화장대 등 5품목 구매
어린이집 교재교구 구매(0~2세용/189종)
공병장비 크라샤 구매
TMO이동도서관 도서 구매
코팅기 등 33종
작업용 장갑 등 8 종
당구대 4EA
멀티크리너 등 47종
항-16-077 생화학분석기 기약 등 31종
OO부대 인조잔디 설치 납품
총기이동식 거치대 32EA
4/4분기 도서 구매
00부대 동원훈련장 온수보일러 제조설치 납품
00부대 동원훈련장 온수저장탱크 제조설치납품
00부대 녹음용 전화기 구매
의무장비 운영소모품 32종 구매(16-32차)
문서보존상자 등 77종
의약품 및 임상병리 시약구매(11월)
복사용지 등 78종
양면 풀테이프 등 55종
아파트 디자인울타리 제조설치
중형굴삭기 반자동 크러셔 설치납품
시그마 매트 등 18종
00부대 울타리 철조망 자재납품
엔진 양수기 등 2종
"센서,촉각반응용 등 5종"
핸드파렛트 트럭 등 3종
면장갑 등 5종
배터리 등 6종 구매
전기연장선 등 60종 구매
'16년 00망 정보보호체계 구매 설치
사열대 등 6종 구매 제조
일반의약품 105종 구매
매립콘센트 등 63종 구매
재경학습관 전자제품 구매설치
광망 제설용 송풍기 구매
접적대대 지휘통제실 화면전시체계 보강사업
어린이집 전자제품 구매(청소기 등 33종)
OO부대 GOP 난방시설 설치납품 등 6건
00부대 보온대 구매
00부대 동계 물품 구매
16-9차 전산운영용품 구매
정보체계용품 SSD 구매
전산운영용품 구매
