입찰명,카테고리
임시명찰 등 2품목 구매,2종
"17년 직접입영장병 신체검사 용역(경기 연천,파주)",미분류
'17년 IP교환기 유지보수,4종
17년 직접입영장병 신체검사 용역(인천 부평등 3개소),미분류
17년 무한 임대프린터 계약,2종
17-인-오폐수처리시설 위탁관리용역,미분류
17-P-청룡회관 세탁물 처리 용역,미분류
'17년 음식물폐기물 처리용역,미분류
17-국방어학원 승강기 관리용역,미분류
장거리 이동 신병 도시락 제조납품,1종
17년 00부대 작전지원센터 청소용역,미분류
0부대 중대시설 분전반 제조설치(16-312),4종
13-본-국대-01 00학교 가구 및 비품 제조설치,2종
17년 응용체계통합/온나라시스템 유지보수 용역,미분류
00부대 중대시설 조명기구 제조납품(16-314),4종
2017년 난방연료,3종
00부대 체육시설 비품구매(고소작업대 등 9종),4종
입영장병 신체검사 위탁 용역(전북 임실),미분류
천궁 CBT 유지보수용역,미분류
사무용 전산장비 운영체제 재설치,2종
17년 분석용 모델 유지보수 용역,미분류
17년 액화석유가스(LPG) 구매,3종
17년 전자식 교환기 유지보수 용역,미분류
17년 디지털 포렌식 시스템 유지보수 용역,미분류
17년 국군수도병원 환자 급식보조원 용역,미분류
군수처 취사연료,3종
'17-00부대 승강기 유지관리 용역,미분류
17년 방사선 피폭선량 측정 용역,미분류
17-P-02 문덕관사 청소 용역,미분류
17-P-01 청림관사 청소 용역,미분류
17-P-02 문덕관사 청소 용역,미분류
17-P-01 청림관사 청소 용역,미분류
우갈비 등 15품목 (덕산스포텔),미분류
감자전분 등 211품목(덕산스포텔),미분류
다목적작업차,미분류
토양정화사업 액화석유가스(LPG) 구매,3종
상륙기동헬기 초도양산 지원장비,7종
"17년 상반기 토성회관 식자재(채소류,공산물) 구매",미분류
어린이집 교구교재 51종 구매,미분류
17년 렌탈프린터 임차 용역,미분류
코인 등 3품목,미분류
17년 전산장비 유지보수 용역,미분류
2017년 LPG 구매 (강원),3종
2017년 LPG 구매 (경기),3종
2017년 LPG 구매 (전라),3종
국방통합데이터센터(2센터) 시설관리용역,미분류
국군의무사령부 외진셔틀버스 용역,미분류
코인 등 3품목,미분류
17년 전산장비 유지보수 용역,미분류
2017년 LPG 구매 (강원),3종
2017년 LPG 구매 (경기),3종
2017년 LPG 구매 (전라),3종
긴급 영선보수자재 구매(UPS배터리),4종
00지역 시설공사 관급자재(알루미늄패널) 제조 납품,4종
00지역 시설공사 관급자재(GHP) 설치납품,4종
단기 복무 청년층 장병 진로지원 프로그램 개발 연구,10종
4개 개편부대 조명등 제조납품(정정공고),미분류
공병여단 장간조립교 자재 제조납품,미분류
7162부대 GOP 철책 시설물보강 자재구매,4종
설 경축특식 빵세트,미분류
00부대 복지회관 신축 냉난방기 구매설치,미분류
신호처리기 조립체 등 16항목 구매(기장),미분류
17-1 상층대기분석장비(UAAS-10) 외주정비,미분류
사단 동계 대비 노후보일러 교체,미분류
17-인-프린터 임차,2종
17-부 00회관 승강기 유지관리용역,미분류
17-P-생활 및 음식물류폐기물 위탁 처리 용역,미분류
17-P-생활 및 음식물류폐기물 위탁 처리 용역,미분류
17-P-포특사 하폐수처리시설 위탁 관리 용역,미분류
초코파이 등 27종 구매,미분류
모듬두텁떡 등 6종 제조,미분류
삼계탕 등 47종 구매,미분류
초코우유 등 29종 구매,1종
17-P-수성사격장 시설물 관리 용역,미분류
17-P-생활 및 음식물류폐기물 위탁 처리 용역,미분류
17-P-포특사 하폐수처리시설 위탁 관리 용역,미분류
17-P-사단 건물 청소 용역,미분류
베트남전투사발간,미분류
16-해-항공정비실습장 주파수변환기 구매,미분류
'17-00사 음식물쓰레기 위탁처리용역,미분류
'17-00의료원 조경관리 용역,미분류
햄버그스테이크 등 31종 구매,1종
2017년 환자급식용 식재료 구매,미분류
17년 생도증식 148종 구매,미분류
17년 과학화 경계시스템 외주정비 용역,미분류
17년 프린터 임차 용역,미분류
2017년 음식물폐기물 처리용역,미분류
17년 종합정보시스템 유지보수 용역,미분류
관급자재-글라스울징크 판넬 제조.구매(설치포함),미분류
2017년 대구병원 승강기관리용역,미분류
'17년 기록보존장비(M/F장비) 유지보수 용역,미분류
식자재 구매(일반미 등 174품목),미분류
'17년 환자급식(증후식류) 식품 구매,미분류
'17년 환자급식(부식류) 식품 구매,1종
임대 프린터,2종
페인트건 등 7종,4종
17-교-CBT제작실 유지보수용역,미분류
17-P-평창훈련장 시설물 관리 용역,미분류
음식물쓰레기 처리용역(17년도),미분류
'17-프린터 10대 임차용역,미분류
임대 프린터,2종
Truepress-jet520 전용잉크등 2종 구매,2종
인쇄용지8종 제조/구매,미분류
'16년 00정수장 퇴적물 준설처리 용역,미분류
00지역 철책 보강자재 구매,미분류
가전제품 7종 구매,미분류
'17년 설날 경축특식(과자세트) 구매(제조),미분류
00부대 생활관 증축공사 진공온수보일러 제조 / 설치,미분류
17년 영선보수자재 구매,4종
17년 임대 프린터 계약,2종
00부대 유휴시설 폐기물처리 용역,미분류
병영도서 구매,10종
'17-00의료원 폐수처리시설 위탁관리용역,미분류
17-05-승강기 유지관리용역,미분류
16년 후반기 신병용품 구매,미분류
독서카페 설치 자재구매,미분류
GOP 제설용 송풍기 구매,미분류
"수저, 수저통 구매",미분류
2017년 마이크로 필름장비 유지보수 용역,미분류
17-국방어학원 국내.외 간행물 17종 구매,미분류
17-해군 청해모델 장비 유지보수 용역,미분류
16-293 관사보일러 납품 및 설치,미분류
진남관 청소 용역,미분류
방풍용 비닐 등 6종,미분류
방관사 저고도레이더 운용시설(별립)_수배전반,4종
국방통합데이터센터(1센터) 시설관리용역,미분류
17년 입영장병 신체검사 용역(충남 논산),미분류
