입찰명,발주기관코드,발주기관,카테고리
임시명찰 등 2품목 구매,SFL,제3283부대,미분류
장거리 이동 신병 도시락 제조납품,LFC,육군훈련소,미분류
0부대 중대시설 분전반 제조설치(16-312),LGT,제2307부대,4종
13-본-국대-01 00학교 가구 및 비품 제조설치,UMM,국군재정관리단,미분류
00부대 중대시설 조명기구 제조납품(16-314),LGT,제2307부대,4종
2017년 난방연료,HCL,공군사관학교,미분류
00부대 체육시설 비품구매(고소작업대 등 9종),LNF,제1보병사단,2종
17년 액화석유가스(LPG) 구매,HCM,공군교육사령부,3종
군수처 취사연료,HCL,공군사관학교,미분류
우갈비 등 15품목 (덕산스포텔),SFC,제9691부대,미분류
감자전분 등 211품목(덕산스포텔),SFC,제9691부대,미분류
다목적작업차,SFC,제9691부대,미분류
토양정화사업 액화석유가스(LPG) 구매,LPG,제5보병사단,3종
상륙기동헬기 초도양산 지원장비,EGD,항공기계약팀 (구:19.09.16),7종
"17년 상반기 토성회관 식자재(채소류,공산물) 구매",HCS,제3훈련비행단,미분류
어린이집 교구교재 51종 구매,MDR,제9965부대,미분류
코인 등 3품목,SFH,제9196부대,미분류
17년 전산장비 유지보수 용역,MDI,제7016부대,미분류
2017년 LPG 구매 (강원),MDG,국군의무사령부,3종
2017년 LPG 구매 (경기),MDG,국군의무사령부,3종
2017년 LPG 구매 (전라),MDG,국군의무사령부,3종
코인 등 3품목,SFH,제9196부대,미분류
17년 전산장비 유지보수 용역,MDI,제7016부대,미분류
2017년 LPG 구매 (강원),MDG,국군의무사령부,3종
2017년 LPG 구매 (경기),MDG,국군의무사령부,3종
2017년 LPG 구매 (전라),MDG,국군의무사령부,3종
긴급 영선보수자재 구매(UPS배터리),MCN,국방부근무지원단,4종
00지역 시설공사 관급자재(알루미늄패널) 제조 납품,MCN,국방부근무지원단,4종
00지역 시설공사 관급자재(GHP) 설치납품,MCN,국방부근무지원단,4종
4개 개편부대 조명등 제조납품(정정공고),LNR,수도기계화보병사단,미분류
공병여단 장간조립교 자재 제조납품,LHK,제2군단,2종
7162부대 GOP 철책 시설물보강 자재구매,LHD,제21보병사단,미분류
설 경축특식 빵세트,LGP,제1군수지원사령부,1종
