word,freq
항목,6196
장비,5889
정비,4489
설치,3569
품목,3569
부대,2557
납품,2532
립체,2369
자재,2273
부품,2250
사업,2174
지역,2048
체계,1857
유지,1854
보수,1787
의무,1774
외주,1716
연구,1646
긴급,1469
생산,1435
궤도,1375
자주포,1328
위탁,1325
능력,1304
장치,1258
처리,1244
세트,1236
기장,1172
관리,1160
훈련,1140
물자,1132
차량,1048
임차,1034
전차,1029
시설,1028
계약,1027
교체,1025
시스템,1000
일반,947
재료,943
구축,908
통신,871
통합,856
제작,842
수리,839
운영,836
부속,829
리스,804
가스,786
총포,760
폐기물,734
일장,693
펌프,686
밸브,685
교육,654
특수,649
필터,647
소모품,646
조달,643
기용,636
항공,625
수송,611
피복,607
케이블,604
방안,603
물품,602
분석,584
자동,580
민간,570
비품,568
시험,547
발칸,543
신축,524
영상,518
전산,518
지원,515
엔진,507
회로,507
베어링,503
호스,501
공구,497
개발,493
물건,489
비용,487
예비군,487
병원,486
개선,471
발전기,465
장갑,461
제초,460
카드,460
함정,458
검사,448
장갑차,447
공군,447
부식,447
수술,430
안전,429
기동,428
달다,428
용품,428
국방,427
대다,416
체력,408
숙소,405
간부,404
전기,403
디지털,394
공사,393
특무,391
탄약,386
성능,383
목적,383
전술,379
연료,377
기구,375
프린터,371
취사,366
도시락,365
육군,365
전투,365
의료,359
레이더,352
튜브,342
보호,342
항공기,340
인쇄,332
키트,331
후식,330
대대,330
금속,330
정보,326
음식물,323
스위치,321
기술,320
도입,320
잠수함,317
감시,316
경계,313
급식,311
제어,310
타다,302
지휘,302
식당,302
근무,300
타이어,300
의약품,296
조사,296
측정,289
평가,286
발전,282
해군,282
작전,281
배선,278
상용,276
소형,276
측정기,276
덮개,275
국군,275
설계,272
정수기,271
천마,269
도서,267
병리,266
공기,265
물류,264
전력,263
경기,262
액화,261
냉동,260
사격,258
보급,255
사용,255
석유,252
대형,251
고무,250
전원공급기,250
용지,246
해병,245
전지,244
권역,243
쓰레기,243
교환,243
나사,243
노후,242
운용,242
실린더,241
전자,241
경축,238
가공,235
배송,234
행사,233
홍보,232
크다,232
생도,232
복지,226
과학,226
방기,226
밀리,226
통제,223
시뮬레이터,223
방지,222
아파트,221
육성,220
파이프,218
헬기,217
크레인,215
유류,214
환경,214
식기세척기,214
보일러,213
회관,213
스프링,213
청소,211
품류,210
후반기,209
개스킷,208
기재,207
토너,206
음료,204
드론,204
김치,203
투도,202
병영,202
탐지,201
학교,200
방송,198
포장,197
기반,196
탱크,196
기어,195
회전,194
해상,194
표적,194
음식,194
무전기,193
세척,192
연간,192
안테나,192
화물,190
제어장치,189
배터리,188
증식,187
사단,186
발효,186
보관,186
탐지기,183
점검,183
압축기,183
투자,182
유압,180
변환기,179
모의,179
압력,179
야전,179
센터,178
차용,178
선박,178
치과,178
단정,178
소스,177
테러,175
생활관,175
조립,175
자료,175
치료,174
전시,174
도장,174
휴대,170
볼트,170
윤활유,169
가설,169
