word,freq,대분류,중분류,소분류
항목,6196,기타,기타,기타
장비,5889,기타,기타,기타
정비,4489,차량·기동,차량/정비,차량부품/소모품
설치,3569,기타,기타,기타
품목,3569,기타,기타,기타
부대,2557,기타,기타,기타
납품,2532,기타,기타,기타
립체,2369,기타,기타,기타
자재,2273,기타,기타,기타
부품,2250,기타,기타,기타
사업,2174,기타,기타,기타
지역,2048,기타,기타,기타
체계,1857,기타,기타,기타
유지,1854,기타,기타,기타
보수,1787,기타,기타,기타
의무,1774,의료·의약·위생,의료소모/장비,의료장비/키트
외주,1716,기타,기타,기타
연구,1646,기타,기타,기타
긴급,1469,기타,기타,기타
생산,1435,기타,기타,기타
궤도,1375,기타,기타,기타
자주포,1328,기타,기타,기타
위탁,1325,기타,기타,기타
능력,1304,기타,기타,기타
장치,1258,기타,기타,기타
처리,1244,기타,기타,기타
세트,1236,기타,기타,기타
기장,1172,기타,기타,기타
관리,1160,기타,기타,기타
훈련,1140,기타,기타,기타
물자,1132,기타,기타,기타
차량,1048,차량·기동,차량/정비,차량부품/소모품
임차,1034,급식·식품,가공/식자재,식자재
전차,1029,급식·식품,가공/식자재,식자재
시설,1028,기타,기타,기타
계약,1027,기타,기타,기타
교체,1025,기타,기타,기타
시스템,1000,기타,기타,기타
일반,947,기타,기타,기타
재료,943,기타,기타,기타
구축,908,기타,기타,기타
통신,871,IT·통신,무선/통신장비,무전기/위성
통합,856,기타,기타,기타
제작,842,기타,기타,기타
수리,839,기타,기타,기타
운영,836,기타,기타,기타
부속,829,기타,기타,기타
리스,804,기타,기타,기타
가스,786,화학·소재,가스/특수가스,산업가스
총포,760,기타,기타,기타
폐기물,734,기타,기타,기타
일장,693,기타,기타,기타
펌프,686,건설·시설,장비/장치,공조/전열/펌프
밸브,685,건설·시설,자재/철물,자재/철물
교육,654,기타,기타,기타
특수,649,기타,기타,기타
필터,647,차량·기동,차량/정비,차량부품/소모품
소모품,646,기타,기타,기타
조달,643,기타,기타,기타
기용,636,기타,기타,기타
항공,625,기타,기타,기타
수송,611,기타,기타,기타
피복,607,피복·생활·사무,피복/보급,군장/피복
케이블,604,IT·통신,PC/주변기기,PC/노트북
방안,603,기타,기타,기타
물품,602,기타,기타,기타
분석,584,기타,기타,기타
자동,580,기타,기타,기타
민간,570,기타,기타,기타
비품,568,기타,기타,기타
시험,547,기타,기타,기타
