0,대분류,중분류,소분류
00부대 물절약 투자대행사업(WASCO  15-A048),기타,기타,기타
155밀리 모의신관류,기타,기타,기타
155밀리 모의신관류,기타,기타,기타
155밀리 모의신관류,기타,기타,기타
스펙트럼용 분석기 구매,공구·설비,측정/시험,계측기
16년 대전병원 장비운영유지비(외과장비3) 구매,기타,기타,기타
16년 대전병원 장비운영유지비(외과장비1) 구매,기타,기타,기타
팥빙수 구매,기타,기타,기타
바나나우유 구매,기타,기타,기타
콜라 구매,기타,기타,기타
과일탄산 구매,화학·소재,가스/냉매,가스·냉매
16년 대전병원 장비운영유지비(영상장비) 구매,기타,기타,기타
16년 대전병원 장비운영유지비(영상장비) 구매,기타,기타,기타
혼합음료 구매,급식·식품,식자재,식자재
탄산수 구매,화학·소재,가스/냉매,가스·냉매
이온음료 구매,급식·식품,식자재,식자재
알로에음료 구매,급식·식품,식자재,식자재
마시는발효유 구매,기타,기타,기타
떠먹는발효유 구매,기타,기타,기타
짜먹는발효유 구매,기타,기타,기타
떠먹는 젤리 구매,기타,기타,기타
한줌견과 구매,기타,기타,기타
특근자용 치즈케이크(제조),기타,기타,기타
특근자용 치즈케이크(제조),기타,기타,기타
콘브레드(제조),건설·시설,현장안전/표지,현장안전·표지
콘브레드(제조),건설·시설,현장안전/표지,현장안전·표지
짜장컵밥 구매,기타,기타,기타
허니감자스낵 구매,기타,기타,기타
해상사격표적(풍선 등 2종) 구매,교육/훈련,교육장비/교보재,교육장비·교보재
넬라톤카테터 등 234품목 구매(물품),기타,기타,기타
신병증식용 치즈케이크 구매(제조),기타,기타,기타
신병증식용 치즈케이크 구매(제조),기타,기타,기타
탄산음료 구매,급식·식품,식자재,식자재
신병증식용 핫바 구매,기타,기타,기타
13-본-국대-01 00학교이전 공기조화기 제조설치,기타,기타,기타
13-본-국대-01 00학교이전 PE전선관 등 2종 제조,전력·전기전자,조명/전선,LED·전선
충전기집적회로등17종구매,전력·전기전자,발전기/전원,발전기·UPS·충전
D형들고리등13종구매,기타,기타,기타
락카스프레이황색등24종구매,화학·소재,도료/접착,도료·접착
16-1차 전산운영용품 구매,기타,기타,기타
보장구 80종 구매,기타,기타,기타
크림빵 구매(제조),급식·식품,식자재,식자재
크림빵 구매(제조),급식·식품,식자재,식자재
크림빵 구매(제조),급식·식품,식자재,식자재
크림빵 구매(제조),급식·식품,식자재,식자재
컨테이너 2종 제조 설치,건설·시설,현장안전/표지,현장안전·표지
미세먼지 방지마스크 구매,의료·의약·위생,의료장비/소모,의료장비·키트
스위치  칼날형 등 9품목,IT·통신장비,네트워크/보안,스위치·라우터
