"군급","군급상태","명칭(한글)","명칭(영문)","주석(한글)","주석(영문)","포함(한글)","포함(영문)","제외(한글)","제외(영문)"
"1000","A","무기 ","Weapons","이 그룹은 투색장비 및 신호권총과 같은 비전투품목류의 무기 뿐만아니라 전투용 무기를 포함한다. 또한 이 그룹에는 위장망과 같은 기만장치 및 소자기(消磁器)와 같은 상대무기 무력화장비를 포함한다. 그러나 그룹 12 ""사격통제장비"", 그룹 58 ""통신, 탐지 및 방사능 간섭장비""에 분류되는 사격통제장치 및 야간장비는 이 그룹에서 제외한다","Note-This group includes combat weapons as well as weapon-like noncombat items, such as line throwing devices and pyrotechnic pistols. Also included in this group are weapon neutralizing equipment, such as degaussers, and deception equipment, such as camouflage nets. Excluded from this group are fire control and night devices classifiable in groups 12 or 58.",".","","",""
"1005","A","30MM이하 포","Guns, through 30mm","","","기관총, 기관총 및 권총 정비용 솔","Includes Machine Guns; Brushes, Machine Gun and Pistol.","항공기 포탑 [註] ⓐ포탑:요새,전투함, 항공기 및 전차에 회전할 수 있도록 만들어진 포의 원형 또는 원통형 장갑 구조물","Excludes Turrets, Aircraft."
"1010","A","30MM초과 75MM미만 포","Guns, over 30mm up to 75mm","","","화포(火砲)의 폐쇄기, 포가(砲架), 낱발 또는 자동장전 또는 자동사격식 통합총류탄용 유탄발사기 [註] ⓐ포가:포를 올려 놓고 포구를 임의 방향으로 돌릴수 있는 받침 ⓑ폐쇄기:포신의 뒷부분에 탄환을 삽입하기 위하여 만들어진 개폐장치로서 사격이나 비사격시를 막론하고 포신의 후미를 열고 닫고 하는 기계장치","Includes Breech Mechanisms; Mounts; Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic-Firing.","",""
"1015","A","75MM이상 125MM이하 포","Guns, 75mm through 125mm","","","화포(火砲)의 폐쇄기, 포가(砲架), 포탄장전기 ","Includes Breech Mechanisms; Mounts; Rammers.","",""
"1020","A","125MM초과 150MM이하 포","Guns, over 125mm through 150mm","","","화포(火砲)의 폐쇄기, 파워드라이브, 포방순(砲防楯) [註] ⓐ포방순:포의 기계장치와 인원을 보호하기 위하여 포에 부착된 장갑판 ","Includes Breech Mechanisms; Power Drives; Gun Shields.","",""
"1025","A","150MM초과 200MM이하 포","Guns, over 150mm through 200mm","","","발사대, 포가(砲架), 포방순(砲防栒) ","Includes Firing Platforms; Mounts; Gun Shields.","",""
"1030","A","200MM초과 300MM이하 포","Guns, over 200mm through 300mm","","","포 요크, 포탄장전기, 반사경","Includes Gun Yokes; Rammers; Reflectors.","",""
"1035","A","300MM초과 포","Guns, over 300mm","","","화포(火砲)의 폐쇄기, 훈련장구, 파워드라이브 ","Includes Breech Mechanisms; Training Gears; Power Drives.","",""
"1040","A","화학무기 및 장비","Chemical Weapons and Equipment","","","화염방사기, 연막발생기","Includes Flame Throwers; Smoke Generators.","",""
"1045","A","어뢰 및 폭뢰 발사대","Launchers, Torpedo and Depth Charge","","","폭뢰투하대, 어뢰발사관","Includes Depth Charge Tracks; Torpedo Tubes.","",""
"1055","A","로켓 및 신호탄 발사대","Launchers, Rocket and Pyrotechnic","","","유도탄 사용에 적합한 항공기용 로켓 발사대","Includes Airborne Rocket Launchers adaptable to guided missile use.","특수설계된 항공기용 유도탄 발사대, 투하용 로켓 발사대, 특수 비상체(飛翔體)용으로 설계된  발사대 페어링, 총류탄용 유탄발사기, 낱발,자동장전,자동발사식 통합 총류탄용 유탄발사기 [註] ⓐ비상체:추진장치, 제어 및 전자기재와 탑재물을 제외한 미사일의 주요 구조부 ","Excludes Specifically designed Airborne Guided Missile Launchers; Jettisonable Rocket Launchers; Launcher Fairings designed for specific airframes; Rifle Grenade Launchers; Grenade Launchers for Integral-Cartridge Grenades, Single-Shot or Auto-Loading or Automatic Firing."
"1070","A","병기용 네트 및 방재(防材)","Nets and Booms, Ordnance","항만방어용 네트 및 방재만을 포함한다  [註]  방재:적의 배가 드나들지 못하도록 항만이나 강의 뱃길에 통나무를 쇠줄로 엮어 막아 놓은 것","Note-This class includes nets and booms for harbor defense only.",".","","",""
"1075","A","소자(消磁) 및 기뢰 소해(掃海) 장비 [註]ⓐ소자:함정의 자장을 감소시켜 자기기뢰나 기뢰로부터 함정을 보호하기 위하여 함정주위에 전기가 통한 코일을 감는 것ⓑ소해:기뢰,수뢰를 탐지,이를 제거하여 함정의 이동","Degaussing and Mine Sweeping Equipment","","",".","","",""
