년도,군구분,계약금액(억원)
2015,육군,56899
2015,해군,22158
2015,공군,32232
2015,국직,3821
2016,육군,59357
2016,해군,24835
2016,공군,36036
2016,국직,3455
2017,육군,61346
2017,해군,23304
2017,공군,38410
2017,국직,3746
2018,육군,62777
2018,해군,31936
2018,공군,45506
2018,국직,4559
2019,육군,61696
2019,해군,32806
2019,공군,64300
2019,국직,5736
2020,육군,60451
2020,해군,40150
2020,공군,55588
2020,국직,7699
2021,육군,61930
2021,해군,40716
2021,공군,48842
2021,국직,9633
2022,육군,62777
2022,해군,37694
2022,공군,30382
2022,국직,13245
2023,육군,67839
2023,해군,40499
2023,공군,32169
2023,국직,9053
