참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),낙찰자(주소),낙찰률,낙찰금액
4,HDK0050,1,52759,***,광성회관 식자재 육류 구매 계약,물품,HDK,공군제11전투비행단,201912311600,J8A6A,새마음식육점,,엄경희,053-989-1167,대구광역시 동구 방촌동90-14 K2 공군기지내 새마음회관,88.8089,107150000
3,HDK0049,1,53059,***,19-광성회관 식자재(김치류) 구매,물품,HDK,공군제11전투비행단,201912311400,J0FEE,영농조합법인 팔공김치,,김태종,0539838030,대구광역시 동구 신평로58-3 (신평동),88.185,59890000
3,HDL0028,2,51377,***,체력단련장 액화석유가스(LPG) 구매,물품,HDL,공군제16전투비행단,201912311100,EE2E9,(주)에너지프라자 울진충전소(울진지점),energyplaza,김남진,0315316400,경상북도 울진군 울진읍 울진북로331,88.668,31678290
4,LHK0038,1,54304,***,20년 렌탈프린터 임차용역,용역,LHK,제2군단,201912311100,HE132,주식회사 아이블럭춘천,IBLOCK,이상철,07048954213,"강원특별자치도 춘천시 국사봉길12-0, 1층 6호 (퇴계동)",88.0065,26280000
6,SFD0180,1,54399,***,20-P-임목폐기물 수거·운반 위탁처리 용역,용역,SFD,제9227부대,201912311100,E683F,주식회사 성안기업,SUNG AN,전동재,0549316407,경상북도 성주군 용암면 사곡공단1길 23(),88.2702,36254000
17,UMM0007,1,00111,***,'20년 프린터 임대용역,용역,UMM,국군재정관리단,201912311100,HB44E,신도강북OA센타,sindo kangbouk oa center,이성미,0319672979,"경기도 고양시 덕양구 화정로29-0 (화정동,은빛마을)상가2동 제지하층5호",87.7466,84800000
3,SFL0131,1,54011,***,20-교-이동식 화장실 임차 용역,용역,SFL,제3283부대,201912311100,I553C,부국산업,boogook industry,권순범,07088650798,경상북도 경산시 남산면 대왕로94,89.3622,50949000
3,LGP0176,2,52648,001,20년 설날 경축 특식(훈제닭다리) 제조 구매,물품,LGP,제1군수지원사령부,201912311030,FE11F,한국유통,hankook wholesale & retail,김광태,010-6257-4809,경기도 고양시 일산서구 대산로106-0 (주엽동)108-1503,96.2296,1430
19,SCL0150,1,54441,***,생도피복(백단화 등 2종) 구매,물품,SCL,해군사관학교,201912311030,G3FB3,주식회사 이안제화,"ianco.,ltd",장혜순,01062983838,경기도 광주시 도척면 다람로57번길135-0,88.0707,19949000
191,MCT0069,1,54402,***,여자축구 훈련용품(방한복 등 19종),물품,MCT,국군체육부대,201912311030,HF734,디에이치산업,DH industry,심대현,01043407749,"경기도 의정부시 경의로70, 4층 A729호 (의정부동, 진한빌딩)",88.0019,21832700
330,UMM0786,1,52210,***,전기오븐레인지 구매설치,물품,UMM,국군재정관리단,201912311030,GFDAF,주식회사 어번라이팅,"Urbanlighting co., ltd",최주식,0537450202,경상북도 영천시 채신2공단길60-12 (채신동),88.002,115624230
14,SFC0164,1,53906,***,물비누 등 50품목 구매,물품,SFC,제9691부대,201912311030,F2CAB,모양방,moyangbang,김순자,02-533-0788,경기도 포천시 가산면 정교3길54-40,88.6832,12608200
5,SFC0163,1,53885,***,분말짜장 등 173품목 구매,물품,SFC,제9691부대,201912311030,H1AF6,경기종합상사,Kwung Gi Jong Hap Sang Sa,이선자,02-2631-8972,경기도 평택시 포승읍 호암1길13-4,88.1856,66937300
8,SCL0151,1,54455,***,생도피복(여행가방 등 4종) 구매,물품,SCL,해군사관학교,201912311030,G4C32,（주）씨앤에스코리아（CNS KOREA）,CNS KOREA,최춘,0326241770,"경기도 부천시 석천로397,  201동 1103호 (삼정동, 부천테크노파크쌍용3차)",88.0033,40554086
4,SCH0215,1,53069,***,감귤 등 12종,물품,SCH,해군작전사령부,201912311030,BC466,서진유통,SEO JIN,박소선,051-754-9401,부산광역시 수영구 망미동803-32 28/3,88.2775,61999000
5,SCH0217,1,53057,***,감자수제비 등 96종,물품,SCH,해군작전사령부,201912311030,BC466,서진유통,SEO JIN,박소선,051-754-9401,부산광역시 수영구 망미동803-32 28/3,88.2674,189452300
6,SCH0216,1,53051,***,일반우유 등 14종,물품,SCH,해군작전사령부,201912311030,BC466,서진유통,SEO JIN,박소선,051-754-9401,부산광역시 수영구 망미동803-32 28/3,88.039,59308900
14,SCF0049,1,53960,***,20-보-육로화물 수송용역,용역,SCF,해군군수사령부,201912311030,H6D11,주식회사 창명물류,ChangMyungLogics,윤은영,0558547097,경상남도 사천시 사천읍 구암두문로154-7,87.8174,106389000
7,LNQ0045,1,54411,***,개인천막(야영용텐트) 제조구매,물품,LNQ,제17보병사단,201912311030,IC1D0,주식회사 제이투,,정재찬,0315756982,경기도 남양주시 진접읍 경복대로바람골길69-38,88.2055,52199400
36,HDG0030,1,54419,***,석면함유 건축물 개선공사 등 2건 설계용역,용역,HDG,공군제10전투비행단,201912301100,A6291,(주)두성종합건축사사무소,DOOSUNG,정주모,0315914270,"경기도 남양주시 순화궁로249, N동 611호 (별내 파라곤스퀘어)",87.748,52927600
47,UHD0015,1,54415,***,[정통대]20년 무한잉크 임대프린터 계약,용역,UHD,공군 작사예하 방포사예하 제3여단,201912301100,E41B5,비아이티코리아,BIT KOREA,허은순,010-4398-2588,"서울특별시 구로구 중앙로12길12-0 (고척동, 센츄리아파트)",88.1379,18223260
33,UMM0005,2,00109,***,20-P-이동식 화장실 임차용역(2020H013-C),용역,UMM,국군재정관리단,201912301100,HD7FA,주식회사 아이캔컴퍼니,icancompany,최준용,0312250139,"경기도 수원시 영통구 권선로882번길71-21, 4층(신동)",88.0806,136627000
4,UMM0781,2,51924,***,19년 공군 교환기 교체사업 리스(2019J065-E),물품,UMM,국군재정관리단,201912301100,H24E1,주식회사 아이비케이캐피탈,IBK Capital Corporation,문창환,025319774,서울특별시 강남구 테헤란로414 (대치동),97.2004,7581310840
11,UMM0729,1,50796,***,20년 포제명찰 새김 및 벨크로 부착 제조(20196342-D),물품,UMM,국군재정관리단,201912301100,IBDBE,주식회사 두원,,김신,01043020222,"경기도 포천시 호국로1297, 나동(자작동)",83.3129,382470090
2,LHR0096,1,53471,***,20년도 무한잉크 및 렌탈프린터 임차용역,용역,LHR,육군 제37보병사단,201912301030,G3268,한빛사무기,HANBIT OFFICE,반재현,0432720990,충청북도 청주시 흥덕구 복대로102 (복대동),88.2529,40381823
61,HCQ0062,1,54259,***,[정통] '20년 임대프린터 임차용역,용역,HCQ,공군제5공중기동비행단,201912301030,GFCE3,더 엘림(THE ELIM),THE ELIM,김사랑,070-7795-8291,"경기도 남양주시 사릉로33번길14, 502호(금곡동, 다온빌)",88.0157,34845900
2429,SCL0149,1,54056,***,생도피복(수영복 등 6종) 구매,물품,SCL,해군사관학교,201912301030,G7C92,(주)재성,jaesung,하영철,0438787845,충청북도 음성군 생극면 대금로1986-0,88.0001,30561060
210,SCL0144,1,53916,***,생도피복(생도정모 등 4종)구매,물품,SCL,해군사관학교,201912301030,IA7F3,동양 유통,dongyang yutong,장윤철,070-8970-9771,대구광역시 달서구 상화로9길37-3 (진천동),88.0268,45932150
