0,1,2,3,4,5,6,7,8,9,10
임시,명찰,품목,구매,,,,,,,
장거리,이동,신병,도시락,제조,납품,,,,,
부대,중대,시설,분전,제조,설치,,,,,
학교,가구,비품,제조,설치,,,,,,
부대,중대,시설,조명기구,제조,납품,,,,,
난방,연료,,,,,,,,,
부대,체육,시설,비품,구매,고소,작업대,,,,
액화,석유,가스,구매,,,,,,,
군수,취사,연료,,,,,,,,
갈비,품목,덕산,스포,,,,,,,
감자전,품목,덕산,스포,,,,,,,
목적,작업,,,,,,,,,
토양,정화,사업,액화,석유,가스,구매,,,,
상륙,기동,헬기,초도,양산,지원,장비,,,,
상반기,토성,회관,자재,채소,공산물,구매,,,,
어린이집,교구,교재,구매,,,,,,,
코인,품목,,,,,,,,,
전산,장비,유지,보수,용역,,,,,,
구매,강원,,,,,,,,,
구매,경기,,,,,,,,,
구매,전라,,,,,,,,,
코인,품목,,,,,,,,,
전산,장비,유지,보수,용역,,,,,,
구매,강원,,,,,,,,,
구매,경기,,,,,,,,,
구매,전라,,,,,,,,,
긴급,영선,보수,자재,구매,배터리,,,,,
지역,시설,공사,자재,알루미늄,패널,제조,납품,,,
지역,시설,공사,자재,설치,납품,,,,,
개편,부대,조명등,제조,납품,정정,공고,,,,
공병,여단,장간,조립,자재,제조,납품,,,,
부대,철책,시설,보강,자재,구매,,,,,
경축,세트,,,,,,,,,
부대,복지,회관,신축,방기,구매,설치,,,,
신호,처리기,립체,항목,구매,기장,,,,,
사단,동계,대비,노후,보일러,교체,,,,,
초코파이,구매,,,,,,,,,
제조,,,,,,,,,,
삼계탕,구매,,,,,,,,,
초코우유,구매,,,,,,,,,
베트남전,투사,발간,,,,,,,,
항공,정비,실습,주파수,변환기,구매,,,,,
햄버그스테이크,구매,,,,,,,,,
환자,식용,재료,구매,,,,,,,
생도,증식,구매,,,,,,,,
자재,글라스,판넬,제조,구매,설치,포함,,,,
자재,구매,반미,품목,,,,,,,
환자,급식,증후,식품,구매,,,,,,
환자,급식,부식,식품,구매,,,,,,
페인트,,,,,,,,,,
음식물,쓰레기,처리,용역,,,,,,,
전용,잉크,구매,,,,,,,,
인쇄,용지,제조,구매,,,,,,,
지역,철책,보강,자재,구매,,,,,,
가전제품,구매,,,,,,,,,
설날,경축,과자,세트,구매,제조,,,,,
부대,생활관,증축,공사,진공,온수,보일러,제조,설치,,
영선,보수,자재,구매,,,,,,,
부대,시설,폐기물,처리,용역,,,,,,
병영,도서,구매,,,,,,,,
후반기,신병,용품,구매,,,,,,,
독서,카페,설치,자재,구매,,,,,,
제설,송풍기,구매,,,,,,,,
수저,수저,구매,,,,,,,,
국방,학원,국내,간행물,구매,,,,,,
관사,보일러,납품,설치,,,,,,,
비닐,,,,,,,,,,
방관,고도,레이더,운용,시설,수배,전반,,,,
시설,공사,자재,화물,엘리베이터,제조,설치,납품,,,
시설,공사,자재,조명기구,제조,납품,,,,,
시설,공사,자재,분전,제조,납품,,,,,
자재,전관,방송,설비,제조,설치,납품,,,,
종교,모델링,자재,조명기구,제조,납품,,,,,
부대,복지,회관,신축,변압기,제조,설치,,,,
체력,전동,카트,구매,,,,,,,
정비,대대,시설,공사,크레인,,,,,,
방송,장비,구매,설치,,,,,,,
물류,취급,물자,테이,구매,,,,,,
환자,치료,후식,증식,계약,,,,,,
환자,치료,후식,증식,계약,,,,,,
관사,개선,공사,엘리베이터,제조,설치,,,,,
환자,치료,후식,증식,계약,,,,,,
지역,아파트,모델링,시설,공사,가구,,,,,
정보,자원,도입,사업,리스,,,,,,
