참가수,공고번호,공고차수,판단번호,항목번호,입찰명,업무구분,발주기관코드,발주기관,개찰일시,낙찰자(업체코드),낙찰자(상호),낙찰자(영문상호),낙찰자(대표자),낙찰자(연락처),ss,낙찰자(연락처).1,낙찰자(주소),낙찰률, 낙찰금액 ,군 분류,군수품분류
81,SFL0160,1,47669,***,임시명찰 등 2품목 구매,물품,SFL,제3283부대,2016-12-30 12:30,H84F8,주식회사 전우밀리터리,Jung woo military,이정구,222730487,222730487,02-2273-0487,"경기도 고양시 덕양구 통일로140, 1층 에이143호, 2층 에이261호,지하1층 비110호(동산동, 삼송테크노밸리)",88.0062,"23,689,950",육군,
1,LFC0043,1,45002,1,장거리 이동 신병 도시락 제조납품,물품,LFC,육군훈련소,2016-12-30 10:00,GA6E7,주식회사 엘엔에프 농업회사법인,LNF,이용환,437318109,437318109,043-731-8109,충청북도 옥천군 옥천읍 삼청리877-1,96.8333,"5,810",육군,
22,LGT0034,1,48136,***,0부대 중대시설 분전반 제조설치(16-312),물품,LGT,제2307부대,2016-12-29 11:00,F91A4,설악테크,seorak tech,김화성,334610399,334610399,033-461-0399,강원특별자치도 인제군 북면 원통로74번길10-5(원통농공단지),88.0408,"29,098,720",육군,
22,UMM0839,1,48049,***,13-본-국대-01 00학교 가구 및 비품 제조설치,물품,UMM,국군재정관리단,2016-12-29 11:00,B30CC,주식회사 디에스나이키,"DS NAIKI CO.,LTD",김준홍,27342125,27342125,02-734-2125,"서울특별시 구로구 구로중앙로134, 4층(구로동, 리치몰)",88.2297,"2,165,042,000",기타,2종-병참물자
9,LGT0035,1,48138,***,00부대 중대시설 조명기구 제조납품(16-314),물품,LGT,제2307부대,2016-12-29 11:00,C959B,주식회사 한서,"HANSEO Co.,LTD",이명옥,337462110,337462110,033-746-2110,강원특별자치도 원주시 태장공단길47-0 (태장동),88.3713,"32,424,410",육군,
4,HCL0100,1,48057,***,2017년 난방연료,물품,HCL,공군사관학교,2016-12-29 10:30,GAA78,주식회사거성에너지,kesung,박정봉,1055548097,1055548097,010-5554-8097,충청북도 충주시 서흥1길22-0 (목행동),90.4952,"149,700,000",공군,
8,LNF0041,1,49073,***,00부대 체육시설 비품구매(고소작업대 등 9종),물품,LNF,제1보병사단,2016-12-29 10:30,H0239,주연ICT,JUYEONICT,이주연,070-4789-0055,070-4789-0055,070-4789-0055,경기도 파주시 중앙로279-0 (아동동),88.1355,"22,380,178",육군,2종-병참물자
2,HCM0002,1,19,1,17년 액화석유가스(LPG) 구매,물품,HCM,공군교육사령부,2016-12-28 11:00,ECA82,주식회사 가스마켓코리아,"GASMARKET KOREA CO., LTD.",박영숙,552982266,552982266,055-298-2266,경상남도 창원시 의창구 동읍 동읍로1033-0,88.1977,"1,889",공군,3종-가스류
3,HCL0097,2,46235,***,군수처 취사연료,물품,HCL,공군사관학교,2016-12-28 10:30,GE2D7,SK가스충청충전소,SK Gas Choongchung Filling Station,홍금성,043-232-0520,043-232-0520,043-232-0520,충청북도 청주시 흥덕구 가로수로1086번길20-0 (비하동),88.0299,"73,519,966",공군,2종-병참물자
2,SFC0229,1,47835,***,우갈비 등 15품목 (덕산스포텔),물품,SFC,제9691부대,2016-12-28 10:30,G75EF,충성축산,chungsung meat,석관희,031-8059-6205,031-8059-6205,031-8059-6205,경기도 화성시 정남면 만년로440-0,92.1355,"57,227,200",해병,
