순번,키워드,표제어,설명,출처
1,가,가격검증제도,"Cost Audit System. 업체 제시가격 및 계약가격의 적절성을 보장받기 위하여 해당국 정부의 원가전문기관으로부터 원가검증 지원(Field Pricing Audit Service)을 받아 가격의 합리성 여부를 판단하는 방법으로서, 미국과는 안보지원규정에 의하여 가격을 검증하고, 기타 국가와는 방산군수 협력 협정에 의한 가격검증 양해각서(MOU)를 체결하여 가격을 검증하는 제도를 말한다.",방위사업관리규정 별표
2,가,가격조사,"적정한 거래가 형성된 경우에는 그 거래실례가격을, 거래실례가격 또는 원가계산방법에 의할 수 없는 경우에는 감정가격, 유사한 물품의 거래실례가격 또는 견적가격을 조사하여 예정가격 결정하기 위한 기초자료를 작성하는 것을 말한다.",방위사업관리규정 별표
3,가,가계약,假契約/Draft Contract. 계약의 효력이 특정조건의 충족시 발효키로 약정하고 체결한 계약을 말하며 국외조달에서만 해당된다.,방위사업관리규정 별표
4,가,가설재료,"비계, 거푸집, 동바리 등 공사목적물의 실체를 형성하는 것은 아니나 동 시공을 위하여 필요한 가설재를 말한다.",계약예규 5. 제2조
5,가,간선시설공사,"공사기간동안 도로의 점용·굴착 또는 기타의 사유로서 교통체증, 소음 등을 유발함으로써 인근지역 주민들의 생활에 지장을 초래할 것으로 예상되는 공사로서 추정금액이 30억원 이상인 도로등 토목공사와 추정금액이 10억원 이상인 전기·전기통신·가스·상하수도·교통안전시설·포장공사 또는 택지개발촉진법, 주택건설촉진법, 산업입지 및 개발에 관한 법률, 도시재개발법 등에서 규정하는 택지·주택단지·대지·공단조성지역 및 재개발지역 등의 사업시행지역내에서 집행하려는 도로등 토목공사와 전기·전기통신·가스·상하수도·교통안전시설·포장공사 등을 말한다.",계약예규 15. 제2조
6,가,감리,"분야별 감리의 정의는 아래와 같다. 1. 시설공사에 있어 감리는 관계 법령이나 기준, 설계도서 또는 그 밖의 관계 서류 등에 따라 적정하게 시행될 수 있도록 관리하거나 시공관리·품질관리·안전관리 등에 대한 기술지도를 하는 건설사업관리 업무를 말한다. 2. 정보화사업에 있어 감리는 정보체계를 구축함에 있어서 사업추진의 시행착오를 예방하고 사업의 효율성과 경제성을 제고하며 체계운영상의 합리성과 건전성을 확보하기 위하여 사업자 이외의 별도 전문가가 소정절차에 따라 계획, 집행, 유지관리 등 사업전반에 대하여 권고 조언하고 대안을 제시하여 시정하는 등의 관리업무를 수행하는 활동 일체를 말한다.","건설기술관리법 제2조, 국방전력발전업무훈령 별표"
7,가,감리원,일정한 자격을 갖추고 감리전문회사의 감리원으로 등록한 자로써 감리전문회사에 종사하면서 책임감리 업무를 수행하는 자를 말한다.,계약예규 11. 제39조
8,가,감리전문회사,책임감리를 업으로 하고자 특별시장·광역시장 또는 도지사에게 감리전문회사로 등록된 법인체를 말한다.,계약예규 11. 제39조
9,가,감손율,"방산물자 생산을 위하여 투입되는 재료가 생산 및 검사를 거쳐 제품으로 완성될 때까지 정상적인 작업조건하에서 일반적으로 발생하는 재료의 손실률, 불량률, 시료율을 말한다.",방위사업관리규정 별표
10,가,감액처리,계약이행과정에서 규격불일치품목에 대해 사용이 가능하여 납품을 수락한 경우 납품대가 중 계약금액에 대한 일정비율을 삭감한 후 지급하는 제도로써 방위사업청에서 계약체결한 물자류 품목 중 품질보증기관에서 규격 불일치로 판정되었으나 면제승인되어 납품이 수락된 품목에 대해 적용한다.,지출심사 실무지침서
11,가,개산가격,개산계약을 체결하기 위하여 개산원가에 기초하여 결정한 가격을 말한다.,방위산업계약사무처리규칙 제2조
12,가,개산계약,"개발시제품의 제조계약, 시험·조사·연구 용역계약, 공공기과과의 관계 법령에 따른 위탁 또는 대행 계약, 시간적 여유가 없는 긴급한 재해복구를 위한 계약 등에 해당되어 미리 가격을 정할 수 없을 때 체결하는 계약",국계법 제23조
13,가,개산원가,방산원가에서 개산원가란 개산계약의 체결을 위하여 개산가격을 산정하기 위한 기초자료로서 계산되는 원가를 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
14,가,개찰,입찰공고에 표시된 장소와 일시에 계약담당공무원이 제출받은 입찰서를 개봉하는 것이며 국방전자조달시스템을 이용해 공고된 입찰은 입찰공고에 표시된 절차와 방법에 의해 개찰 처리한다.,국계법 제40조
15,가,개찰일시,"계약담당공무원이 해당 입찰공고를 개찰 처리하는 시간을 말하며, 통상 입찰서제출 마감일시의 30분 또는 1시간 이후로 설정된다. 시스템상 개찰 처리는 개찰일시 이후부터만 가능하며 계약담당공무원이 입찰 관련 사항 확인 등의 작업을 수행함에 따라 개찰일시보다 다소 늦어질 수 있다.",정보화기획담당관
16,가,건설공사,"토목공사, 건축공사, 산업설비공사, 조경공사, 환경시설공사, 그 밖에 명칭에 관계없이 시설물을 설치ㆍ유지ㆍ보수하는공사(시설물을 설치하기 위한 부지조성공사 포함) 및 기계설비나 그 밖의 구조물의 설치 및 해체공사 등을 말한다. 단 전기공사, 정보통신공사, 소방시설공사, 문화재 수리공사는 제외한다.",건설산업기본법 제2조
17,가,건설업자,건설공사를 하는 자를 말한다.,건설폐기물의 재활용촉진에 관한 법률 제2조
18,가,건설폐기물,"「건설산업기본법」에 따른 건설공사로 인하여 건설현장에서 발생하는 5톤 이상의 폐기물(공사를 시작할 때부터 완료할 때까지 발생하는 것만 해당)하는 것을 말한다. 건설폐기물의 종류에는 폐콘크리트, 폐아스팔트콘크리트, 폐벽돌, 폐블록, 폐기와, 폐목재, 폐합성수지, 폐섬유, 폐벽지, 건설오니, 폐금속류, 폐유리, 폐타일 및 폐도자기, 폐보드류, 폐판넬, 건설폐토석, 혼합건설폐기물, 건설공사로 인하여 발생되는 그 밖의 폐기물 등을 말한다.",건설폐기물의 재활용촉진에 관한 법률 제2조
19,가,건설폐기물 처리업,"건설폐기물의 수집·운반업 또는 중간처리업을 말한다. 수집·운반업이란 건설폐기물을 수집하여 처리장소로 운반하는 영업을 말하고 중간처리업이란 건설폐기물을 분리, 선별, 파쇄하는 영업을 말한다.",건설폐기물의 재활용촉진에 관한 법률 제2조
20,가,검사,계약목적물이 관련법령에 적합하고 해당규격·구매사양서대로 제조·설치되어 있는지 여부를 검사관이 확인하는 것을 말한다.,물품제조구매계약특수조건표준(특정조달) 제2조
21,가,검사 및 납품조서,"물품을 검사하고 납품한 사실을 기록한 조서를 말한다. 검사조서는 검사기관(국방기술품질원)의 날인, 납품조서는 수납기관(수요군)의 날인을 받게 되며 검사 및 납품조서는 계약이행 확인과 납품대가 산정에 활용된다. 국방전자조달시스템 - 전자문서유통 - 국내조달(또는 부대조달) - 검사 및 납품조서 메뉴에서 검사의뢰서 작성 및 수정, 조서 조회 등의 업무를 처리할 수 있다.","정보화기획담당관, 계약실무 편람"
22,가,검수,검사에 합격한 계약 목적물이 운송 중에 손상 또는 훼손을 입었는지 여부와 계약서 또는 납품서류상의 수량대로 납품되었는지 여부를 확인하는 업무를 말한다.,물품제조구매계약특수조건표준(특정조달) 제2조
23,가,검측감리원,책임감리원 및 보조감리원을 보좌하여 설계도서에서 정한 규격 및 치수 등에 대하여 시설물의 각 공종마다 지속적으로 검측업무를 수행하는 자를 말한다.,계약예규 11. 제39조
24,가,결산,한 회계연도 내에 있어서의 세입예산의 모든 수입과 세출예산의 모든 지출을 확정적인 계수로 표시하는 활동을 말한다.,조달관리 실무과정
25,가,경매종료일시,"국외조달 역경매입찰 시 입찰공고에서 정한 역경매 입찰서 제출마감일시를 말한다. 다만, 경매종료일시 직전에 새로운 입찰자가 있는 경우에는 연장된 종료일시를 말한다.",역경매입찰 특별유의서 제2조
26,가,경비,"제품의 제조를 위하여 소비된 제조원가중 재료비, 노무비를 제외한 원가를 말하며 기업의 유지를 위한 관리활동부문에서 발생하는 일반관리비와 구분된다.",계약예규 2. 제11조
27,가,경쟁입찰,"2인 이상의 대상자가 참여하여 경쟁하는 입찰방법을 말한다. 크게 일반경쟁, 제한경쟁, 지명경쟁 등의 방법이 있으며 경쟁입찰은 2인 이상의 유효한 입찰로 성립한다.",정보화기획담당관
28,가,계산가격,방산원가에서 계산가격은 총원가에 이윤과 투하자본보상비를 합한 금액을 말한다.,방산원가대상물자의원가계산에관한규칙 제2조
29,가,계속공사,직전 또는 현재의 시공자와 수의계약을 체결할 수 있는 공사를 말한다.,국계법 시행령 제15조
30,가,계속비계약,완성에 수년도를 요하는 공사나 제조 및 연구개발사업에 대해 체결하는 계약으로 해당 사업의 총액과 연부액이 명백하게 하여 계약이 체결되어야 한다.,국계법 제21조
31,가,계속비대형공사,공사비가 계속비예산으로 계상된 대형공사를 말한다.,국계법 시행령 제79조
32,가,계약 해제,"계약의 해제란 일정한 해제사유에 해당되는 경우에 어느 한쪽의 해제 의사표시에 의해 계약을 처음부터 없는 것으로 소급적으로 무효화시키는 것을 말한다. 따라서 계약당사자에게는 계약 전의 상태로 원상회복시킬 의무가 부여된다. 계약의 해제는 당사자를 계약관계의 구속으로부터 해방시켜 자유롭게 하며(해방효), 또한 당사자를 계약체결 이전의 상태로 복귀시키는 데(원상회복) 주된 의의가 있다. 그 외에 계약을 이행하지 않는 상대에게 징벌적인 제재를 하는 의미도 있다.",지식마당
33,가,계약 해지,"계약의 해지란 일정한 해지사유에 해당되는 경우에 어느 한쪽의 해지 의사표시에 의해 계약의 장래에 대해 소멸시키는 것을 말한다. 그러므로 이미 발생된 계약의 내용은 그대로 유효하며, 이때는 계약당사자에게 계약 전의 상태로 원상회복시킬 의무가 부여되지 않는다. 당사자 일방의 의사표시에 의한다는 점과 그 발생원인에 있어서 해지는 해제와 유사하지만 장래에 대해서만 효력이 발생한다는 점, 즉 소급효가 없다는 점에서 해제와 구별된다. 그 밖에는 해제에서와 같은 내용이 적용된다.",지식마당
34,가,계약관,계약에 관한 사무를 담당하는 공무원을 말한다.,국계법 시행령 제5조
35,가,계약관리본부,"방위사업청 소속기관으로 방위사업의 원가, 계약 및 표준의 관리에 관한 사무를 관장하며 하부조직으로 계획지원부, 국제계약부, 무기체계계약부, 장비물자계약부, 원가회계검증단을 두고 있다.","방위사업청소속기관직제 제15조,제17조"
36,가,계약금액,"확정계약의 경우에는 계약을 체결할 때 예정가격에 기초하여 계약당사자가 합의하여 정하는 금액을 말하고, 개산계약(槪算契約)의 경우에는 계약이행 중 또는 계약이행 후에 산정된 실제발생원가에 기초하여 결정된 금액을 말한다.",방위산업계약사무처리규칙 제2조
37,가,계약단가,공사계약에 있어 산출내역서상의 각 품목 또는 비목의 계약단가를 말한다.,국계법 시행규칙 제74조
38,가,계약담당공무원,"세입의 원인이 되는 계약에 관한 사무를 각 중앙관서의 장으로부터 위임 받은 공무원, 「국고금관리법」에 의한 재무관, 「국가를 당사자로 하는 계약에 관한 법률」에 의한 계약관 및 「국고금관리법」에 의하여 지출관으로부터 자금을 교부받아 지급원인행위를 할 수 있는 관서운영경비출납공무원과 기타 법령에 의하여 세입세출외의 자금 또는 기금의 출납의 원인이 되는 계약을 담당하는 공무원을 말한다.",국계법 시행규칙 제2조
39,가,계약대금,계약상대자에게 계약이행의 대가로 지급하는 금액을 말한다.,방위산업계약사무처리규칙 제2조
40,가,계약목적물,"소프트웨어사업에 있어 소프트웨어사업 수행을 통해 산출되는 소프트웨어, 정보시스템 및 이와 관련된 서비스, 기타 부수하는 조작 설명서 등으로 계약에 의하여 발주기관이 최종적으로 인수하는 계약의 목적물을 말한다.",계약예규 11. 제49조
41,가,계약문서,"계약담당공무원과 계약상대자의 계약에 있어 수행해야 할 사항을 기재한 문서들로 크게 계약서, 규격서, 유의서, 계약일반조건, 계약특수조건, 과업내용서, 산출내역서 등으로 구성되며 계약 유형과 목적에 따라 문서 구성은 달라질 수 있다.",계약예규 11. 제2조
42,가,계약번호,"계약번호 부여체계는 아래와 같다. 1. 방위사업청 중앙조달 (국내조달) ex) 2011 - 50 - 1 - 1018 - 01 1) 2011 : 계약연도 2) 5 : 계약팀 구분 (0: 기동화력계약팀, 1: 신특수유도무기계약팀, 2: 함정계약팀, 3: 항공기계약팀, 4: 지휘통제감시정찰계약팀, 5: 일반장비계약팀, 6: 통신장비계약팀, 7: 급식유류계약팀, 8: 물자계약팀, 9: 운영지원과) 3) 0 : 계약관 구분 (0: 주임계약관, 1: 분임계약관) 4) 1 : 장,단기 계약/일반,방산 계약 구분 (1: 일반단기, 2: 방산단기, 3: 일반장기, 4: 방산장기) 5) 1018 : 계약체결부서 구분 및 일련번호 (0001~4000: 무기체계계약부, 5001~8000: 장비물자계약부, 8001~9999: 운영지원과) 6) 01 : 수정계약차수 2. 방위사업청 중앙조달 (국외조달) ex) KD21DA09C28 1) KD : KFX-DAPA(Korean Foreign eXchange-Defense Aquisition Program Administration)의 약자  2) 2 : 계약연도의 끝자리 숫자 3) 1 : 수요군 구분 (1: 육군, 2: 해군, 3: 공군, 4: 국직) 4) D : 기능구분 (B: 화력, D: 통신, E: 공병, G: 기동, L: 수송) 5) A : 품목구분 (A: 장비, C: 물자, D: 확정부품, M: 한도액부품) 6) 0 : 사업구분 (5: 방위력개선사업, 0: 전력운영사업) 7) 9 : 팀구분 (7: BOA팀, 8: 국제부품계약팀, 9: 국제장비계약팀) 8) C28 : 계약일련번호 3. 각 군부대 부대조달 ex) 2012UMM0005-01 1) 2012 : 계약연도 2) UMM : 부대 구분 부호 (UMM: 국군재정관리단) 3) 0005 : 해당 부서에서 체결한 누적계약번호 4) 01 : 수정계약차수","방위사업관리규정 별지, 정보화기획담당관"
43,가,계약보증금,계약을 체결할 때 계약가액의 일부를 계약보증금이라고 해서 지급하는데 이는 계약이 완전히 성립하였다는 증거금으로써의 의의와 어느 한편이 임의로 계약을 철회할 때 위약벌로 몰수의 의미로 의의를 갖으며 계약금액의 10/100을 지급한다.,계약업무 CHECKPOINT
44,가,계약상대자,발주기관과 계약을 체결한 자연인 또는 법인을 말한다.,계약예규 9. 제2조
45,가,계약인수,기존 계약에 있어서의 계약상대자의 모든 계약상 지위를 제3자(계약인수업체)에게 이전(양도)함으로써 계약상대자를 변경하는 계약을 말한다.,계약변경업무 처리지침 제2조
46,가,계약일반조건,"기획재정부 계약예규에서 계약담당공무원과 계약상대자 간에 계약을 체결할 때 계약문서에 들어갈 일반적인 사항을 기술한 계약조건을 말한다. 계약예규상에는 물품구매(제조), 공사, 용역 분야 계약일반조건이 명시되어 있다.",계약예규
47,가,계약체결,경쟁입찰 또는 수의협상 등의 절차를 거쳐 판매자와 구매자간의 계약조건 및 가격에 대한 합의사항을 설문화하기 위한 문서로 작성하는 법률 행위를 말한다.,국방조달 참여 길라잡이
48,가,계약특수조건,"기획재정부 계약예규인 계약일반조건은 일반적인 사항을 규정하고 있는데 비해, 계약특수조건은 구체적인 계약에 있어서의 계약이행요구사항, 납지, 납기, 검수와 인수 등의 추가적이고 세부적인 계약조건을 말한다. 계약일반조건과는 달리 계약특수조건은 방위사업청 예규로 분야별 표준안이 규정되어 있으며 계약담당공문원은 각 계약의 특성에 따라 표준안을 변경, 추가하여 계약문서를 작성한다. (국외조달은 계약일반조건도 방위사업청 예규로 규정되어 있다)",계약상식 질의응답집
49,가,고시금액,정부조달협정과 이에 근거한 국제규범에 따라 기획재정부장관이 정하여 고시하는 금액으로 국제입찰에 따른 정부조달계약의 범위는 정부기관이 체결하는 물품·공사(工事) 및 용역의 계약으로서 고시금액 이상의 계약으로 한다.,국계법 시행령 제2조
50,가,공개수의협상,관련법령에 따라 경쟁계약을 체결할 수 없는 불가피한 경우에 수의계약을 체결하기 위해 가격협상 등 협상관과 조달업체 간의 일련의 협의행위를 말한다. 수의협상 중 공개수의협상은 수의협상 내용이 공개되어 다수 업체의 견적서 제출이 가능한 협상을 말한다.,계약실무 편람
51,가,공고,"일반경쟁 및 제한경쟁의 경우에는 입찰이 있음을 알리고 모든 유자격자의 입찰참가를 권유하는 것을 말하며, 지명경쟁의 경우에는 입찰권유와 관련없이 단지 입찰이 있음만을 알리는 것을 말한다.",특정물품조달특례규정 제2조
52,가,공고문안,"국방전자조달시스템에서 입찰공고문안은 크게 2가지 방법으로 게시된다. 방위사업청 계약(중앙조달)의 경우 OZ 뷰어를 활용하여 시스템상에서 출력이 가능하며, 각 군부대 계약(부대조달)의 경우 입찰공고문이 한글 문서(hwp) 형태로 작성되어 첨부파일로 등록된다. 첨부파일로 등록된 입찰공고문과 시스템상 공고문의 내용이 상이한 경우, 관계법령을 준용하여 첨부파일로 등록된 입찰공고문의 내용을 우선으로 한다.",정보화기획담당관
53,가,공급확약서,방위사업청 계약(중앙조달)에 있어 계약업체가 대상 물품의 규격에 일치하는 제품의 공급을 확약하는 증명서를 말한다. 방위사업관리규정에 따라 물품구매계약의 경우 계약특수조건에 공급확약서가 포함되어야 한다.,방위사업관리규정 제414조
54,가,공동계약,공사계약·제조계약 또는 그 밖의 계약에서 계약상대자를 둘 이상으로 하여 체결하는 계약을 말한다.,국계법 제25조
